panel,condition,method,rate,wilson95_low,wilson95_high,p05,median,p95,trial,first_1cm_slot,stopped
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,50,40,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,51,38,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,52,44,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,53,34,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,54,42,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,55,26,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,56,42,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,57,38,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,58,36,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,59,42,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,60,41,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,61,32,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,62,32,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,63,28,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,64,34,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,65,42,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,66,40,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,67,38,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,68,41,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,69,26,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,70,44,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,71,26,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,72,36,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,73,41,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,74,38,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,75,36,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,76,40,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,77,39,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,78,40,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,79,40,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,80,35,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,81,42,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,82,44,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,83,28,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,84,38,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,85,42,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,86,44,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,87,40,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,88,38,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,89,42,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,90,26,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,91,40,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,92,37,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,93,32,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,94,34,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,95,44,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,96,40,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,97,32,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,98,38,True
exact_first_1cm_slot,exact,two_configuration_gain_0.5,,,,,,,99,38,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,0,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,1,12,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,2,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,3,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,4,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,5,9,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,6,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,7,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,8,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,9,12,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,10,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,11,5,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,12,10,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,13,9,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,14,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,15,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,16,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,17,9,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,18,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,19,13,True
