gain,condition,trial,terminal_max_error_m
0.5,bearing_0.1deg,11,0.5367766223278315
0.5,bearing_0.1deg,12,0.5540184347134474
0.5,bearing_0.1deg,13,0.5363587042747148
0.5,bearing_0.1deg,14,0.4607815451542474
0.5,bearing_0.1deg,15,0.487737748619475
0.5,bearing_0.1deg,16,0.5771698566369982
0.5,bearing_0.1deg,17,0.8971966134564716
0.5,bearing_0.1deg,18,0.5566247400218214
0.5,bearing_0.1deg,19,0.5752635526695629
0.5,bearing_0.1deg,20,0.5445856163205625
0.5,bearing_0.1deg,21,0.5973181234734808
0.5,bearing_0.1deg,22,0.46792508659354926
0.5,bearing_0.1deg,23,0.8582299867506575
0.5,bearing_0.1deg,24,0.9032167696564884
0.5,bearing_0.1deg,25,0.7065703135627729
0.5,bearing_0.1deg,26,0.5037378853812636
0.5,bearing_0.1deg,27,0.9126396271718442
0.5,bearing_0.1deg,28,0.7655809376064647
0.5,bearing_0.1deg,29,0.7419261308538018
0.5,bearing_0.1deg,30,0.553593574403007
0.5,bearing_0.1deg,31,0.7059488527988402
0.5,bearing_0.1deg,32,0.8607263731488863
0.5,bearing_0.1deg,33,0.7037495735597897
0.5,bearing_0.1deg,34,0.5274353021353199
0.5,bearing_0.1deg,35,0.4491322564354323
0.5,bearing_0.1deg,36,0.6137336664152094
0.5,bearing_0.1deg,37,0.7820437291203478
0.5,bearing_0.1deg,38,0.9220572814696546
0.5,bearing_0.1deg,39,0.5750432031233381
0.5,bearing_0.1deg,40,0.6735380102011819
0.5,bearing_0.1deg,41,0.810388721622639
0.5,bearing_0.1deg,42,0.6157325344177232
0.5,bearing_0.1deg,43,0.5386413897467179
0.5,bearing_0.1deg,44,0.806310681445432
0.5,bearing_0.1deg,45,0.5549899547678225
0.5,bearing_0.1deg,46,0.9975603667609528
0.5,bearing_0.1deg,47,0.411509234196507
0.5,bearing_0.1deg,48,0.6508504657279771
0.5,bearing_0.1deg,49,0.7646831642439852
0.5,bearing_0.1deg,50,0.33144001055820144
0.5,bearing_0.1deg,51,0.7302404572284962
0.5,bearing_0.1deg,52,0.7164802111639801
0.5,bearing_0.1deg,53,0.8116018305980968
0.5,bearing_0.1deg,54,0.7174837457153388
0.5,bearing_0.1deg,55,0.5887069729868556
0.5,bearing_0.1deg,56,0.9248477901716663
0.5,bearing_0.1deg,57,0.46832538367784676
0.5,bearing_0.1deg,58,0.5653435982792603
0.5,bearing_0.1deg,59,0.5909079785876803
0.5,bearing_0.1deg,60,0.8671315061285145
0.5,bearing_0.1deg,61,0.8509341211006917
0.5,bearing_0.1deg,62,0.6628243939624135
0.5,bearing_0.1deg,63,0.5088367202491328
0.5,bearing_0.1deg,64,0.4480691470781403
0.5,bearing_0.1deg,65,0.6455250937774947
0.5,bearing_0.1deg,66,0.6301303901322878
0.5,bearing_0.1deg,67,0.5117258141429651
0.5,bearing_0.1deg,68,0.5951764603540269
0.5,bearing_0.1deg,69,0.607352459744506
0.5,bearing_0.1deg,70,0.3647240170255193
0.5,bearing_0.1deg,71,0.35447720542069544
0.5,bearing_0.1deg,72,0.6783772112269596
0.5,bearing_0.1deg,73,0.5130152987575595
0.5,bearing_0.1deg,74,0.5974662861902593
0.5,bearing_0.1deg,75,0.6361543624972874
0.5,bearing_0.1deg,76,0.4076198703638143
0.5,bearing_0.1deg,77,0.5204553115188946
0.5,bearing_0.1deg,78,0.4814826405415787
0.5,bearing_0.1deg,79,0.458193149559201
0.5,bearing_0.1deg,80,0.7377564176088948
0.5,bearing_0.1deg,81,0.46536503498513077
0.5,bearing_0.1deg,82,0.3557682533579235
0.5,bearing_0.1deg,83,0.7394015225805415
0.5,bearing_0.1deg,84,0.5129569575868959
0.5,bearing_0.1deg,85,0.6803845471848669
0.5,bearing_0.1deg,86,0.6472082236310589
0.5,bearing_0.1deg,87,0.6114731860408977
0.5,bearing_0.1deg,88,0.5510226834875411
0.5,bearing_0.1deg,89,0.653124167849538
0.5,bearing_0.1deg,90,0.6222401061783317
0.5,bearing_0.1deg,91,0.6273630186105229
0.5,bearing_0.1deg,92,0.479981221031897
0.5,bearing_0.1deg,93,0.5397180106361487
0.5,bearing_0.1deg,94,0.5619916935983451
0.5,bearing_0.1deg,95,0.947023405696172
0.5,bearing_0.1deg,96,0.7405314361293834
0.5,bearing_0.1deg,97,0.8293935653944263
0.5,bearing_0.1deg,98,0.9069762319616629
0.5,bearing_0.1deg,99,0.8163796427312061
0.5,actuation_1pct,0,1.7112015626730617e-06
0.5,actuation_1pct,1,1.6360075951137972e-06
0.5,actuation_1pct,2,2.081992378040545e-06
0.5,actuation_1pct,3,2.1010335546749737e-06
0.5,actuation_1pct,4,1.7042450714014905e-06
0.5,actuation_1pct,5,8.178745101889502e-07
0.5,actuation_1pct,6,1.9557156516346897e-06
0.5,actuation_1pct,7,1.6161299972210385e-06
0.5,actuation_1pct,8,1.648316821286793e-06
0.5,actuation_1pct,9,1.109021638726027e-06
0.5,actuation_1pct,10,1.611717733303855e-06
0.5,actuation_1pct,11,1.5437620050459974e-06
0.5,actuation_1pct,12,1.6323453626857425e-06
0.5,actuation_1pct,13,1.1429406256997748e-06
0.5,actuation_1pct,14,1.940668441653385e-06
0.5,actuation_1pct,15,1.4779706131627867e-06
0.5,actuation_1pct,16,1.5182891137279492e-06
0.5,actuation_1pct,17,1.908384248247524e-06
0.5,actuation_1pct,18,1.0729830341633908e-06
0.5,actuation_1pct,19,1.6095300736173101e-06
0.5,actuation_1pct,20,1.5756066707234714e-06
0.5,actuation_1pct,21,2.2635691956480242e-06
0.5,actuation_1pct,22,1.0231518445301747e-06
0.5,actuation_1pct,23,2.2184860852142403e-06
0.5,actuation_1pct,24,1.4698907041071796e-06
0.5,actuation_1pct,25,1.7272423994355593e-06
0.5,actuation_1pct,26,1.547463213034083e-06
0.5,actuation_1pct,27,1.5653349934384487e-06
0.5,actuation_1pct,28,1.6292549351687033e-06
0.5,actuation_1pct,29,2.0201924859687676e-06
0.5,actuation_1pct,30,1.5983021574367049e-06
0.5,actuation_1pct,31,1.2584623592066642e-06
0.5,actuation_1pct,32,1.1515163747191833e-06
0.5,actuation_1pct,33,1.4131193137390154e-06
0.5,actuation_1pct,34,1.4310206012611742e-06
0.5,actuation_1pct,35,2.136368520709953e-06
0.5,actuation_1pct,36,1.9491996291970857e-06
0.5,actuation_1pct,37,1.5437391328936204e-06
0.5,actuation_1pct,38,1.5394074444488124e-06
0.5,actuation_1pct,39,1.476677102997597e-06
0.5,actuation_1pct,40,2.137107251823597e-06
0.5,actuation_1pct,41,1.1442754116567953e-06
0.5,actuation_1pct,42,1.9687464482979496e-06
0.5,actuation_1pct,43,1.9480520268911984e-06
0.5,actuation_1pct,44,2.279047379868137e-06
0.5,actuation_1pct,45,1.0761477354944116e-06
0.5,actuation_1pct,46,2.0732990461059624e-06
0.5,actuation_1pct,47,1.56898754902582e-06
0.5,actuation_1pct,48,1.7592878917390274e-06
0.5,actuation_1pct,49,2.0078050003275934e-06
0.5,actuation_1pct,50,2.1480060243628527e-06
0.5,actuation_1pct,51,1.6031360691920296e-06
0.5,actuation_1pct,52,1.6870940403543517e-06
0.5,actuation_1pct,53,2.087631728446304e-06
0.5,actuation_1pct,54,2.205905933899833e-06
0.5,actuation_1pct,55,1.7851662447429834e-06
0.5,actuation_1pct,56,1.5967717455443716e-06
0.5,actuation_1pct,57,1.9987667030408937e-06
0.5,actuation_1pct,58,1.1061679952198846e-06
0.5,actuation_1pct,59,1.8455478576665504e-06
0.5,actuation_1pct,60,1.5087317966271417e-06
0.5,actuation_1pct,61,1.918519557487864e-06
0.5,actuation_1pct,62,2.1010703957480164e-06
0.5,actuation_1pct,63,2.1000885823592054e-06
0.5,actuation_1pct,64,1.6579615924765056e-06
0.5,actuation_1pct,65,1.609054117194521e-06
0.5,actuation_1pct,66,2.070178765501746e-06
0.5,actuation_1pct,67,2.0805960173364253e-06
0.5,actuation_1pct,68,1.4497431940938075e-06
0.5,actuation_1pct,69,1.034092764449934e-06
0.5,actuation_1pct,70,1.46626675258271e-06
0.5,actuation_1pct,71,1.1958723610578842e-06
0.5,actuation_1pct,72,1.7972442889092628e-06
0.5,actuation_1pct,73,1.4605497293948087e-06
0.5,actuation_1pct,74,2.0520080077685654e-06
0.5,actuation_1pct,75,1.1195617946402715e-06
0.5,actuation_1pct,76,1.517718971881302e-06
0.5,actuation_1pct,77,1.4573912715940255e-06
0.5,actuation_1pct,78,1.60655663778718e-06
0.5,actuation_1pct,79,1.672828758344412e-06
0.5,actuation_1pct,80,1.595453081116952e-06
0.5,actuation_1pct,81,1.5824312881928765e-06
0.5,actuation_1pct,82,1.1103221338674379e-06
0.5,actuation_1pct,83,1.1767427698115947e-06
0.5,actuation_1pct,84,1.056809102960943e-06
0.5,actuation_1pct,85,1.6325355787768164e-06
0.5,actuation_1pct,86,1.87840548390557e-06
0.5,actuation_1pct,87,1.6189124532831812e-06
0.5,actuation_1pct,88,1.5414586512211794e-06
