receiver_id,start_id,initial_x,initial_y,actual_x,actual_y,candidate_x,candidate_y,accepted,position_error_d,full_residual_rad,message
5,3,2.0,-1.7320508075688772,2.03,1.7120508075688772,2.0,-1.7320508075688772,False,3.4442322708253124,inf,geometry/solver failure: receiver coincides with a transmitter
5,4,2.0,5.0,2.03,1.7120508075688772,2.0,5.0,False,3.2880860530114586,inf,geometry/solver failure: receiver coincides with a transmitter
6,0,3.0,1.7320508075688772,3.03,1.7120508075688772,3.03,1.7120508075688776,True,4.440892098500626e-16,2.220446049250313e-16,`gtol` termination condition is satisfied.
6,1,3.2,1.9320508075688771,3.03,1.7120508075688772,3.03,1.7120508075688772,True,0.0,0.0,`gtol` termination condition is satisfied.
6,2,2.8,1.5320508075688772,3.03,1.7120508075688772,3.03,1.7120508075688774,True,2.220446049250313e-16,0.0,`gtol` termination condition is satisfied.
6,3,3.0,-1.7320508075688772,3.03,1.7120508075688772,3.03,1.7120508075688774,True,2.220446049250313e-16,0.0,`gtol` termination condition is satisfied.
6,4,2.0,5.0,3.03,1.7120508075688772,3.03,1.7120508075688774,True,2.220446049250313e-16,0.0,`gtol` termination condition is satisfied.
7,0,0.5,0.8660254037844384,0.53,0.8460254037844384,0.5300000000000002,0.8460254037844382,True,2.482534153247273e-16,4.440892098500626e-16,`gtol` termination condition is satisfied.
7,1,0.7,1.0660254037844383,0.53,0.8460254037844384,0.5300000000000004,0.8460254037844386,True,4.002966042486721e-16,4.440892098500626e-16,`gtol` termination condition is satisfied.
7,2,0.3,0.6660254037844384,0.53,0.8460254037844384,0.5300000000000006,0.8460254037844389,True,7.850462293418876e-16,4.440892098500626e-16,`gtol` termination condition is satisfied.
7,3,0.5,-0.8660254037844384,0.53,0.8460254037844384,0.5,-0.8660254037844384,False,1.7123136300623327,inf,geometry/solver failure: receiver coincides with a transmitter
7,4,2.0,5.0,0.53,0.8460254037844384,2.0,5.0,False,4.406404991146892,inf,geometry/solver failure: receiver coincides with a transmitter
8,0,1.5,0.8660254037844384,1.53,0.8460254037844384,1.53,0.8460254037844382,True,1.1102230246251565e-16,0.0,`gtol` termination condition is satisfied.
8,1,1.7,1.0660254037844383,1.53,0.8460254037844384,1.53,0.8460254037844382,True,1.1102230246251565e-16,0.0,`gtol` termination condition is satisfied.
8,2,1.3,0.6660254037844384,1.53,0.8460254037844384,1.5299999999999998,0.8460254037844385,True,2.482534153247273e-16,0.0,`gtol` termination condition is satisfied.
8,3,1.5,-0.8660254037844384,1.53,0.8460254037844384,1.53,0.8460254037844381,True,2.220446049250313e-16,0.0,`gtol` termination condition is satisfied.
8,4,2.0,5.0,1.53,0.8460254037844384,1.5299999999999998,0.8460254037844384,True,2.220446049250313e-16,0.0,`gtol` termination condition is satisfied.
9,0,2.5,0.8660254037844384,2.53,0.8460254037844384,2.53,0.8460254037844385,True,1.1102230246251565e-16,4.440892098500626e-16,`gtol` termination condition is satisfied.
9,1,2.7,1.0660254037844383,2.53,0.8460254037844384,2.5300000000000002,0.8460254037844384,True,4.440892098500626e-16,4.440892098500626e-16,`gtol` termination condition is satisfied.
9,2,2.3,0.6660254037844384,2.53,0.8460254037844384,2.5300000000000002,0.8460254037844385,True,4.577566798522237e-16,4.440892098500626e-16,`gtol` termination condition is satisfied.
9,3,2.5,-0.8660254037844384,2.53,0.8460254037844384,2.0000000001354366,3.4641016150768706,False,2.671183828940227,1.2494565914995859,solver converged but complete-triangle residual 1.249e+00 exceeds 1.000e-08
9,4,2.0,5.0,2.53,0.8460254037844384,2.53,0.8460254037844382,True,1.1102230246251565e-16,0.0,`gtol` termination condition is satisfied.
10,0,3.5,0.8660254037844384,3.53,0.8460254037844384,3.5300000000000007,0.8460254037843549,True,8.349349567144785e-14,6.328271240363392e-14,`gtol` termination condition is satisfied.
10,1,3.7,1.0660254037844383,3.53,0.8460254037844384,3.5300000000000002,0.8460254037844377,True,8.005932084973442e-16,2.220446049250313e-16,`gtol` termination condition is satisfied.
10,2,3.3,0.6660254037844384,3.53,0.8460254037844384,3.53,0.8460254037844381,True,2.220446049250313e-16,0.0,`gtol` termination condition is satisfied.
10,3,3.5,-0.8660254037844384,3.53,0.8460254037844384,3.999999999978576,-7.685621343927545e-11,False,0.9678114402912005,2.324355209069223,solver converged but complete-triangle residual 2.324e+00 exceeds 1.000e-08
10,4,2.0,5.0,3.53,0.8460254037844384,3.999999999977462,-8.085175017445782e-11,False,0.9678114402941524,2.3243552949730795,solver converged but complete-triangle residual 2.324e+00 exceeds 1.000e-08
12,0,1.0,0.0,1.03,-0.02,1.029999999999926,-0.019999999999961115,True,8.354242452640505e-14,5.88418203051333e-14,`gtol` termination condition is satisfied.
12,1,1.2,0.2,1.03,-0.02,1.029999999999909,-0.01999999999995246,True,1.0270440903733635e-13,7.216449660063518e-14,`gtol` termination condition is satisfied.
12,2,0.8,-0.2,1.03,-0.02,1.0300000000000005,-0.019999999999999966,True,4.454424009010536e-16,0.0,`gtol` termination condition is satisfied.
12,3,1.0,-0.0,1.03,-0.02,1.029999999999926,-0.019999999999961115,True,8.354242452640505e-14,5.88418203051333e-14,`gtol` termination condition is satisfied.
12,4,2.0,5.0,1.03,-0.02,1.0299999999999818,-0.01999999999999007,True,2.0739211680783312e-14,1.4876988529977098e-14,`gtol` termination condition is satisfied.
13,0,2.0,0.0,2.03,-0.02,2.0300000000000002,-0.02000000000000003,True,4.451856111102413e-16,4.440892098500626e-16,`gtol` termination condition is satisfied.
13,1,2.2,0.2,2.03,-0.02,2.03,-0.019999999999999934,True,6.591949208711867e-17,0.0,`gtol` termination condition is satisfied.
13,2,1.8,-0.2,2.03,-0.02,2.03,-0.020000000000000052,True,5.204170427930421e-17,4.440892098500626e-16,`gtol` termination condition is satisfied.
13,3,2.0,-0.0,2.03,-0.02,2.0300000000000002,-0.02000000000000003,True,4.451856111102413e-16,4.440892098500626e-16,`gtol` termination condition is satisfied.
13,4,2.0,5.0,2.03,-0.02,2.03,-0.020000000000000157,True,1.5612511283791264e-16,4.440892098500626e-16,`gtol` termination condition is satisfied.
14,0,3.0,0.0,3.03,-0.02,3.03,-0.019999999999999976,True,2.42861286636753e-17,0.0,`gtol` termination condition is satisfied.
14,1,3.2,0.2,3.03,-0.02,3.0299999999999994,-0.019999999999999858,True,4.663148376188252e-16,0.0,`gtol` termination condition is satisfied.
14,2,2.8,-0.2,3.03,-0.02,3.03,-0.020000000000000014,True,1.3877787807814457e-17,0.0,`gtol` termination condition is satisfied.
14,3,3.0,-0.0,3.03,-0.02,3.03,-0.019999999999999976,True,2.42861286636753e-17,0.0,`gtol` termination condition is satisfied.
14,4,2.0,5.0,3.03,-0.02,3.0299999999999994,-0.019999999999999882,True,4.594889227755668e-16,0.0,`gtol` termination condition is satisfied.
