amplitude_d,direction_deg,delta_c_x,delta_c_y,receiver_id,candidate_bias_x,candidate_bias_y,candidate_bias_norm_d,linear_prediction_x,linear_prediction_y,linear_error_d,accepted,full_residual_rad,message
0.01,180,-0.01,1.2246467991473532e-18,9,0.006749988181611322,-0.001308133630944952,0.006875576633876008,0.006750000000000001,-0.001299038105676658,9.095532946479154e-06,True,0.0,`gtol` termination condition is satisfied.
0.01,180,-0.01,1.2246467991473532e-18,10,0.006243695214942058,-0.006516854593299093,0.009025138432583395,0.0062499999999999995,-0.006495190528383289,2.256284608162299e-05,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
0.01,180,-0.01,1.2246467991473532e-18,12,0.010000000000000009,4.637383920731529e-19,0.010000000000000009,0.01,0.0,8.686005511678484e-18,True,0.0,`gtol` termination condition is satisfied.
0.01,180,-0.01,1.2246467991473532e-18,13,0.009999999999999787,2.226988930208792e-16,0.009999999999999787,0.01,0.0,3.0841850670593095e-16,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
0.01,180,-0.01,1.2246467991473532e-18,14,0.009999999999999343,1.6561175283841755e-16,0.009999999999999343,0.01,0.0,6.779979084312587e-16,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
0.01,225,-0.007071067811865477,-0.0070710678118654745,2,0.0026359705212757323,0.0006504096110155899,0.0027150273020977353,0.0026150117938234896,0.0006470476127563021,2.1226664568717504e-05,True,0.0,`gtol` termination condition is satisfied.
0.01,225,-0.007071067811865477,-0.0070710678118654745,3,0.0098475455484901,-0.002462130460295864,0.010150676811577832,0.009759356876941095,-0.002414814565722671,0.00010008014622711043,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
0.01,225,-0.007071067811865477,-0.0070710678118654745,4,0.002250625560233921,0.0012974510926786476,0.0025978250037812915,0.0022414386804201353,0.0012940952255126056,9.78062396522124e-06,True,3.552713678800501e-15,`gtol` termination condition is satisfied.
0.01,225,-0.007071067811865477,-0.0070710678118654745,5,0.004970030045396978,-6.1119708254508964e-06,0.004970033803540582,0.004949747468305833,0.0,2.118346338135938e-05,True,0.0,`gtol` termination condition is satisfied.
0.01,225,-0.007071067811865477,-0.0070710678118654745,6,0.00839938763586856,-0.004876619765109558,0.009712421582233694,0.008365163037378082,-0.004829629131445345,5.8132975100184745e-05,True,0.0,`gtol` termination condition is satisfied.
0.01,225,-0.007071067811865477,-0.0070710678118654745,7,0.001873522934553562,0.0019444964170665102,0.0027002137882550497,0.0018678655670167786,0.0019411428382689077,6.5766479454186795e-06,True,0.0,`gtol` termination condition is satisfied.
0.01,225,-0.007071067811865477,-0.0070710678118654745,8,0.0038649289128178665,0.0007408255381455842,0.003935288805043944,0.0038544121194655054,0.0007417819582470551,1.0560193266544194e-05,True,0.0,`gtol` termination condition is satisfied.
0.01,225,-0.007071067811865477,-0.0070710678118654745,9,0.005707054939624978,-0.0011048263387848367,0.005813012757836557,0.005691529426552888,-0.0010953353488403288,1.8196715260683177e-05,True,0.0,`gtol` termination condition is satisfied.
0.01,225,-0.007071067811865477,-0.0070710678118654745,10,0.006982099293430188,-0.007291314120971615,0.010095195498552686,0.006970969197815067,-0.007244443697168014,4.8173806741121214e-05,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
0.01,225,-0.007071067811865477,-0.0070710678118654745,12,0.005040114450378219,1.6723106203039048e-16,0.005040114450378219,0.005029826359546162,0.0,1.0288090832056944e-05,True,7.771561172376096e-14,`gtol` termination condition is satisfied.
0.01,225,-0.007071067811865477,-0.0070710678118654745,13,0.0070855310916417835,4.029191536142319e-19,0.0070855310916417835,0.007071067811865477,0.0,1.4463279776306438e-05,True,0.0,`gtol` termination condition is satisfied.
0.01,225,-0.007071067811865477,-0.0070710678118654745,14,0.00913094773319667,-1.4211464468295165e-18,0.00913094773319667,0.009112309264184791,0.0,1.8638469011879322e-05,True,0.0,`gtol` termination condition is satisfied.
0.01,270,-1.8369701987210296e-18,-0.01,2,-0.005112954124850466,-0.0012719969328016667,0.0052688021484851985,-0.005051814855409226,-0.0012499999999999998,6.4975959558052e-05,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
0.01,270,-1.8369701987210296e-18,-0.01,3,0.005112954124850244,-0.0012719969328016667,0.0052688021484849825,0.0050518148554092295,-0.0012500000000000007,6.497595955783951e-05,True,0.0,`gtol` termination condition is satisfied.
0.01,270,-1.8369701987210296e-18,-0.01,4,-0.004355263002301157,-0.002521823804877865,0.0050326842859513814,-0.004330127018922193,-0.002500000000000001,3.328807774225859e-05,True,9.992007221626409e-14,`gtol` termination condition is satisfied.
0.01,270,-1.8369701987210296e-18,-0.01,5,0.0,0.0,0.0,1.2858791391047207e-18,0.0,1.2858791391047207e-18,True,0.0,`gtol` termination condition is satisfied.
0.01,270,-1.8369701987210296e-18,-0.01,6,0.0043552630023016015,-0.002521823804877865,0.005032684285951766,0.004330127018922196,-0.0025000000000000027,3.328807774259082e-05,True,1.0036416142611415e-13,`gtol` termination condition is satisfied.
0.01,270,-1.8369701987210296e-18,-0.01,7,-0.0036202716142312297,-0.003771764906265851,0.005228056720134838,-0.003608439182435161,-0.003749999999999999,2.4773324100127132e-05,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
0.01,270,-1.8369701987210296e-18,-0.01,8,-0.001304057339829967,-0.0002513053801519449,0.0013280511811137867,-0.0012990381056766566,-0.00024999999999999973,5.186205629055837e-06,True,3.2862601528904634e-14,`gtol` termination condition is satisfied.
0.01,270,-1.8369701987210296e-18,-0.01,9,0.0013040573398304112,-0.0002513053801518339,0.0013280511811142018,0.001299038105676659,-0.00025000000000000017,5.186205629455267e-06,True,3.241851231905457e-14,`gtol` termination condition is satisfied.
0.01,270,-1.8369701987210296e-18,-0.01,10,0.003620271614231285,-0.003771764906265851,0.005228056720134876,0.003608439182435163,-0.003750000000000001,2.4773324100150703e-05,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
0.01,270,-1.8369701987210296e-18,-0.01,12,-0.002895108805155866,-2.8822673730943147e-19,0.002895108805155866,-0.002886751345948127,0.0,8.357459207739178e-06,True,8.659739592076221e-15,`gtol` termination condition is satisfied.
0.01,270,-1.8369701987210296e-18,-0.01,13,0.0,0.0,0.0,1.8369701987210296e-18,0.0,1.8369701987210296e-18,True,0.0,`gtol` termination condition is satisfied.
0.01,270,-1.8369701987210296e-18,-0.01,14,0.002895108805156532,-1.6656056286184232e-16,0.002895108805156532,0.0028867513459481307,0.0,8.357459208401408e-06,True,8.43769498715119e-15,`gtol` termination condition is satisfied.
0.01,315,0.007071067811865474,-0.007071067811865477,2,-0.009847545548489878,-0.002462130460295864,0.010150676811577617,-0.009759356876941095,-0.002414814565722671,0.00010008014622691478,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
0.01,315,0.007071067811865474,-0.007071067811865477,3,-0.002635970521275066,0.0006504096110155899,0.0027150273020970887,-0.0026150117938234857,0.0006470476127563011,2.1226664568063784e-05,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
0.01,315,0.007071067811865474,-0.007071067811865477,4,-0.008399387635868671,-0.004876619765109558,0.00971242158223379,-0.00836516303737808,-0.004829629131445344,5.813297510025183e-05,True,0.0,`gtol` termination condition is satisfied.
0.01,315,0.007071067811865474,-0.007071067811865477,5,-0.004970030045396978,-6.1119708254508964e-06,0.004970033803540582,-0.004949747468305832,0.0,2.118346338136104e-05,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
0.01,315,0.007071067811865474,-0.007071067811865477,6,-0.002250625560234365,0.0012974510926790916,0.002597825003781898,-0.0022414386804201314,0.0012940952255126033,9.780623965795227e-06,True,3.9968028886505635e-15,`gtol` termination condition is satisfied.
0.01,315,0.007071067811865474,-0.007071067811865477,7,-0.006982099293430133,-0.007291314120971393,0.010095195498552487,-0.006970969197815066,-0.007244443697168012,4.8173806740894236e-05,True,0.0,`gtol` termination condition is satisfied.
0.01,315,0.007071067811865474,-0.007071067811865477,8,-0.005707054939624978,-0.0011048263387848367,0.005813012757836557,-0.0056915294265528875,-0.0010953353488403284,1.8196715260684146e-05,True,0.0,`gtol` termination condition is satisfied.
0.01,315,0.007071067811865474,-0.007071067811865477,9,-0.0038649289128174225,0.0007408255381456952,0.003935288805043529,-0.0038544121194655032,0.0007417819582470546,1.0560193266093984e-05,True,0.0,`gtol` termination condition is satisfied.
0.01,315,0.007071067811865474,-0.007071067811865477,10,-0.001873522934553673,0.0019444964170665102,0.002700213788255127,-0.001867865567016776,0.0019411428382689042,6.576647945518191e-06,True,0.0,`gtol` termination condition is satisfied.
0.01,315,0.007071067811865474,-0.007071067811865477,12,-0.009130947733196448,-1.225295429158353e-18,0.009130947733196448,-0.00911230926418479,0.0,1.8638469011659012e-05,True,0.0,`gtol` termination condition is satisfied.
0.01,315,0.007071067811865474,-0.007071067811865477,13,-0.007085531091641339,-4.0013140801865063e-19,0.007085531091641339,-0.007071067811865474,0.0,1.4463279775865819e-05,True,0.0,`gtol` termination condition is satisfied.
0.01,315,0.007071067811865474,-0.007071067811865477,14,-0.005040114450377775,-1.6651924574058403e-16,0.005040114450377775,-0.005029826359546158,0.0,1.0288090831617192e-05,True,7.793765632868599e-14,`gtol` termination condition is satisfied.
0.02,0,0.02,0.0,2,-0.017524685309413757,-0.0044170537666952114,0.018072768442379233,-0.0175,-0.004330127018922193,9.036384221162103e-05,True,6.661338147750939e-16,`gtol` termination condition is satisfied.
0.02,0,0.02,0.0,3,-0.01747468968433674,0.004243849768551744,0.017982631632269555,-0.0175,0.004330127018922193,8.99131581608557e-05,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
0.02,0,0.02,0.0,4,-0.014999623125047212,-0.008747071991189737,0.017363754268950798,-0.015000000000000003,-0.008660254037844392,8.681877134470696e-05,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
0.02,0,0.02,0.0,5,-0.0139998320020156,-4.849684065000304e-05,0.013999916000755617,-0.013999999999999999,0.0,4.849713163017529e-05,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
0.02,0,0.02,0.0,6,-0.014999626874953265,0.008573869075550133,0.017277153622992855,-0.015000000000000003,0.008660254037844392,8.638576811536104e-05,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
0.02,0,0.02,0.0,7,-0.012474560940680168,-0.013077090215684595,0.018072768442380295,-0.0125,-0.01299038105676658,9.036384221217866e-05,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
0.02,0,0.02,0.0,8,-0.013499905406068047,-0.00263446722805849,0.013754557919049943,-0.013500000000000002,-0.002598076211353316,3.639113964756037e-05,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
0.02,0,0.02,0.0,9,-0.013499905595065531,0.0025617215669880844,0.0137408103277228,-0.013500000000000002,0.002598076211353316,3.635476693934523e-05,True,0.0,`gtol` termination condition is satisfied.
0.02,0,0.02,0.0,10,-0.012524564065570676,0.012903888382549522,0.017982631632268976,-0.0125,0.01299038105676658,8.991315816151996e-05,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
0.02,0,0.02,0.0,12,-0.02000000000000013,1.6361869894600144e-16,0.02000000000000013,-0.02,0.0,2.0796590280968066e-16,True,0.0,`gtol` termination condition is satisfied.
0.02,0,0.02,0.0,13,-0.019999999999999796,-9.6168371975686e-19,0.019999999999999796,-0.02,0.0,2.0469962918420652e-16,True,0.0,`gtol` termination condition is satisfied.
0.02,0,0.02,0.0,14,-0.019999999999999574,-7.509954760300951e-19,0.019999999999999574,-0.02,0.0,4.267426359038555e-16,True,0.0,`gtol` termination condition is satisfied.
0.02,45,0.014142135623730952,0.014142135623730949,2,-0.005148143693438634,-0.001280798997774557,0.005305075829900294,-0.005230023587646977,-0.0012940952255126037,8.29524366587959e-05,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
