amplitude_d,direction_deg,gain,rho,seed,round,receiver_id,angle_01_rad,angle_02_rad,angle_12_rad,target_angle_01_rad,target_angle_02_rad,target_angle_12_rad,max_angle_error_rad,measurement_slot,measurement_tx_count,estimated_x,estimated_y,estimator_residual_rad,estimator_success,nfev,delta_x,delta_y,action_applied,event,failure
0.005,0,1.0,0.0,ideal,1,13,1.5722397014655276,1.5693529521242655,3.141592653589793,1.5707963267948966,1.5707963267948966,3.141592653589793,0.001443374670631048,1,3,1.995,-1.6201967287585614e-19,0.0,True,3,0.004999999999999893,1.6201967287585614e-19,True,observe_and_move,
0.005,0,1.0,0.0,ideal,1,14,1.2910942839160915,1.8504983696737018,3.141592653589793,1.289761425292083,1.8518312282977103,3.141592653589793,0.0013328586240084483,1,3,2.994999999999717,-7.155147361143023e-20,7.549516567451064e-14,True,3,0.005000000000282778,7.155147361143023e-20,True,observe_and_move,
0.005,0,1.0,0.0,ideal,2,2,3.1415890285905697,1.8518312147321496,1.28975781385842,3.141592653589793,1.85183122829771,1.289761425292083,3.6249992234616e-06,2,3,1.5000031139280081,2.598087042294026,0.0,True,3,-3.113928008113831e-06,-1.0830940710082615e-05,True,observe_and_move,
0.005,0,1.0,0.0,ideal,2,3,1.8518312417956122,3.1415890616680517,1.2897578198724393,1.85183122829771,3.141592653589793,1.289761425292083,3.605419643726293e-06,2,3,2.499996863936688,2.598087031017631,2.220446049250313e-16,True,3,3.1360633121479964e-06,-1.0819664315153688e-05,True,observe_and_move,
0.005,0,1.0,0.0,ideal,2,4,3.1415872341652222,1.5707963200121744,1.570790914153048,3.141592653589793,1.5707963267948966,1.5707963267948968,5.4194245708849564e-06,2,3,0.9999999882812775,1.7320616261205957,4.440892098500626e-16,True,3,1.1718722547904292e-08,-1.0818551718472236e-05,True,observe_and_move,
0.005,0,1.0,0.0,ideal,2,5,2.2845224403850883,2.284522435188923,1.714140431605575,2.2845207057396624,2.2845207057396624,1.7141438957002622,3.464094687100072e-06,2,3,1.9999999968500004,1.7320568697436725,0.0,True,3,3.149999594498354e-09,-6.06217479526272e-06,True,observe_and_move,
0.005,0,1.0,0.0,ideal,2,6,1.5707963335437896,3.1415872476968163,1.5707909141530267,1.5707963267948966,3.141592653589793,1.5707963267948968,5.412641870039536e-06,2,3,2.9999999882812776,1.7320616396522535,0.0,True,3,1.171872243688199e-08,-1.083208337626651e-05,True,observe_and_move,
0.005,0,1.0,0.0,ideal,2,7,3.141581850746216,1.2897614207702481,1.8518204299759677,3.141592653589793,1.289761425292083,1.8518312282977105,1.0802843577017995e-05,2,3,0.499996873007821,0.8660361920245151,2.220446049250313e-16,True,3,3.1269921790255673e-06,-1.078824007672008e-05,True,observe_and_move,
0.005,0,1.0,0.0,ideal,2,8,2.2845233015459674,1.714145195062637,2.2845168105709823,2.2845207057396624,1.714143895700262,2.2845207057396624,3.895168680045913e-06,2,3,1.5000000017695045,0.8660299484929835,4.440892098500626e-16,True,3,-1.769504542892264e-09,-4.5447085451622016e-06,True,observe_and_move,
0.005,0,1.0,0.0,ideal,2,9,1.7141451944131239,2.2845233060925993,2.2845168066738633,1.714143895700262,2.2845207057396624,2.2845207057396624,3.899065799117807e-06,2,3,2.500000001774229,0.866029952357637,2.220446049250313e-16,True,3,-1.7742292079958588e-09,-4.54857319864832e-06,True,observe_and_move,
