slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg,max_tangential_error_m
36,0-1-7-8,4,144,144,0.006886262718786335,67.87043720733949,0.005245890858096588,0.003462945455237962,0.005166189588081238,0.0023645685368552413,0.0023645685368336444,0.0041269506357188845
37,0-1-4-5,4,148,148,0.008485190297934063,67.87892239763742,0.004497794348852603,0.00252465028871604,0.004429459542379277,0.0012519654874845652,0.001181621000711175,0.002185091987794152
38,0-1-7-8,4,152,152,0.004340412159026905,67.88326280979645,0.0030156200046880612,0.0020840297674825743,0.0029556437122266743,0.0016236163949376158,0.0016236163949301385,0.002833745188102199
39,0-1-4-5,4,156,156,0.006074640994198056,67.88933745079065,0.002614862425864721,0.0015292936323030634,0.0025751356969294648,0.0008189265534168478,0.0008114798623566344,0.0014292964689133214
40,0-1-7-8,4,160,160,0.003169373736874359,67.89250682452753,0.002008869020601008,0.001249571099738659,0.0016588775974497594,0.0010815810929631362,0.00108158109296852,0.00188771511995256
41,0-1-4-5,4,164,164,0.0033063168485685545,67.8958131413761,0.0014879685578336544,0.0009250333632773022,0.0014653626149936372,0.000540627913092597,0.0005406279130895086,0.0009435737111651576
42,0-1-7-8,4,168,168,0.0019979775906880056,67.89781111896679,0.0013013431640818275,0.0007545961926764359,0.0009187636759691031,0.0007006477377409005,0.0007006477377515807,0.001222860992022845
43,0-1-4-5,4,172,172,0.0018707313313940034,67.89968185029818,0.0008354668310340896,0.0005483436825958096,0.000822723850831153,0.0003502431951441769,0.00035024319514320723,0.0006112896937970903
44,0-1-7-8,4,176,176,0.0011842473331893138,67.90086609763136,0.0008225360324422394,0.00045206078919441664,0.0005037942259775718,0.00044285655657271233,0.0004428565565675058,0.0007729305026238364
45,0-1-4-5,4,180,180,0.0010752141216203905,67.90194131175299,0.00046834933078613363,0.00032000912681730455,0.0004612088925455282,0.00022138819192370616,0.00022138819192463188,0.00038639528741057916
46,0-1-7-8,4,184,184,0.0006794996974773853,67.90262081145048,0.0005089738782532039,0.0002681854611947291,0.00028939427403429363,0.00027403358295727894,0.0002740335829471974,0.0004782788283641537
47,0-1-4-5,4,188,188,0.0006204548470133982,67.90324126629748,0.00027027091437628023,0.00018465450776082243,0.00025558500799149897,0.00013699684067334465,0.00013699684068058104,0.00023910459345799495
48,0-1-7-8,4,192,192,0.0003821713216589853,67.90362343761915,0.00030925060625829157,0.00015759041160031374,0.0001736444033326734,0.0001665018041982348,0.00016650180418054106,0.00029060046937701145
