condition,trial,bearing_std_deg,actuation_relative_std,status,stopped,final_below_1cm,joint_success_1cm,final_below_10cm,first_1cm_slot,first_1cm_tx,sustained_1cm_from_slot,max_position_error_m,rms_position_error_m,last28_mean_max_error_m,measurement_slots,transmitter_uses,movement_m,failed_local_fits,seconds
bearing_0.001deg,2,0.001,0.0,max_epochs_reached,False,False,False,True,99,396,,0.014227417538866019,0.007513204149908226,0.006826810842185558,560,2240,575.5527348812133,0,8.215247583997552
bearing_0.001deg,3,0.001,0.0,max_epochs_reached,False,False,False,True,103,412,,0.010126168804801878,0.004649099549915918,0.006043029809278096,560,2240,328.79555457530086,0,8.72986275000585
bearing_0.001deg,4,0.001,0.0,max_epochs_reached,False,True,False,True,105,420,542,0.008587901783512566,0.004418640145493034,0.00785681027432153,560,2240,438.94069771437097,0,8.799541957996553
bearing_0.001deg,5,0.001,0.0,max_epochs_reached,False,True,False,True,113,452,542,0.008296305080846686,0.003592901322726745,0.006605682539754315,560,2240,651.7405138628984,0,8.84877883399895
bearing_0.001deg,6,0.001,0.0,max_epochs_reached,False,True,False,True,107,428,541,0.009622522759377252,0.004506434248539777,0.0067596944861741375,560,2240,464.98895133637575,0,8.95828837499721
bearing_0.001deg,7,0.001,0.0,max_epochs_reached,False,True,False,True,93,372,540,0.006992201815944007,0.00397502231450408,0.007067419382862037,560,2240,193.79295614243514,0,9.82713041700481
bearing_0.001deg,8,0.001,0.0,max_epochs_reached,False,True,False,True,100,400,559,0.006664883133299731,0.0037454050438444587,0.0070569342075922125,560,2240,636.6911790163273,0,10.099548708996736
bearing_0.001deg,9,0.001,0.0,max_epochs_reached,False,True,False,True,131,524,517,0.007155839340322036,0.004264485179152337,0.006270290038371033,560,2240,694.7516045428266,0,10.237548833007168
bearing_0.001deg,10,0.001,0.0,max_epochs_reached,False,True,False,True,85,340,557,0.005031178049594246,0.00335664621060534,0.007141557872946247,560,2240,240.01233558010173,0,10.261341333003656
bearing_0.001deg,11,0.001,0.0,max_epochs_reached,False,False,False,True,99,396,,0.010189271313777743,0.0045157910954722,0.008668958564073384,560,2240,369.2835215531822,0,9.680201625000336
bearing_0.001deg,12,0.001,0.0,max_epochs_reached,False,True,False,True,123,492,546,0.004149923766623225,0.002756755017879057,0.006678499803880732,560,2240,517.3100619675711,0,9.789559415999975
bearing_0.001deg,13,0.001,0.0,max_epochs_reached,False,True,False,True,79,316,546,0.0034257501295143675,0.0018890400267661724,0.0065103758662058185,560,2240,157.3890666913186,0,9.4984269580018
bearing_0.001deg,14,0.001,0.0,max_epochs_reached,False,True,False,True,85,340,515,0.003986071978433114,0.0026369711152744173,0.0064396962334343335,560,2240,313.99638483636204,0,11.366255708002427
bearing_0.001deg,15,0.001,0.0,max_epochs_reached,False,False,False,True,76,304,,0.012684982783592749,0.006584625660978768,0.008897010121607023,560,2240,226.61698772144763,0,13.980635125000845
bearing_0.001deg,16,0.001,0.0,max_epochs_reached,False,True,False,True,86,344,516,0.005689165596562581,0.00360012573649833,0.006752085959654104,560,2240,502.15016481255014,0,14.031069374999788
