slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
35,0-1-4-5,4,140,140,0.04096330726354627,81.92905752306454,0.017453292218873505,0.010732555525913323,0.01735963553988995,0.004561458656080276,0.0045614586560631665
36,0-1-7-8,4,144,144,0.025010006541739564,81.95406752960628,0.016552457354130624,0.009959393271823219,0.01612502808603722,0.0054170456470355195,0.0054170456470430395
37,0-1-4-5,4,148,148,0.03049353455168239,81.98456106415796,0.013960179115135977,0.0072390823384804286,0.013510066909645957,0.0030243095317831763,0.003024309531767244
38,0-1-7-8,4,152,152,0.02269203628225122,82.00725310044021,0.009031531074396838,0.0058340299162559115,0.008956691917774151,0.0031883155649006416,0.0038530707871373693
39,0-1-4-5,4,156,156,0.019862322459339526,82.02711542289956,0.008871740098284078,0.005166776225261689,0.006956884209259329,0.0031883155649006416,0.004254611983817824
40,0-1-7-8,4,160,160,0.02299474297170332,82.05011016587126,0.0070040566269017005,0.0047986357266965336,0.00530778754136918,0.0034219851517400175,0.005026983389562645
41,0-1-4-5,4,164,164,0.02296311486806419,82.07307328073932,0.008605846657226461,0.005003848063944366,0.006437857952846571,0.0036341459078878644,0.006080355184167274
42,0-1-7-8,4,168,168,0.021224839564349306,82.09429812030368,0.008605846657226461,0.0036916438380276617,0.006437857952846571,0.003272009526663551,0.002738758825174159
43,0-1-4-5,4,172,172,0.017728921036331315,82.11202704134001,0.004778871883972421,0.0026587459690949685,0.002533967702916584,0.002536689746057019,0.0025366897460585847
44,0-1-7-8,4,176,176,0.01925134294246247,82.13127838428248,0.004654421009532447,0.0029675536354703963,0.004518940748226896,0.0020698651792811747,0.002182507627928487
45,0-1-4-5,4,180,180,0.015172545589893706,82.14645092987237,0.004940603570547879,0.0029307902024135607,0.004518940748226896,0.0017081862473642545,0.00224996326262783
