slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg,max_tangential_error_m
18,0-1-7-8,4,72,72,0.1751280337957804,64.21992116236628,0.08807014719689836,0.05015425016822376,0.08249373138515637,0.0228798438137861,0.015642930617957518,0.039932860689262384
19,0-1-4-5,4,76,76,0.09490463931104683,64.31482580167733,0.07099547637393809,0.04301302602719221,0.06991683855120812,0.017561958973009724,0.014374685949107402,0.030651400717918165
20,0-1-7-8,4,80,80,0.1100385802119234,64.42486438188925,0.06538318422895799,0.03695458725410862,0.059857827326254665,0.017561958973009724,0.013427596984875834,0.030651400717918165
21,0-1-4-5,4,84,84,0.07463514539309458,64.49949952728234,0.05117549148218217,0.0303180832352159,0.05039779507933417,0.013166419184790999,0.01015713619378289,0.022979736547235063
22,0-1-7-8,4,88,88,0.07004182817086482,64.5695413554532,0.04799192272737565,0.027245753090571593,0.04324250601339941,0.013166419184790999,0.01112458407529715,0.022979736547235063
23,0-1-4-5,4,92,92,0.05697434511115608,64.62651570056435,0.036790206782250354,0.021675097366608803,0.036231115621191634,0.00972065074328075,0.007198618537344714,0.016965736090668315
24,0-1-7-8,4,96,96,0.045251010690590523,64.67176671125495,0.03494481036271924,0.0200039210510217,0.031139486967816765,0.00972065074328075,0.008748481429179833,0.016965736090668315
25,0-1-4-5,4,100,100,0.04262262649237001,64.71438933774732,0.026399755519649872,0.015592016169495675,0.025998586728576356,0.007103542030250664,0.005113532205314186,0.012398019698167673
26,0-1-7-8,4,104,104,0.029688653599935888,64.74407799134725,0.025301578027508514,0.014609533151003617,0.0223727883737439,0.007103542030250664,0.0066668881342479835,0.012398019698167673
27,0-1-4-5,4,108,108,0.031448908276941315,64.7755268996242,0.018919671831550473,0.011235927471481588,0.01863218657184973,0.005155161645154358,0.00363855577784733,0.008997454418047113
28,0-1-7-8,4,112,112,0.019769950379816294,64.79529685000401,0.018247213945235624,0.010617462942332762,0.016048231966422577,0.005155161645154358,0.004979197931177737,0.008997454418047113
29,0-1-4-5,4,116,116,0.022984387164942482,64.81828123716895,0.013547039112212328,0.008094211891999109,0.013341201254590374,0.00372348195610575,0.0025922244877492062,0.006498701977264432
30,0-1-7-8,4,120,120,0.01334468708463359,64.83162592425359,0.013123357257423472,0.007684655442718566,0.011498483015330407,0.00372348195610575,0.003669202201557198,0.006498701977264432
31,0-1-4-5,4,124,124,0.01950785656566799,64.85113378081925,0.009694155359847289,0.005376070425480601,0.009546864884313777,0.0021517986040821436,0.0018484218022436494,0.0037555970481051304
32,0-1-7-8,4,128,128,0.009114386699755141,64.860248167519,0.007312301777097166,0.00467607537557956,0.0072012031361623485,0.0026792602241627068,0.002679260224134339,0.004676191242936057
33,0-1-4-5,4,132,132,0.011688741360234676,64.87193690887923,0.006165860128065488,0.0033853435059805976,0.006072180925542625,0.0015093779392950594,0.0013370792131723874,0.0026343614697665885
34,0-1-7-8,4,136,136,0.0059611333699537035,64.87789804224919,0.004322502946317329,0.0028237408372127465,0.004256831439661823,0.0019089958760076613,0.0019089958759863634,0.003331826344332711
35,0-1-4-5,4,140,140,0.008345748444577868,64.88624379069377,0.00370854238230892,0.0020943737082924486,0.0036521991192444148,0.0010221245183294387,0.0009586202309819214,0.001783943821020984
36,0-1-7-8,4,144,144,0.004443853033476402,64.89068764372725,0.002477533698869794,0.001696752034408654,0.0024398933998810435,0.001317834739315462,0.0013178347393321133,0.0023000555198215977
37,0-1-4-5,4,148,148,0.0045920494158047925,64.89527969314305,0.002159446921611462,0.0012850052721943637,0.0021266393269314676,0.0006702692529891858,0.0007048926042116932,0.0011698405339544138
