phase_a,phase_b,tx_a,tx_b,rho_cycle,rho_per_slot,cycle_norm_2,two_cycle_norm_2
11,19,0-1-3-7,0-1-5-6,0.500666517188714,0.70757792305068,1.2490550309204462,1.195396185600153
4,17,0-1-2-6,0-1-4-8,0.5012376222304715,0.7079813713866147,1.2168401021243431,1.1977398320049952
11,22,0-1-3-7,0-1-5-9,0.5021158439636567,0.7086013293549884,1.2209805564268763,1.1562953136806593
2,9,0-1-2-4,0-1-3-5,0.5028237555856395,0.7091006667502432,1.575147725702255,1.7102081943336722
4,12,0-1-2-6,0-1-3-8,0.6387868122788735,0.7992413980011756,1.2188493933787405,1.1812770921338671
12,14,0-1-3-8,0-1-4-5,0.6387868122788767,0.7992413980011775,1.3357520892738655,1.2477260361602331
12,23,0-1-3-8,0-1-6-7,0.638786812278876,0.7992413980011771,1.3357520892738657,1.2477260361602343
12,22,0-1-3-8,0-1-5-9,0.6387868122788692,0.7992413980011729,1.37282559017564,1.283432432001755
10,17,0-1-3-6,0-1-4-8,0.6604799904296121,0.8126992004607929,1.3106707899129872,1.366551627668418
10,21,0-1-3-6,0-1-5-8,0.6604799904296134,0.8126992004607937,1.4111645853151547,1.4818796363906652
11,21,0-1-3-7,0-1-5-8,0.6604799904295848,0.8126992004607761,1.428011463067141,1.4836110711841342
22,26,0-1-5-9,0-1-7-8,0.6959620281803027,0.8342433866566176,1.278300978709323,1.2582260813475374
4,8,0-1-2-6,0-1-3-4,0.695962028180302,0.8342433866566171,1.2783009787093234,1.2582260813475374
19,26,0-1-5-6,0-1-7-8,0.7145943822094795,0.8453368454110346,1.1030128093056002,1.0510960103438265
19,27,0-1-5-6,0-1-7-9,0.7145943822094778,0.8453368454110336,1.1736059501282199,1.1625309954411647
9,26,0-1-3-5,0-1-7-8,0.7145943822094778,0.8453368454110336,1.3041663388771103,1.249603568237132
3,27,0-1-2-5,0-1-7-9,0.7145943822094776,0.8453368454110335,1.3495393613942894,1.3070714600448208
9,27,0-1-3-5,0-1-7-9,0.7145943822094777,0.8453368454110336,1.3643754977629035,1.32030474373219
3,26,0-1-2-5,0-1-7-8,0.7145943822094771,0.8453368454110333,1.4025017311573926,1.3217243982522162
8,19,0-1-3-4,0-1-5-6,0.7145943822094788,0.8453368454110343,1.3940309385487442,1.4016084579775976
8,24,0-1-3-4,0-1-6-8,0.7145943822094774,0.8453368454110334,1.4775076735928454,1.4042519554089807
2,25,0-1-2-4,0-1-6-9,0.7145943822094774,0.8453368454110334,1.4892890401231775,1.426544912048072
8,25,0-1-3-4,0-1-6-9,0.7145943822094774,0.8453368454110334,1.4815654843706112,1.430163266523018
2,24,0-1-2-4,0-1-6-8,0.7145943822094774,0.8453368454110334,1.4936890172774915,1.4352661930897626
2,19,0-1-2-4,0-1-5-6,0.7145943822094788,0.8453368454110343,1.4458551815252916,1.4527051286283499
5,19,0-1-2-7,0-1-5-6,0.7488974692309209,0.8653886232386702,1.3365730403631901,1.3119554713270634
18,19,0-1-4-9,0-1-5-6,0.7488974692309205,0.8653886232386698,1.3365730403631912,1.3119554713270636
12,19,0-1-3-8,0-1-5-6,0.7562421410129915,0.8696218379347379,1.3284430365586684,1.2213128557633137
21,23,0-1-5-8,0-1-6-7,0.7562421410129901,0.8696218379347371,1.3563715436243893,1.3054543519150035
10,14,0-1-3-6,0-1-4-5,0.7562421410129884,0.869621837934736,1.356371543624389,1.3054543519150044
21,25,0-1-5-8,0-1-6-9,0.7562421410129896,0.8696218379347368,1.3676281477511905,1.4252211870109315
