slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
25,0-1-4-5,4,100,100,0.05136020107792604,64.68292331275873,0.02448484905219901,0.013736953044911095,0.0239119572284352,0.005936222463221388,0.007145175294958506
26,0-1-7-8,4,104,104,0.020889443122991635,64.70381275588173,0.019799344901717156,0.011829724359278265,0.019564027089160163,0.005936222463221388,0.004788363809048235
27,0-1-4-5,4,108,108,0.027583471331012095,64.73139622721274,0.016664008280451798,0.009273806618487843,0.016662470267235108,0.004404491735187407,0.003849633499847016
28,0-1-7-8,4,112,112,0.01763114064375003,64.74902736785648,0.01452519074862309,0.00839026116694183,0.014521551807817445,0.004404491735187407,0.003849633499847016
29,0-1-4-5,4,116,116,0.02122049719708311,64.77024786505356,0.013761636888861917,0.008293686533279424,0.013687105257332632,0.00277752836368073,0.0024665000955792493
30,0-1-7-8,4,120,120,0.020798063744768842,64.79104592879833,0.01205727814477139,0.00865604102659565,0.012056105137347117,0.0052259176460784824,0.0052259176460864865
31,0-1-4-5,4,124,124,0.018619468394600894,64.80966539719293,0.01164422040943521,0.006816174383558992,0.011631853195495978,0.0029506283789931752,0.0021533076623896363
32,0-1-7-8,4,128,128,0.02021506922869,64.82988046642161,0.009947830935565297,0.006360927358906327,0.00989367516505979,0.004592109499871584,0.004592109499881758
33,0-1-4-5,4,132,132,0.023586901522977842,64.85346736794459,0.00970082195461528,0.00522949037025835,0.009056068141134688,0.0030918671474800706,0.0050842846351244475
34,0-1-7-8,4,136,136,0.01854536457958136,64.87201273252417,0.00815093584046602,0.004682087683392806,0.006124433425014786,0.0030918671474800706,0.0046464325701975895
35,0-1-4-5,4,140,140,0.020049993089000483,64.89206272561317,0.006770367524188782,0.0038009694347751833,0.006454235057233859,0.0023701435341909882,0.003610204364527192
36,0-1-7-8,4,144,144,0.019077987550214,64.91114071316339,0.008244091102225891,0.004879006730679749,0.007741160937726477,0.0033045001966603427,0.005045861002095364
37,0-1-4-5,4,148,148,0.01633177088051133,64.9274724840439,0.008244091102225891,0.0039010524870119836,0.007741160937726477,0.0016263730983682304,0.0022139190021945865
38,0-1-7-8,4,152,152,0.01395889450379773,64.9414313785477,0.006031855397912383,0.0035279124781234963,0.0059248098046964515,0.00238822252015712,0.0030651574132178894
39,0-1-4-5,4,156,156,0.01653814691240053,64.9579695254601,0.005856388128776977,0.0034695487319675337,0.004936744733967657,0.0018050756272671939,0.0023514867138985096
40,0-1-7-8,4,160,160,0.02132822964479813,64.9792977551049,0.005856388128776977,0.003470414514126135,0.005324073769443771,0.0018050756272671939,0.002692954835033845
41,0-1-4-5,4,164,164,0.015285772518464384,64.99458352762336,0.006007063488294179,0.003344878982266418,0.005324073769443771,0.002560502113399592,0.0034613830947307633
42,0-1-7-8,4,168,168,0.014370186862258511,65.00895371448561,0.006340417756530797,0.0032678855940059337,0.003102589652314691,0.0035576428366071717,0.004458523817937987
43,0-1-4-5,4,172,172,0.020823467918519897,65.02977718240413,0.005219696569616242,0.003360990264054016,0.004685230988783928,0.002636118502928855,0.0037803058826497704
44,0-1-7-8,4,176,176,0.013897103301417356,65.04367428570555,0.007474137665005396,0.003970833758890294,0.007458695667551751,0.0024620552704220137,0.0037803058826497704
45,0-1-4-5,4,180,180,0.018998256954095925,65.06267254265964,0.009553889692968089,0.004668869657182174,0.007458695667551751,0.005087092339479422,0.005027841289546586
46,0-1-7-8,4,184,184,0.03525229284325021,65.0979248355029,0.009553889692968089,0.005820958792417538,0.005005018759717927,0.005087092339479422,0.007406119573388992
47,0-1-4-5,4,188,188,0.0178044960202086,65.1157293315231,0.009036943520672592,0.006238531466211112,0.005529206700572331,0.004841533201679466,0.006472114907460025
48,0-1-7-8,4,192,192,0.023857280362075746,65.13958661188518,0.010208064827472002,0.006268197986892051,0.005529206700572331,0.005713929208255637,0.00601879313116882
49,0-1-4-5,4,196,196,0.017439645925165066,65.15702625781034,0.007447781713180874,0.0049602152561927515,0.0038818165618437206,0.004221907368357264,0.004602798071331904
50,0-1-7-8,4,200,200,0.01439534197726796,65.1714215997876,0.011383697645979525,0.005660090229646956,0.004462879234651496,0.006286189407599263,0.006286189407603615
51,0-1-4-5,4,204,204,0.020528882770113048,65.19195048255771,0.006629484895921745,0.0040067396223064985,0.004633663423973644,0.0035931099101569764,0.0049828990374294335
52,0-1-7-8,4,208,208,0.022015327200872188,65.21396580975859,0.00775527507156471,0.004766596216578972,0.007008891494606928,0.004258294960256644,0.0042582949602305575
53,0-1-4-5,4,212,212,0.0238394756443892,65.23780528540298,0.007118298090687558,0.004688218991385421,0.007008891494606928,0.0033300247708843607,0.0034919985688759425
54,0-1-7-8,4,216,216,0.015662259895249154,65.25346754529824,0.00712360776906988,0.004444513212452613,0.005717251921041111,0.0026642262851677236,0.004744999721452814
55,0-1-4-5,4,220,220,0.021248719266804012,65.27471626456504,0.00712360776906988,0.0040933588860871395,0.005410116806601195,0.003623559167568241,0.005084200197160271
56,0-1-7-8,4,224,224,0.02800864443457672,65.30272490899962,0.006448616628592606,0.003723979220031174,0.003915169759665105,0.003623559167568241,0.003862599620305218
57,0-1-4-5,4,228,228,0.015369206706615688,65.31809411570623,0.0067291527422708676,0.003189363102131468,0.0018871325991653976,0.003764691424723964,0.003725184608079246
58,0-1-7-8,4,232,232,0.020992768834488102,65.33908688454072,0.0067291527422708676,0.004083149782292111,0.004071284065972236,0.003764691424723964,0.003050285590113333
59,0-1-4-5,4,236,236,0.017693307620887708,65.35678019216161,0.00722453490050434,0.0040181861812408435,0.004071284065972236,0.0041119526720485395,0.004111952672047892
60,0-1-7-8,4,240,240,0.031179931912339514,65.38796012407394,0.007411495181547604,0.0036668085295707316,0.0031268225433933594,0.0038501166650428548,0.003969757316504285
61,0-1-4-5,4,244,244,0.019553382693505695,65.40751350676744,0.007411495181547604,0.0031414749180226904,0.0031268225433933594,0.0038501166650428548,0.004305726063378756
62,0-1-7-8,4,248,248,0.017717814239008894,65.42523132100645,0.004671205283845508,0.0029009747752099238,0.004219788259902657,0.0019808165385793025,0.0026955072226755306
63,0-1-4-5,4,252,252,0.015306188687578933,65.44053750969402,0.004671205283845508,0.0030526811626771337,0.004219788259902657,0.0026488315925976623,0.0030072191064149933
64,0-1-7-8,4,256,256,0.017607354087828042,65.45814486378185,0.00419204152638495,0.002517642670574321,0.00343738643508118,0.0016625333769914152,0.002155994874378564
65,0-1-4-5,4,260,260,0.013412241955835305,65.47155710573769,0.007008382283977257,0.002958246481258758,0.00343738643508118,0.003931838192639836,0.003289615354532316
66,0-1-7-8,4,264,264,0.019396076385688438,65.49095318212338,0.00582950972001069,0.0032266050359081614,0.0033243031816425628,0.0029580551170957977,0.005701856275948103
67,0-1-4-5,4,268,268,0.01707818463878812,65.50803136676217,0.005441465728360013,0.0028554545265620395,0.001957064244521689,0.0029580551170957977,0.004100062327204057
68,0-1-7-8,4,272,272,0.019152057219997926,65.52718342398217,0.003133228391995209,0.001783584918536203,0.0013415150621511884,0.0017224801386617312,0.0014295194684379453
69,0-1-4-5,4,276,276,0.0161124365090541,65.54329586049121,0.005138735029483441,0.0032997732900331023,0.0024047678340082257,0.002938778551354012,0.004545716711781722
