section,method,slot,max_position_error_m,transmitter_uses,cumulative_endpoint_m,event
trajectory,main,51,0.2800461994369193,204,249.47756375569006,
trajectory,main,52,0.2564674747434798,208,249.654771190288,
trajectory,main,53,0.2564674747434798,212,249.77545770267258,
trajectory,main,54,0.21439246190352843,216,249.95069116354992,
trajectory,main,55,0.21439246190352843,220,250.04308274173468,
trajectory,main,56,0.21439246190352843,224,250.23607375839765,
trajectory,main,57,0.22588448088394547,228,250.47100332807497,
trajectory,main,58,0.16485106011496692,232,250.73869450594415,
trajectory,main,59,0.16485106011496692,236,251.03803079896682,
trajectory,main,60,0.16485106011496692,240,251.28711104579747,
trajectory,main,61,0.16485106011496692,244,251.51051947196558,
trajectory,main,62,0.16485106011496692,248,251.76146857253102,
trajectory,main,63,0.1680201651062794,252,252.13025205687416,
trajectory,main,64,0.10836149964068098,256,252.4197862083278,
trajectory,main,65,0.09884732233583166,260,252.59181436397623,
trajectory,main,66,0.09884732233583166,264,252.72944512563816,
trajectory,main,67,0.09576149681362464,268,252.88418199393803,
trajectory,main,68,0.10165807359486617,272,253.06723361065266,
trajectory,main,69,0.10165807359486617,276,253.30967179072496,
trajectory,main,70,0.06925362080824793,280,253.42412387125114,
trajectory,main,71,0.06735377379628402,284,253.52442906645098,
trajectory,main,72,0.06735377379628402,288,253.58943552512582,
trajectory,main,73,0.06735377379628402,292,253.63454171511285,
trajectory,main,74,0.06735377379628402,296,253.67800501180804,
trajectory,main,75,0.039057363237801804,300,253.77543814887306,
trajectory,main,76,0.02619766261939586,304,253.83435709753462,
trajectory,main,77,0.028644720077905462,308,253.87236758853254,
trajectory,main,78,0.028644720077905462,312,253.90595299550617,
trajectory,main,79,0.02007460769359252,316,253.9326014695262,
trajectory,main,80,0.01780539616982575,320,253.94702148510274,
trajectory,main,81,0.01780539616982575,324,253.95597922167056,
trajectory,main,82,0.014875595409527872,328,253.97012052202695,
trajectory,main,83,0.014875595409527872,332,253.97764192339864,
trajectory,main,84,0.014875595409527872,336,253.98660320203112,
trajectory,main,85,0.01472772405329712,340,253.99970931721322,
trajectory,main,86,0.010282633849801439,344,254.0168546112548,
trajectory,main,87,0.010282633849801439,348,254.03569473119944,
trajectory,main,88,0.010282633849801439,352,254.05088305577854,
trajectory,main,89,0.010282633849801439,356,254.06435960424957,
trajectory,main,90,0.010282633849801439,360,254.0802334587263,
trajectory,main,91,0.01049440889167868,364,254.10289397632116,
trajectory,main,92,0.006505607212295259,368,254.12160021143538,
trajectory,main,93,0.005897192859048299,372,254.1320058064639,
trajectory,main,94,0.005897192859048299,376,254.14047820385792,
trajectory,main,95,0.00573573067429401,380,254.14992317268295,
trajectory,main,96,0.006051522402658341,384,254.1609214818251,
trajectory,main,97,0.006051522402658341,388,254.1746612561512,
trajectory,main,98,0.004090413813543732,392,254.18176068252234,
trajectory,main,99,0.003995668050950739,396,254.1875855640458,
trajectory,main,100,0.003995668050950739,400,254.19206938189117,
trajectory,main,101,0.003995668050950739,404,254.19319398612217,
trajectory,main,102,0.00416626026978886,408,254.19631502669057,
trajectory,main,103,0.002816590388410972,412,254.20285963450976,
trajectory,main,104,0.002143036814202612,416,254.20673109027086,
trajectory,main,105,0.0021823772929929863,420,254.20893676640875,
trajectory,main,106,0.0021823772929929863,424,254.21149704311506,
trajectory,main,107,0.001514663187740138,428,254.21477931264332,
trajectory,main,108,0.0013059827505566555,432,254.21646358855287,
trajectory,main,109,0.0013059827505566555,436,254.21803969621223,
trajectory,main,110,0.0010203257621545874,440,254.21947985911706,
trajectory,main,111,0.0010203257621545874,444,254.22020592269672,
trajectory,main,112,0.0010203257621545874,448,254.22068068762854,
trajectory,main,113,0.0009252859092714517,452,254.22175776714965,
trajectory,main,114,0.000583349443810132,456,254.22282073921025,
trajectory,main,115,0.000583349443810132,460,254.2240968791865,
trajectory,main,116,0.000583349443810132,464,254.2251088118931,
trajectory,main,117,0.000583349443810132,468,254.2259106527702,
trajectory,main,118,0.000583349443810132,472,254.22682085235883,
trajectory,main,119,0.000583349443810132,476,254.22763712238182,
trajectory,main,120,0.00032895379527677065,480,254.22866214822955,
trajectory,main,121,0.0002888921953429894,484,254.22926219851578,
trajectory,main,122,0.0002888921953429894,488,254.22968287104024,
trajectory,main,123,0.0002846562741406789,492,254.23008977792782,
trajectory,main,124,0.0003090576266138376,496,254.2305737700142,
trajectory,main,125,0.0003090576266138376,500,254.23121137700903,
trajectory,main,126,0.0002195298698860521,504,254.2315539319254,
trajectory,main,127,0.0002094751348674528,508,254.2318389948242,
trajectory,main,128,0.0002094751348674528,512,254.23205645986812,
trajectory,main,129,0.0002094751348674528,516,254.23211489422047,
trajectory,main,130,0.0002171054133154557,520,254.23228868788257,
trajectory,main,131,0.00015074777075366606,524,254.23261971005925,
trajectory,main,132,0.00011770933773895763,528,254.2328215103888,
trajectory,main,133,0.00013065806950781196,532,254.23293928626185,
trajectory,main,134,0.00013065806950781196,536,254.23308032915943,
trajectory,main,135,9.594850630972068e-05,540,254.2332523740216,
trajectory,main,136,8.669222887750808e-05,544,254.23334305365037,
trajectory,main,137,8.669222887750808e-05,548,254.23343903696318,
trajectory,main,138,7.264420357026372e-05,552,254.23351438214954,
trajectory,main,139,7.264420357026372e-05,556,254.23355311308762,
trajectory,main,140,7.264420357026372e-05,560,254.23357519166268,
trajectory,main,141,6.575717854241238e-05,564,254.23360832926863,
trajectory,main,142,5.180445604679123e-05,568,254.2336653408524,
trajectory,main,143,5.180445604679123e-05,572,254.23373485231318,
trajectory,main,144,5.180445604679123e-05,576,254.23377181932366,
trajectory,main,145,5.180445604679123e-05,580,254.23378872280998,
trajectory,main,146,5.180445604679123e-05,584,254.23378872280998,
trajectory,main,147,5.180445604679123e-05,588,254.23378872280998,
trajectory,main,148,5.180445604679123e-05,592,254.23378872280998,
trajectory,main,149,5.180445604679123e-05,596,254.23378872280998,
trajectory,main,150,5.180445604679123e-05,600,254.23378872280998,
trajectory,main,151,5.180445604679123e-05,604,254.23378872280998,
trajectory,main,152,5.180445604679123e-05,608,254.23378872280998,
trajectory,main,153,5.180445604679123e-05,612,254.23378872280998,
trajectory,main,154,5.180445604679123e-05,616,254.23378872280998,
trajectory,main,155,5.180445604679123e-05,620,254.23378872280998,
trajectory,main,156,5.180445604679123e-05,624,254.23378872280998,
trajectory,main,157,5.180445604679123e-05,628,254.23378872280998,
trajectory,main,158,5.180445604679123e-05,632,254.23378872280998,
trajectory,main,159,5.180445604679123e-05,636,254.23378872280998,
trajectory,main,160,5.180445604679123e-05,640,254.23378872280998,
trajectory,main,161,5.180445604679123e-05,644,254.23378872280998,
trajectory,main,162,5.180445604679123e-05,648,254.23378872280998,
trajectory,main,163,5.180445604679123e-05,652,254.23378872280998,
trajectory,main,164,5.180445604679123e-05,656,254.23378872280998,
trajectory,main,165,5.180445604679123e-05,660,254.23378872280998,
trajectory,main,166,5.180445604679123e-05,664,254.23378872280998,
trajectory,main,167,5.180445604679123e-05,668,254.23378872280998,
trajectory,main,168,5.180445604679123e-05,672,254.23378872280998,
trajectory,main,169,5.180445604679123e-05,676,254.23378872280998,
trajectory,main,170,5.180445604679123e-05,680,254.23378872280998,
trajectory,main,171,5.180445604679123e-05,684,254.23378872280998,
trajectory,main,172,5.180445604679123e-05,688,254.23378872280998,
trajectory,main,173,5.180445604679123e-05,692,254.23378872280998,
trajectory,main,174,5.180445604679123e-05,696,254.23378872280998,
trajectory,main,175,5.180445604679123e-05,700,254.23378872280998,
trajectory,main,176,5.180445604679123e-05,704,254.23378872280998,
trajectory,main,177,5.180445604679123e-05,708,254.23378872280998,
trajectory,main,178,5.180445604679123e-05,712,254.23378872280998,
trajectory,main,179,5.180445604679123e-05,716,254.23378872280998,
trajectory,main,180,5.180445604679123e-05,720,254.23378872280998,
trajectory,main,181,5.180445604679123e-05,724,254.23378872280998,
trajectory,main,182,5.180445604679123e-05,728,254.23378872280998,
trajectory,main,183,5.180445604679123e-05,732,254.23378872280998,
trajectory,main,184,5.180445604679123e-05,736,254.23378872280998,
trajectory,main,185,5.180445604679123e-05,740,254.23378872280998,
trajectory,main,186,5.180445604679123e-05,744,254.23378872280998,
trajectory,main,187,5.180445604679123e-05,748,254.23378872280998,
trajectory,main,188,5.180445604679123e-05,752,254.23378872280998,
trajectory,main,189,5.180445604679123e-05,756,254.23378872280998,
trajectory,main,190,5.180445604679123e-05,760,254.23378872280998,
trajectory,main,191,5.180445604679123e-05,764,254.23378872280998,
trajectory,main,192,5.180445604679123e-05,768,254.23378872280998,
trajectory,main,193,5.180445604679123e-05,772,254.23378872280998,
