section,method,slot,max_radial_error_m,max_angular_error_deg,gain,input_component,output_component,operator_norm,period_slots,input_drone,input_amplitude_m,largest_cross_output_drone,largest_cross_output_component,signed_cross_output_m,linear_predicted_cross_output_m,center_difference_max_error,selection_changes
trajectory,main,130,0.0001364019112202186,0.00012143537462444992,,,,,,,,,,,,,
trajectory,main,131,8.494854300522547e-05,8.357573334462382e-05,,,,,,,,,,,,,
trajectory,main,132,8.494854300522547e-05,6.464592022354205e-05,,,,,,,,,,,,,
trajectory,main,133,6.574743625265e-05,7.033394543989306e-05,,,,,,,,,,,,,
trajectory,main,134,5.32825047798724e-05,7.033394543989306e-05,,,,,,,,,,,,,
trajectory,main,135,3.800357687566702e-05,5.165262063396523e-05,,,,,,,,,,,,,
trajectory,main,136,3.61250443887684e-05,4.667223087113918e-05,,,,,,,,,,,,,
trajectory,main,137,2.9666007250739312e-05,4.667223087113918e-05,,,,,,,,,,,,,
trajectory,main,138,2.7546310533921314e-05,3.9110328532663046e-05,,,,,,,,,,,,,
trajectory,main,139,2.4853555260051508e-05,3.9110328532663046e-05,,,,,,,,,,,,,
trajectory,main,140,2.4853555260051508e-05,3.9110328532663046e-05,,,,,,,,,,,,,
trajectory,main,141,2.81736693352741e-05,3.5403132874377435e-05,,,,,,,,,,,,,
trajectory,main,142,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,143,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,144,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,145,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,146,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,147,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,148,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,149,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,150,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,151,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,152,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,153,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,154,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,155,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,156,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,157,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,158,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,159,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,160,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,161,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,162,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,163,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
