receiver_id,transmitters,selected_pair,status,ratio,small_count_before,small_count_after,holding_before,holding_after,estimated_radial_bias_m,estimated_angular_bias_rad,consistency_rad,radial_clipped,angular_clipped,slot,nominal_selected_pair,matches_nominal_selected_pair
5,0-1-7-8,1-7,adjust,762.7843545124492,0,0,False,False,-0.7627843545124492,-0.005890062035192663,0.001166234906625485,False,False,464,1-7,True
6,0-1-7-8,1-7,adjust,568.3868659217081,0,0,False,False,-0.5683868659217082,0.00033174223504063994,8.4849421806707e-05,False,False,464,1-7,True
9,0-1-7-8,1-8,adjust,208.5735256762454,0,0,False,False,-0.14015624888568115,-0.002085735256762454,0.0012462278577637445,False,False,464,1-8,True
2,0-1-4-5,1-4,adjust,1049.5097055714812,0,0,False,False,0.03348629836313039,-0.010495097055714813,0.00393661642097768,False,False,465,1-4,True
3,0-1-4-5,1-4,adjust,755.6242605696107,0,0,False,False,-0.7556242605696106,0.004362254669296157,0.005582089603535423,False,False,465,1-5,False
6,0-1-4-5,1-5,adjust,1515.8096666231775,0,0,False,False,-0.20213347985208463,-0.015158096666231776,0.0029148982070196054,False,False,465,1-5,True
7,0-1-4-5,1-5,adjust,898.2057033923898,0,0,False,False,-0.8188959943701626,-0.0062427046985895455,0.008982057033923898,False,False,465,1-4,False
8,0-1-4-5,1-5,adjust,374.11267259605495,0,0,False,False,-0.37411267259605496,-0.0030190107692901246,0.0035057553014166084,False,False,465,1-5,True
9,0-1-4-5,1-5,adjust,810.3923258255129,0,0,False,False,-0.5587401750796737,-0.007161268097649981,0.00810392325825513,False,False,465,1-5,True
2,0-1-7-8,1-7,adjust,561.5983894823873,0,0,False,False,-0.09360273096211925,-0.005615983894823874,0.004908149140261576,False,False,466,1-7,True
3,0-1-7-8,1-7,adjust,811.6967264880219,0,0,False,False,0.8116967264880219,-0.00041474407535241467,0.005033181613755113,False,False,466,1-7,True
4,0-1-7-8,1-7,adjust,225.09703135499694,0,0,False,False,0.04885891867999474,8.986648469928353e-05,0.0022509703135499695,False,False,466,1-7,True
5,0-1-7-8,1-7,adjust,169.3362072975531,0,0,False,False,-0.16131378862415469,-0.0016933620729755311,0.00045371744075418816,False,False,466,1-7,True
6,0-1-7-8,1-7,adjust,882.1890019944633,0,0,False,False,-0.3066375841153911,0.008821890019944633,0.004701262271894742,False,False,466,1-7,True
9,0-1-7-8,1-8,adjust,406.5627554742932,0,0,False,False,0.2200404701612643,0.002436840778259274,0.004065627554742933,False,False,466,1-8,True
2,0-1-4-5,1-4,adjust,574.2250797334077,0,0,False,False,0.18446457410040604,0.005742250797334077,0.0030793088263752874,False,False,467,1-4,True
3,0-1-4-5,1-4,adjust,1046.9986164228376,0,0,False,False,-1.0469986164228375,0.0035947733235833614,0.0044297889389196664,False,False,467,1-5,False
6,0-1-4-5,1-5,adjust,767.5303315220732,0,0,False,False,-0.3547493759214137,0.007675303315220733,0.00414167210685655,False,False,467,1-5,True
7,0-1-4-5,1-5,adjust,443.6311982134644,0,0,False,False,0.2271879631436069,-0.002237175658550745,0.0044363119821346445,False,False,467,1-4,False
8,0-1-4-5,1-5,adjust,520.263516439109,0,0,False,False,-0.5202635164391091,-0.0017575284963222012,0.00021635566779979205,False,False,467,1-5,True
9,0-1-4-5,1-5,adjust,914.119856489059,0,0,False,False,0.05065524107454685,-0.00914119856489059,0.0020156719451051943,False,False,467,1-5,True
2,0-1-7-8,1-7,adjust,824.9002467339526,0,0,False,False,0.24931622448880206,-0.008249002467339527,0.0033589538147167225,False,False,468,1-7,True
3,0-1-7-8,1-7,adjust,725.0340120032588,0,0,False,False,0.7250340120032588,-0.0017886450535736064,0.001148975493298664,False,False,468,1-7,True
4,0-1-7-8,1-7,adjust,1316.5706387393643,0,0,False,False,1.3165706387393643,-0.005892732990420451,0.0027994350996256466,False,False,468,1-7,True
5,0-1-7-8,1-7,adjust,749.5283011585356,0,0,False,False,0.7495283011585355,0.0012800635298058631,0.00015066133988773258,False,False,468,1-7,True
6,0-1-7-8,1-7,adjust,495.7362028700811,0,0,False,False,0.49573620287008113,-0.002310937295576331,0.0013935223057970744,False,False,468,1-7,True
9,0-1-7-8,1-8,adjust,305.35313648733825,0,0,False,False,-0.2291098995673069,-0.002223020687007787,0.0030535313648733828,False,False,468,1-8,True
2,0-1-4-5,1-4,adjust,687.1804827489686,0,0,False,False,0.2033201142226147,0.0014380503122227003,0.0068718048274896875,False,False,469,1-4,True
3,0-1-4-5,1-4,adjust,1258.487252946719,0,0,False,False,0.2703176101039524,-0.009235655748969743,0.012584872529467191,False,False,469,1-5,False
6,0-1-4-5,1-5,adjust,989.4425201255009,0,0,False,False,0.5362564468974114,-0.00989442520125501,0.00014124354340798768,False,False,469,1-5,True
7,0-1-4-5,1-5,adjust,740.3624146930388,0,0,False,False,0.7403624146930388,0.005247747639168886,0.005995549503839333,False,False,469,1-4,False
8,0-1-4-5,1-5,adjust,761.3956904203684,0,0,False,False,0.281303743993821,-0.0019729305998949236,0.007613956904203685,False,False,469,1-5,True
9,0-1-4-5,1-5,adjust,1140.7964223938734,0,0,False,False,0.17516289912280145,0.005688865761380376,0.011407964223938735,False,False,469,1-5,True
2,0-1-7-8,1-7,adjust,1366.2110804861768,0,0,False,False,-0.6172332108006555,0.013662110804861769,0.007807551041024966,False,False,470,1-7,True
3,0-1-7-8,1-7,adjust,1356.117069997121,0,0,False,False,-0.879230933189463,0.0058532577118466135,0.013561170699971212,False,False,470,1-7,True
4,0-1-7-8,1-7,adjust,803.1731809236293,0,0,False,False,-0.8031731809236293,0.005367993485254035,0.007105108158548559,False,False,470,1-7,True
5,0-1-7-8,1-7,adjust,357.17351397722683,0,0,False,False,0.1032490065644626,0.0008377715086865459,0.0035717351397722683,False,False,470,1-7,True
6,0-1-7-8,1-7,adjust,1768.777693450357,0,0,False,False,0.5026203546588655,0.01768777693450357,0.0025038208788737515,False,False,470,1-7,True
9,0-1-7-8,1-8,adjust,608.7022067095322,0,0,False,False,-0.1443884728103185,0.0008117419137580982,0.0060870220670953224,False,False,470,1-8,True
2,0-1-4-5,1-4,adjust,237.6336601533058,0,0,False,False,0.2376336601533058,-0.0010505820600733911,0.0017556802973038624,False,False,471,1-4,True
3,0-1-4-5,1-4,adjust,1836.4772639551197,0,0,False,False,0.13773040733922315,0.003770416948370234,0.018364772639551198,False,False,471,1-5,False
6,0-1-4-5,1-5,adjust,1499.9134457832433,0,0,False,False,-0.4277510596284374,-0.014999134457832434,0.0077825409963034956,False,False,471,1-5,True
7,0-1-4-5,1-5,adjust,531.5576464507812,0,0,False,False,-0.31196189207450314,-0.005315576464507813,0.0024641318344056375,False,False,471,1-4,False
8,0-1-4-5,1-5,adjust,219.99647367969084,0,0,False,False,0.21999647367969083,-0.001338243295897721,0.0009292808335783754,False,False,471,1-5,True
