stage,round,measurement_slot_count,measurement_tx_count,relay_scalar_count,alpha_rad,beta_rad,c_hat_x,c_hat_y,c_hat_error_to_target_d,event,failure,calibration_delta_x,calibration_delta_y,calibration_action_applied,receiver_id,c_hat_x_used,c_hat_y_used,angle_error_to_target_rad,estimated_x,estimated_y,estimated_position_error_d,estimator_success,estimator_residual_rad,selected_indices,delta_x,delta_y,action_applied
dynamic_main,2,1,3,,,,,,,observe_and_move,,,,,10,2.0043549249646038,3.483436250455934,0.01785225673092139,3.517389643001053,0.8692686263296311,0.017689493383975588,True,0.0,0;2,-0.01304223225078971,-0.0024324169088945358,True
dynamic_main,2,1,3,,,,,,,observe_and_move,,,,,12,2.0043549249646038,3.483436250455934,0.005424414582857917,1.0021549903138915,0.004074166870000082,0.004608993267251825,True,0.0,0;1,-0.0016162427354186604,-0.0030556251525000614,True
dynamic_main,2,1,3,,,,,,,observe_and_move,,,,,13,2.0043549249646038,3.483436250455934,0.0039240406386062965,2.00460308914663,-0.003924024887832049,0.006048669358805136,True,0.0,0;1,-0.003452316859972493,0.002943018665874037,True
dynamic_main,2,1,3,,,,,,,observe_and_move,,,,,14,2.0043549249646038,3.483436250455934,0.03648007130876474,3.005281347547072,-0.027268783075825094,0.027775513718910214,True,2.220446049250313e-16,0;1,-0.003961010660304076,0.020451587306868822,True
dynamic_calibration,3,2,4,2,1.04756560604041,1.048036711587519,2.0010887312411505,3.4689352739672987,0.00495475462519478,measure_current_reference,,0.0,0.0,False,,,,,,,,,,,,,
dynamic_main,3,1,3,,,,,,,stop_estimated_position_budget,,,,,2,2.0010887312411505,3.4689352739672987,0.0016343194981334186,1.4966339712170702,2.596535687230468,0.00370180555142876,True,4.440892098500626e-16,1;2,0.0,0.0,False
dynamic_main,3,1,3,,,,,,,stop_estimated_position_budget,,,,,4,2.0010887312411505,3.4689352739672987,0.0012446470592410996,0.997950901308022,1.732465627161938,0.0020906651439800586,True,1.3322676295501878e-15,1;2,0.0,0.0,False
dynamic_main,3,1,3,,,,,,,stop_estimated_position_budget,,,,,5,2.0010887312411505,3.4689352739672987,0.0007735930368437671,2.001319946282462,1.7309517301772561,0.0017176231546405304,True,5.5067062021407764e-14,1;2,0.0,0.0,False
dynamic_main,3,1,3,,,,,,,stop_estimated_position_budget,,,,,6,2.0010887312411505,3.4689352739672987,0.0026343050074637553,3.003897020261507,1.7339304820890116,0.004326654968938261,True,2.4424906541753444e-15,0;2,0.0,0.0,False
dynamic_main,3,1,3,,,,,,,stop_estimated_position_budget,,,,,7,2.0010887312411505,3.4689352739672987,0.0024473869763714795,0.4988863114202696,0.8680529777495793,0.00231330033431445,True,4.440892098500626e-16,1;2,0.0,0.0,False
dynamic_main,3,1,3,,,,,,,observe_and_move,,,,,8,2.0010887312411505,3.4689352739672987,0.004202838767155548,1.5046491928483152,0.8639213612770417,0.005103135214136269,True,0.0,0;1,-0.003486894636236415,0.0015780318805475313,True
dynamic_main,3,1,3,,,,,,,observe_and_move,,,,,9,2.0010887312411505,3.4689352739672987,0.00334040039334349,2.506183548831204,0.8623930893391667,0.007171470168467185,True,4.440892098500626e-16,0;1,-0.0046376616234030665,0.0027242358339537587,True
dynamic_main,3,1,3,,,,,,,stop_estimated_position_budget,,,,,10,2.0010887312411505,3.4689352739672987,0.004446256960134232,3.504347410750263,0.8668362094207371,0.0044223733459935665,True,0.0,0;2,0.0,0.0,False
