a,b,rank,rank_tolerance,sigma_min_rad_per_m,sigma_max_rad_per_m,condition_number
2-8,3-6,16,5.8166924613176166e-11,0.003420615568390046,0.058166924613176164,17.00481198492385
2-8,3-7,16,5.970167599138572e-11,0.0028196913732319584,0.05970167599138572,21.173124320678777
2-8,3-9,16,6.063242082388625e-11,0.006058248451694771,0.06063242082388625,10.008242697099123
2-8,4-5,16,5.292014706319844e-11,0.004352541670663594,0.05292014706319843,12.158446964421632
2-8,4-6,16,5.382438300889022e-11,0.004079646876193352,0.05382438300889022,13.193392624979547
2-8,4-7,16,5.887515075577502e-11,0.003515073921672324,0.05887515075577502,16.74933502615066
2-8,4-9,16,5.980109493721187e-11,0.004960909227037055,0.05980109493721186,12.054462639891634
2-8,5-6,16,5.411052998361728e-11,0.004228740517537679,0.054110529983617275,12.795897444926434
2-8,5-7,16,5.890440334873637e-11,0.00419568516053653,0.058904403348736374,14.03928109353274
2-8,5-9,16,6.03534066212743e-11,0.00468150812365335,0.060353406621274294,12.891872667343739
2-8,6-7,16,5.808393674649896e-11,0.003469995064471196,0.058083936746498956,16.738910478926158
2-8,6-9,16,6.143026578850194e-11,0.005174898142727265,0.06143026578850193,11.870816409176136
2-8,7-9,16,6.81093231867052e-11,0.005329382605599284,0.06810932318670519,12.779965002915448
2-9,3-4,16,5.53668547164361e-11,0.004898193607847039,0.0553668547164361,11.303525166448484
2-9,3-5,16,5.7608706348015006e-11,0.004753404846549399,0.057608706348015,12.119461356175968
2-9,3-6,16,5.7298976253555145e-11,0.0042513413019917455,0.057298976253555144,13.47785844121964
2-9,3-7,16,5.7439168704739214e-11,0.004563474076221783,0.05743916870473921,12.586719623111033
2-9,3-8,16,5.791598780879499e-11,0.005911249026083923,0.057915987808794984,9.797588894197391
2-9,4-5,16,4.525000125576099e-11,0.004517262323377075,0.04525000125576099,10.017129406364072
2-9,4-6,16,5.182540055814129e-11,0.004854658206946737,0.05182540055814129,10.67539636137146
2-9,4-7,16,4.893057691292835e-11,0.004789779872797665,0.04893057691292835,10.215621221095587
2-9,4-8,16,5.743916870473921e-11,0.004563474076221789,0.0574391687047392,12.586719623111016
2-9,5-6,16,4.239298937908724e-11,0.003956678680158801,0.04239298937908724,10.714286603982156
2-9,5-7,16,5.18254005581413e-11,0.004854658206946732,0.0518254005581413,10.675396361371472
2-9,5-8,16,5.729897625355513e-11,0.004251341301991753,0.05729897625355513,13.477858441219613
2-9,6-7,16,4.525000125576095e-11,0.004517262323377075,0.045250001255760945,10.017129406364061
2-9,6-8,16,5.7608706348015e-11,0.0047534048465494,0.057608706348014994,12.119461356175965
2-9,7-8,16,5.536685471643606e-11,0.00489819360784704,0.055366854716436056,11.303525166448471
3-4,5-6,16,5.1383706174519485e-11,0.004270097283488559,0.05138370617451948,12.033380685074306
3-4,5-7,16,5.51422430808717e-11,0.00382117115973749,0.0551422430808717,14.430717907087915
3-4,5-8,16,5.4199940810568275e-11,0.0032311833879465368,0.054199940810568274,16.774021868505926
3-4,5-9,16,5.404281194765695e-11,0.0036809054272728325,0.05404281194765695,14.681934381480984
3-4,6-7,16,5.0159806471772325e-11,0.0038643037235236584,0.050159806471772324,12.98029607932427
3-4,6-8,16,5.3263668171746014e-11,0.0038858193098875136,0.05326366817174601,13.707191180046888
3-4,6-9,16,4.9937818692219425e-11,0.004443215768793363,0.04993781869221942,11.239116282165375
3-4,7-8,16,4.949004962431835e-11,0.0029724657121915415,0.04949004962431835,16.649493860041968
3-4,7-9,16,5.232107601461367e-11,0.004229195428630662,0.052321076014613666,12.37140181804138
3-4,8-9,16,4.870274414793859e-11,0.003309918010103724,0.048702744147938584,14.71418445993844
3-5,4-6,16,7.074783625328931e-11,0.004514341364484346,0.07074783625328931,15.671795848201333
3-5,4-7,16,6.762071528381906e-11,0.0041259734576888415,0.06762071528381905,16.389033031176286
3-5,4-8,16,6.733817312360612e-11,0.003590596988867715,0.06733817312360613,18.754032639246724
3-5,4-9,16,6.72862124184595e-11,0.0039005539941473263,0.06728621241845949,17.250424560054956
3-5,6-7,16,5.59458016806496e-11,0.0038293509292894384,0.055945801680649596,14.609734838543698
3-5,6-8,16,5.783526113985565e-11,0.004430448349764741,0.05783526113985565,13.054042519856198
3-5,6-9,16,5.7616488138497815e-11,0.0040361081522216685,0.05761648813849781,14.275258730810501
3-5,7-8,16,5.326366817174601e-11,0.0038858193098875175,0.053263668171746006,13.707191180046873
3-5,7-9,16,5.324627931501826e-11,0.004762766101259388,0.053246279315018255,11.17969645852201
3-5,8-9,16,5.276344858797321e-11,0.0041109986512667665,0.0527634485879732,12.834703453798173
3-6,4-5,16,5.887835986104595e-11,0.004510275697365259,0.058878359861045955,13.054270694680723
3-6,4-7,16,6.156432539217818e-11,0.003924459226805097,0.061564325392178175,15.68733979236617
