case,gain,slot,phase_of_current_state,statistic,root_expected_rms_lin_squared_m,trace_second_moment_m2,minimum_second_moment_eigenvalue_m2,initial_true_geometric_root_expected_rms_squared_m
combined_0.001deg_1pct_local,0.5,12,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.3528678296968739,1.1206413471148382,3.3222842064999998e-06,
exact_local,0.5,13,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.2746083668243237,0.678687796169301,3.546244031594411e-10,
bearing_0.001deg_local,0.5,13,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.27463309360573207,0.6788100249310933,1.2652452750521253e-06,
combined_0.001deg_1pct_local,0.5,13,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.27468069976038223,0.6790453813876793,1.744478473726551e-06,
exact_local,0.5,14,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.21840629544271364,0.42931178900108924,8.675270886136583e-11,
bearing_0.001deg_local,0.5,14,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.21843875176973127,0.4294393944724645,5.93045014925862e-07,
combined_0.001deg_1pct_local,0.5,14,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.2184765081789369,0.42958786163454976,9.11090077243982e-07,
exact_local,0.5,15,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.16812984647340098,0.2544088074765245,2.134089557149154e-11,
bearing_0.001deg_local,0.5,15,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.16817031324663945,0.2545312883172555,6.843429439091435e-07,
combined_0.001deg_1pct_local,0.5,15,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.1682044797842749,0.25463472317548697,8.368058779470704e-07,
exact_local,0.5,16,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.13388339459171286,0.16132287012660262,5.26469293190736e-12,
bearing_0.001deg_local,0.5,16,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.13393640478342658,0.16145064473678908,4.5262616936496635e-07,
combined_0.001deg_1pct_local,0.5,16,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.13396324224232367,0.16151535244867943,5.831808853980951e-07,
exact_local,0.5,17,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.10178327802251985,0.09323852116508616,1.3023948338550305e-12,
bearing_0.001deg_local,0.5,17,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.10185015941678735,0.09336109475902497,6.453667413774466e-07,
combined_0.001deg_1pct_local,0.5,17,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.1018743181231499,0.09340539023751072,6.979449381987101e-07,
exact_local,0.5,18,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.08141369960621257,0.059653714352135546,3.229999030651808e-13,
bearing_0.001deg_local,0.5,18,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.08150088660764207,0.05978155066048557,4.426275506332987e-07,
combined_0.001deg_1pct_local,0.5,18,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.08151963224075308,0.05980905396600867,4.953864891736101e-07,
exact_local,0.5,19,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.061021284839002765,0.03351237483062438,8.02105449783317e-14,
bearing_0.001deg_local,0.5,19,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0611328079681206,0.03363498189060399,6.430428237286922e-07,
combined_0.001deg_1pct_local,0.5,19,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.06114960349786473,0.033653466071514634,6.610994715592826e-07,
exact_local,0.5,20,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.04916284331025565,0.02175286646113874,1.995743924405346e-14,
bearing_0.001deg_local,0.5,20,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0493071157372195,0.021880724960912028,4.4185221510911975e-07,
combined_0.001deg_1pct_local,0.5,20,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.04931998911579154,0.021892151937436162,4.628814943485756e-07,
exact_local,0.5,21,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.03627361937595999,0.01184197916368818,4.9686748407520316e-15,
bearing_0.001deg_local,0.5,21,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.03646093511413075,0.011964598104571678,6.428316315145386e-07,
combined_0.001deg_1pct_local,0.5,21,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.03647239864949246,0.011972122769227496,6.489099297747103e-07,
exact_local,0.5,22,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.02949797100424104,0.007831172640303407,1.23884184829689e-15,
bearing_0.001deg_local,0.5,22,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.029737815508682014,0.007959039041055677,4.417086664208986e-07,
combined_0.001deg_1pct_local,0.5,22,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.029746506235317206,0.007963691698869887,4.4995485352408904e-07,
exact_local,0.5,23,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.02140021097415088,0.004121721267643511,3.0886911959539875e-16,
bearing_0.001deg_local,0.5,23,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.02171621096478104,0.0042443443680018865,6.407376708123363e-07,
combined_0.001deg_1pct_local,0.5,23,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.02172387496268614,0.004247340690549795,6.427771798287054e-07,
exact_local,0.5,24,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.017590980237179785,0.0027849832713436476,7.707382210977961e-17,
bearing_0.001deg_local,0.5,24,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.01799028275345041,0.0029128524619418572,4.393980621530835e-07,
combined_0.001deg_1pct_local,0.5,24,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.01799603638513398,0.0029147159301755954,4.4258580197666997e-07,
exact_local,0.5,25,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.01253967480048117,0.0014151909969164023,1.9215887242228444e-17,
bearing_0.001deg_local,0.5,25,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.013071663736229778,0.0015378155354975817,6.341305240213526e-07,
combined_0.001deg_1pct_local,0.5,25,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.01307665003841986,0.0015389889860457548,6.348819271787616e-07,
exact_local,0.5,26,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0104279962422469,0.0009786879506548391,4.803387286883278e-18,
bearing_0.001deg_local,0.5,26,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.01108832278090793,0.001106558118842416,4.328210447399423e-07,
combined_0.001deg_1pct_local,0.5,26,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.01109202757955051,0.0011072976824295824,4.340595520952322e-07,
exact_local,0.5,27,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.007302199839575852,0.0004798991024739144,1.1954956508475677e-18,
bearing_0.001deg_local,0.5,27,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.008182122332121487,0.0006025241327202104,6.237454409568952e-07,
combined_0.001deg_1pct_local,0.5,27,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.008185227075554384,0.0006029814805054972,6.241039075344727e-07,
exact_local,0.5,28,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.006145760578770447,0.00033993335782411967,3.0157613316743985e-19,
bearing_0.001deg_local,0.5,28,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.007209591342521373,0.0004678038659354321,4.2293094029117606e-07,
combined_0.001deg_1pct_local,0.5,28,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.007211869698043595,0.0004680995808740348,4.234479108634025e-07,
exact_local,0.5,29,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.004227965427359222,0.0001608812248945036,7.378629913484578e-20,
bearing_0.001deg_local,0.5,29,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.005612549642888949,0.0002835064214450358,6.146917438162219e-07,
combined_0.001deg_1pct_local,0.5,29,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.005614353722042329,0.0002836887094458949,6.149161767268396e-07,
exact_local,0.5,30,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0036013555010919155,0.00011672785300720503,1.8612148448327113e-20,
bearing_0.001deg_local,0.5,30,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.005213214814976434,0.000244598478363808,4.137768119264718e-07,
combined_0.001deg_1pct_local,0.5,30,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.00521453294238402,0.0002447221842648733,4.140291952543e-07,
exact_local,0.5,31,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.002434984919684971,5.3362364031839024e-05,4.8479068266351424e-21,
bearing_0.001deg_local,0.5,31,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.004422010807990028,0.0001759876162738256,6.087939482453586e-07,
combined_0.001deg_1pct_local,0.5,31,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.004423000511249213,0.0001760664017025972,6.089712263134469e-07,
exact_local,0.5,32,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0020986143090422093,3.9637638163050385e-05,-3.326414282489629e-24,
bearing_0.001deg_local,0.5,32,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0043141666327564596,0.0001675083036167029,4.077155442773866e-07,
combined_0.001deg_1pct_local,0.5,32,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.004314916202530914,0.00016756651651377426,4.078692540384263e-07,
exact_local,0.5,33,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.001395403962705817,1.752436997221587e-05,3.2184020381957476e-22,
bearing_0.001deg_local,0.5,33,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.003946160450183495,0.0001401496406873317,6.058850334618798e-07,
combined_0.001deg_1pct_local,0.5,33,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0039467314347562555,0.00014019020116283853,6.060458662640966e-07,
exact_local,0.5,34,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0012163184100965748,1.3314874272658736e-05,7.156727570395777e-23,
bearing_0.001deg_local,0.5,34,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.003960717574129232,0.0001411855533181453,4.0345522503491685e-07,
combined_0.001deg_1pct_local,0.5,34,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.003961190041464778,0.00014121923890139757,4.035728925687053e-07,
exact_local,0.5,35,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0007959306617113162,5.701550564269922e-06,-3.8595063986573336e-23,
bearing_0.001deg_local,0.5,35,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.003776047718501387,0.00012832682735159577,6.047475809833903e-07,
combined_0.001deg_1pct_local,0.5,35,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.003776440256370235,0.0001283535090894032,6.049027335786772e-07,
exact_local,0.5,36,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0007012800739460069,4.426143679023452e-06,-1.1326917595837293e-22,
bearing_0.001deg_local,0.5,36,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.003834011929646801,0.0001322968272900659,4.0029718444616646e-07,
combined_0.001deg_1pct_local,0.5,36,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0038343689707620683,0.00013232146863548667,4.0040168775029325e-07,
exact_local,0.5,37,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0004520019884411292,1.838752177992612e-06,-2.9127255936079925e-23,
bearing_0.001deg_local,0.5,37,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0037187816246126567,0.00012446403094401075,6.043371736843596e-07,
combined_0.001deg_1pct_local,0.5,37,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.003719106091302331,0.00012448575106525892,6.044904567940485e-07,
exact_local,0.5,38,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0004023038114650036,1.4566352104734224e-06,-3.658375166845516e-24,
bearing_0.001deg_local,0.5,38,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0037907390123986073,0.00012932732034108693,3.9853709537884286e-07,
combined_0.001deg_1pct_local,0.5,38,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0037910519614200353,0.00012934867476768026,3.9863653723321846e-07,
exact_local,0.5,39,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.00025562421374139874,5.880936478581747e-07,-6.105809489801862e-24,
bearing_0.001deg_local,0.5,39,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0037000506460994533,0.00012321337305330884,6.041977898000934e-07,
combined_0.001deg_1pct_local,0.5,39,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.003700350498474967,0.00012323334430407542,6.043504697252086e-07,
exact_local,0.5,40,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0002296828883168506,4.747880626701378e-07,-2.5599401524283098e-24,
bearing_0.001deg_local,0.5,40,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.003776322045095141,0.00012834547369444395,3.977804936306105e-07,
combined_0.001deg_1pct_local,0.5,40,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.003776618853701662,0.0001283656496952137,3.9787800775199806e-07,
exact_local,0.5,41,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.00014399835302451766,1.8661973106396254e-07,-3.7542201799156894e-24,
bearing_0.001deg_local,0.5,41,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0036940176763926484,0.00012281189934151208,6.041535170100185e-07,
combined_0.001deg_1pct_local,0.5,41,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0036943088673947405,0.0001228312620694027,6.043060036842229e-07,
exact_local,0.5,42,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.00013053003634121133,1.5334281348514157e-07,-2.039564838757287e-24,
bearing_0.001deg_local,0.5,42,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0037715901245593438,0.00012802402860906208,3.9749566833757907e-07,
combined_0.001deg_1pct_local,0.5,42,2,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,0.0037718811614552506,0.0001280437874652691,3.9759247794100346e-07,
exact_local,0.5,43,1,sqrt(E[RMS_lin_m^2]) = sqrt(trace(P_t)/9); FY01-FY09 denominator 9,8.0815843881085e-05,5.878080559990713e-08,-5.172272731141933e-25,
