gap_deg,transmitters,receiver,true_x_m,true_y_m,estimate_x_m,estimate_y_m,position_error_m,angle_residual_norm_rad,angle_sigma_min_per_m,angle_jacobian_condition_number
80,FY00-FY01-FY03,FY09,86.14777204829525,-71.57207116686621,86.14777204829528,-71.57207116686617,5.123796534383003e-14,5.4672143489065705e-16,0.004850299665160389,3.2112083382857963
120,FY00-FY01-FY04,FY02,74.96229729000632,63.124115716615876,74.96229729000652,63.12411571661586,1.9945885082418896e-13,3.412920201770619e-15,0.007313601397736158,3.45662826882474
120,FY00-FY01-FY04,FY03,19.044201170560154,110.36901015128855,19.044201170560175,110.36901015128855,2.1316282072803006e-14,3.3306690738754696e-16,0.0046781220885290355,4.6366639967083225
120,FY00-FY01-FY04,FY05,-92.00770214648452,33.74289178069639,-92.00770214648416,33.74289178069645,3.609808855992622e-13,6.8699955762106286e-15,0.005883369100691698,3.3752544883452558
120,FY00-FY01-FY04,FY06,-105.2722906898315,-38.23277145219291,-105.27229068983156,-38.23277145219276,1.6526802468224855e-13,7.108895957933346e-16,0.0051806822722938115,1.6279811351203008
120,FY00-FY01-FY04,FY07,-52.38886563516721,-90.99674036722632,-52.38886563517504,-90.99674036719392,3.333347046563033e-11,2.2093728296664982e-13,0.006515359137325968,1.032797334667575
120,FY00-FY01-FY04,FY08,17.30380046043861,-96.46024305186735,17.303800460438655,-96.46024305186724,1.227101338881947e-13,1.2008898127460164e-15,0.006170417846702049,1.6419440457297312
120,FY00-FY01-FY04,FY09,86.14777204829525,-71.57207116686621,86.14777204829542,-71.572071166866,2.729816047846405e-13,8.005932084973442e-16,0.005116319118391737,3.2219297669778832
160,FY00-FY01-FY05,FY02,74.96229729000632,63.124115716615876,74.96229729000636,63.12411571661586,4.4938668397781776e-14,4.965068306494546e-16,0.006856801909337718,3.2630623453623775
160,FY00-FY01-FY05,FY03,19.044201170560154,110.36901015128855,19.04420117056013,110.36901015128855,2.4868995751603507e-14,3.3306690738754696e-16,0.005452434505366773,2.3717153230590537
160,FY00-FY01-FY05,FY04,-52.10273288589687,91.16087552135994,-52.10273288589684,91.16087552135996,3.1776437161565096e-14,4.965068306494546e-16,0.005900356501910113,3.4833238763175878
160,FY00-FY01-FY05,FY06,-105.2722906898315,-38.23277145219291,-105.27229068983152,-38.23277145219283,8.316689495813723e-14,1.395804689683384e-15,0.005160112472065589,3.38748275235173
160,FY00-FY01-FY05,FY07,-52.38886563516721,-90.99674036722632,-52.388865635182555,-90.99674036717572,5.2881034559961194e-11,4.881953119599332e-13,0.006278116838553077,1.687593934959011
160,FY00-FY01-FY05,FY08,17.30380046043861,-96.46024305186735,17.303800460438826,-96.46024305186737,2.1718096427858207e-13,1.5543122344752192e-15,0.007086975457942473,1.6163180390709313
160,FY00-FY01-FY05,FY09,86.14777204829525,-71.57207116686621,86.1477720482952,-71.57207116686628,9.099386826154683e-14,4.965068306494546e-16,0.005158475601318423,3.407533527531734
160,FY00-FY01-FY06,FY02,74.96229729000632,63.124115716615876,74.96229729000643,63.12411571661579,1.4210854715202004e-13,1.3440693017233997e-15,0.006407184057284746,3.249384798542662
