global_worst_receiver_id,receiver_offset_label,receiver_offset_x_d,receiver_offset_y_d,sign,amplitude_d,delta_c_x_d,delta_c_y_d,status,failure_count,failures,broadcast_slots,tx_uses,action_count,records,final_apex_error_d,final_max_receiver_error_d,final_team_max_error_d,predicted_max_receiver_error_d,receiver_errors_json,predicted_receiver_errors_json,final_max_angle_error_rad
2,plus_0.05_x,0.05,0.0,-1,0.005,-0.004330127018922192,0.002500000000000002,converged,0,{},4,12,33,45,0.004999999999999991,0.005204161919360719,0.005204161919360719,0.0052041649986653326,"{""10"": 0.002599268371742986, ""12"": 0.005051786223930321, ""13"": 0.004330098762778345, ""14"": 0.0036084113016303654, ""2"": 0.005204161919360719, ""3"": 0.0025992677800772547, ""4"": 0.00499999739923128, ""5"": 0.0030297761469693543, ""6"": 0.002497296110290042, ""7"": 0.005204160069957334, ""8"": 0.0033064725869230423, ""9"": 0.002644605789661588}","{""10"": 0.002602082499332664, ""12"": 0.005051814855409225, ""13"": 0.004330127018922192, ""14"": 0.0036084391824351596, ""2"": 0.0052041649986653326, ""3"": 0.0026020824993326637, ""4"": 0.005000000000000002, ""5"": 0.0030310889132455347, ""6"": 0.0024999999999999988, ""7"": 0.0052041649986653326, ""8"": 0.003307189138830738, ""9"": 0.00264575131106459}",8.150963681785584e-09
2,plus_0.05_x,0.05,0.0,-1,0.01,-0.008660254037844385,0.005000000000000004,converged,0,{},5,15,37,49,0.009999999999999983,0.01040829756852306,0.01040829756852306,0.010408329997330665,"{""10"": 0.005192919335931862, ""12"": 0.010103629530866298, ""13"": 0.008660253862212919, ""14"": 0.007216878193559317, ""2"": 0.01040829756852306, ""3"": 0.005192914445975656, ""4"": 0.009999979836700338, ""5"": 0.0060569257094181626, ""6"": 0.0049891941859542535, ""7"": 0.01040828985400464, ""8"": 0.00661150995864484, ""9"": 0.00528692101365327}","{""10"": 0.005204164998665328, ""12"": 0.01010362971081845, ""13"": 0.008660254037844385, ""14"": 0.007216878364870319, ""2"": 0.010408329997330665, ""3"": 0.005204164998665327, ""4"": 0.010000000000000004, ""5"": 0.006062177826491069, ""6"": 0.0049999999999999975, ""7"": 0.010408329997330665, ""8"": 0.006614378277661476, ""9"": 0.00529150262212918}",5.463172136899175e-09
2,plus_0.05_y,0.0,0.05,1,0.0048,0.004156921938165304,-0.0024000000000000015,converged,0,{},4,12,35,47,0.004800000000000184,0.0049959952031795665,0.0049959952031795665,0.004995998398718719,"{""10"": 0.002500597466430274, ""12"": 0.004849740237290053, ""13"": 0.004156921858280427, ""14"": 0.0034641002545994725, ""2"": 0.0049959952031795665, ""3"": 0.0025005973410361744, ""4"": 0.004799996008157444, ""5"": 0.0029110547107991146, ""6"": 0.002402496321732331, ""7"": 0.0049959944947423765, ""8"": 0.0031755610274370304, ""9"": 0.0025409772152971645}","{""10"": 0.002497999199359357, ""12"": 0.004849742261192855, ""13"": 0.004156921938165304, ""14"": 0.003464101615137753, ""2"": 0.004995998398718719, ""3"": 0.002497999199359357, ""4"": 0.004800000000000001, ""5"": 0.002909845356715713, ""6"": 0.0023999999999999985, ""7"": 0.004995998398718718, ""8"": 0.0031749015732775083, ""9"": 0.002539921258622006}",2.2503658936301463e-09
2,plus_0.05_y,0.0,0.05,1,0.005,0.004330127018922192,-0.002500000000000002,converged,0,{},4,12,35,47,0.004999999999999799,0.005204161382456665,0.005204161382456665,0.0052041649986653326,"{""10"": 0.002604901902059661, ""12"": 0.0050518125685224844, ""13"": 0.00433012692871193, ""14"": 0.003608437644439694, ""2"": 0.005204161382456665, ""3"": 0.002604901761311155, ""4"": 0.004999995484525689, ""5"": 0.003032401135214666, ""6"": 0.002502708780888256, ""7"": 0.005204160589744223, ""8"": 0.003307904672715493, ""9"": 0.0026468971033901476}","{""10"": 0.002602082499332664, ""12"": 0.005051814855409225, ""13"": 0.004330127018922192, ""14"": 0.0036084391824351596, ""2"": 0.0052041649986653326, ""3"": 0.0026020824993326637, ""4"": 0.005000000000000002, ""5"": 0.0030310889132455347, ""6"": 0.0024999999999999988, ""7"": 0.0052041649986653326, ""8"": 0.003307189138830738, ""9"": 0.00264575131106459}",2.5423774197008697e-09
2,plus_0.05_y,0.0,0.05,1,0.01,0.008660254037844385,-0.005000000000000004,converged,0,{},5,15,37,49,0.009999999999999983,0.01040830016637461,0.01040830016637461,0.010408329997330665,"{""10"": 0.005215452848931249, ""12"": 0.010103629590946019, ""13"": 0.008660253332628542, ""14"": 0.007216866019676734, ""2"": 0.01040830016637461, ""3"": 0.00521545192095297, ""4"": 0.009999963160103572, ""5"": 0.006067425586999917, ""6"": 0.0050108448739993, ""7"": 0.010408295454173051, ""8"": 0.006617238453367313, ""9"": 0.005296086398961146}","{""10"": 0.005204164998665328, ""12"": 0.01010362971081845, ""13"": 0.008660254037844385, ""14"": 0.007216878364870319, ""2"": 0.010408329997330665, ""3"": 0.005204164998665327, ""4"": 0.010000000000000004, ""5"": 0.006062177826491069, ""6"": 0.0049999999999999975, ""7"": 0.010408329997330665, ""8"": 0.006614378277661476, ""9"": 0.00529150262212918}",9.096603470482023e-09
2,plus_0.05_y,0.0,0.05,-1,0.0048,-0.004156921938165304,0.0024000000000000015,converged,0,{},4,12,35,47,0.004800000000000184,0.004995995389640633,0.004995995389640633,0.004995998398718719,"{""10"": 0.0024954054773797967, ""12"": 0.004849740207638224, ""13"": 0.004156921854825413, ""14"": 0.003464100263210361, ""2"": 0.004995995389640633, ""3"": 0.0024954053108272333, ""4"": 0.004799996159455067, ""5"": 0.00290863551397748, ""6"": 0.0023975079981464233, ""7"": 0.004995994336693237, ""8"": 0.003174241242590438, ""9"": 0.0025388655614836985}","{""10"": 0.002497999199359357, ""12"": 0.004849742261192855, ""13"": 0.004156921938165304, ""14"": 0.003464101615137753, ""2"": 0.004995998398718719, ""3"": 0.002497999199359357, ""4"": 0.004800000000000001, ""5"": 0.002909845356715713, ""6"": 0.0023999999999999985, ""7"": 0.004995998398718718, ""8"": 0.0031749015732775083, ""9"": 0.002539921258622006}",2.370450946642677e-09
2,plus_0.05_y,0.0,0.05,-1,0.005,-0.004330127018922192,0.002500000000000002,converged,0,{},4,12,35,47,0.004999999999999991,0.00520416160187384,0.00520416160187384,0.0052041649986653326,"{""10"": 0.0025992682338272363, ""12"": 0.005051812533611422, ""13"": 0.004330126924644517, ""14"": 0.003608437654578693, ""2"": 0.00520416160187384, ""3"": 0.0025992680446197754, ""4"": 0.004999995662659925, ""5"": 0.0030297761389575443, ""6"": 0.0024972961017942687, ""7"": 0.005204160403661701, ""8"": 0.0033064726142239954, ""9"": 0.0026446058120891537}","{""10"": 0.002602082499332664, ""12"": 0.005051814855409225, ""13"": 0.004330127018922192, ""14"": 0.0036084391824351596, ""2"": 0.0052041649986653326, ""3"": 0.0026020824993326637, ""4"": 0.005000000000000002, ""5"": 0.0030310889132455347, ""6"": 0.0024999999999999988, ""7"": 0.0052041649986653326, ""8"": 0.003307189138830738, ""9"": 0.00264575131106459}",2.6531150609798715e-09
2,plus_0.05_y,0.0,0.05,-1,0.01,-0.008660254037844385,0.005000000000000004,converged,0,{},5,15,37,49,0.009999999999999983,0.010408303677378475,0.010408303677378475,0.010408329997330665,"{""10"": 0.0051929182436506755, ""12"": 0.010103629836785255, ""13"": 0.008660253267542828, ""14"": 0.007216866181911292, ""2"": 0.010408303677378475, ""3"": 0.00519291654026961, ""4"": 0.009999966011179903, ""5"": 0.006056925646873912, ""6"": 0.004989194188103071, ""7"": 0.010408292476372052, ""8"": 0.006611510176358581, ""9"": 0.005286921192315813}","{""10"": 0.005204164998665328, ""12"": 0.01010362971081845, ""13"": 0.008660254037844385, ""14"": 0.007216878364870319, ""2"": 0.010408329997330665, ""3"": 0.005204164998665327, ""4"": 0.010000000000000004, ""5"": 0.006062177826491069, ""6"": 0.0049999999999999975, ""7"": 0.010408329997330665, ""8"": 0.006614378277661476, ""9"": 0.00529150262212918}",8.80131922897931e-09
2,plus_0.10_x,0.1,0.0,1,0.0048,0.004156921938165304,-0.0024000000000000015,converged,0,{},4,12,36,48,0.004800000000000184,0.004995996235497863,0.004995996235497863,0.004995998398718719,"{""10"": 0.0025005977507001707, ""12"": 0.004849742229484422, ""13"": 0.004156921906226074, ""14"": 0.003464101582967949, ""2"": 0.004995996235497863, ""3"": 0.002500596748090825, ""4"": 0.0047999985731178385, ""5"": 0.0029110547320794367, ""6"": 0.0024024963147349803, ""7"": 0.004995993638679318, ""8"": 0.0031755609749896186, ""9"": 0.002540977158464206}","{""10"": 0.002497999199359357, ""12"": 0.004849742261192855, ""13"": 0.004156921938165304, ""14"": 0.003464101615137753, ""2"": 0.004995998398718719, ""3"": 0.002497999199359357, ""4"": 0.004800000000000001, ""5"": 0.002909845356715713, ""6"": 0.0023999999999999985, ""7"": 0.004995998398718718, ""8"": 0.0031749015732775083, ""9"": 0.002539921258622006}",2.174801227994294e-09
2,plus_0.10_x,0.1,0.0,1,0.005,0.004330127018922192,-0.002500000000000002,converged,0,{},4,12,36,48,0.004999999999999799,0.005204162550355207,0.005204162550355207,0.0052041649986653326,"{""10"": 0.0026049022234818937, ""12"": 0.005051814819642342, ""13"": 0.0043301269828837086, ""14"": 0.0036084391461250753, ""2"": 0.005204162550355207, ""3"": 0.0026049010909224867, ""4"": 0.004999998384133919, ""5"": 0.0030324011592831436, ""6"": 0.002502708772644066, ""7"": 0.005204159621826903, ""8"": 0.0033079046134292206, ""9"": 0.0026468970391453784}","{""10"": 0.002602082499332664, ""12"": 0.005051814855409225, ""13"": 0.004330127018922192, ""14"": 0.0036084391824351596, ""2"": 0.0052041649986653326, ""3"": 0.0026020824993326637, ""4"": 0.005000000000000002, ""5"": 0.0030310889132455347, ""6"": 0.0024999999999999988, ""7"": 0.0052041649986653326, ""8"": 0.003307189138830738, ""9"": 0.00264575131106459}",2.4542639032176794e-09
