path,path_index,receiver_id,anchor,t,circle_theta_rad,point_x,point_y,angle_01_rad,angle_02_rad,angle_12_rad,min_observed_angle_rad,endpoint_zero_or_pi_rows,nonsmooth_jacobian_rows,full_regular_row_count,full_rank,full_sigma_min,selected_indices,selected_regular_row_count,selected_rank,selected_sigma_min,selected_inverse_amplification,estimator_success,candidate_x,candidate_y,candidate_error_to_path_d,full_residual_rad,estimator_message
reference_ray,0,2,FY01_toward_FY11,0.1,,1.8,3.117691453623979,3.141592653589793,2.0034858042368486,1.1381068493529447,1.1381068493529447,0,0,2,2,0.2517862645029434,1;2,2,2,0.2517862645029434,3.9716225266462457,True,1.8,3.117691453623979,0.0,0.0,`gtol` termination condition is satisfied.
reference_ray,11,7,FY15_toward_FY01,0.01,,3.98,0.034641016151377546,1.0559011043222486,3.141592653589793,2.085691549267545,1.0559011043222486,1,1,2,2,0.219781116987208,1;2,1,1,nan,nan,False,0.5,0.8660254037844384,3.5779323638101377,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,11,8,FY15_toward_FY01,0.01,,3.98,0.034641016151377546,1.0559011043222486,3.141592653589793,2.085691549267545,1.0559011043222486,1,1,2,2,0.219781116987208,0;1,1,1,nan,nan,False,1.5,0.8660254037844384,2.6156452358834903,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,11,9,FY15_toward_FY01,0.01,,3.98,0.034641016151377546,1.0559011043222486,3.141592653589793,2.085691549267545,1.0559011043222486,1,1,2,2,0.219781116987208,0;1,1,1,nan,nan,False,2.5,0.8660254037844384,1.6975276139138356,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,11,10,FY15_toward_FY01,0.01,,3.98,0.034641016151377546,1.0559011043222486,3.141592653589793,2.085691549267545,1.0559011043222486,1,1,2,2,0.219781116987208,0;2,2,2,0.219781116987208,4.549981425648152,True,3.9799999999999995,0.034641016151378067,6.841411584861036e-16,3.552713678800501e-15,`gtol` termination condition is satisfied.
reference_ray,11,12,FY15_toward_FY01,0.01,,3.98,0.034641016151377546,1.0559011043222486,3.141592653589793,2.085691549267545,1.0559011043222486,1,1,2,2,0.219781116987208,0;1,1,1,nan,nan,False,1.0,0.0,2.9802013354805412,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,11,13,FY15_toward_FY01,0.01,,3.98,0.034641016151377546,1.0559011043222486,3.141592653589793,2.085691549267545,1.0559011043222486,1,1,2,2,0.219781116987208,0;1,1,1,nan,nan,False,2.0,0.0,1.98030300711785,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,11,14,FY15_toward_FY01,0.01,,3.98,0.034641016151377546,1.0559011043222486,3.141592653589793,2.085691549267545,1.0559011043222486,1,1,2,2,0.219781116987208,0;1,1,1,nan,nan,False,3.0,0.0,0.980612053770501,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,12,2,FY15_toward_FY01,0.001,,3.998,0.0034641016151377543,1.0480640096128673,3.1415926535897456,2.093528643976878,1.0480640096128673,1,1,2,2,0.21683138121365536,1;2,1,1,nan,nan,False,1.5,2.598076211353316,3.6016685022361514,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,12,3,FY15_toward_FY01,0.001,,3.998,0.0034641016151377543,1.0480640096128673,3.1415926535897456,2.093528643976878,1.0480640096128673,1,1,2,2,0.21683138121365536,0;2,2,2,0.21683138121365536,4.6118785685114805,False,3.999999998721717,-2.218487789402208e-09,0.00400000128212588,2.0952615682761984,solver converged but complete-triangle residual 2.095e+00 exceeds 1.000e-08
reference_ray,12,4,FY15_toward_FY01,0.001,,3.998,0.0034641016151377543,1.0480640096128673,3.1415926535897456,2.093528643976878,1.0480640096128673,1,1,2,2,0.21683138121365536,1;2,1,1,nan,nan,False,1.0,1.7320508075688772,3.460638091450766,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,12,5,FY15_toward_FY01,0.001,,3.998,0.0034641016151377543,1.0480640096128673,3.1415926535897456,2.093528643976878,1.0480640096128673,1,1,2,2,0.21683138121365536,0;2,2,2,0.21683138121365536,4.6118785685114805,False,3.999999999821699,-3.094451367018685e-10,0.004000000178836786,2.0952615291820047,solver converged but complete-triangle residual 2.095e+00 exceeds 1.000e-08
reference_ray,12,6,FY15_toward_FY01,0.001,,3.998,0.0034641016151377543,1.0480640096128673,3.1415926535897456,2.093528643976878,1.0480640096128673,1,1,2,2,0.21683138121365536,0;2,2,2,0.21683138121365536,4.6118785685114805,True,3.998,0.0034641016151378415,8.716985466783456e-17,1.1102230246251565e-14,`xtol` termination condition is satisfied.
reference_ray,12,7,FY15_toward_FY01,0.001,,3.998,0.0034641016151377543,1.0480640096128673,3.1415926535897456,2.093528643976878,1.0480640096128673,1,1,2,2,0.21683138121365536,1;2,1,1,nan,nan,False,0.5,0.8660254037844384,3.6027789274392066,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,12,8,FY15_toward_FY01,0.001,,3.998,0.0034641016151377543,1.0480640096128673,3.1415926535897456,2.093528643976878,1.0480640096128673,1,1,2,2,0.21683138121365536,0;1,1,1,nan,nan,False,1.5,0.8660254037844384,2.64272889264109,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,12,9,FY15_toward_FY01,0.001,,3.998,0.0034641016151377543,1.0480640096128673,3.1415926535897456,2.093528643976878,1.0480640096128673,1,1,2,2,0.21683138121365536,0;1,1,1,nan,nan,False,2.5,0.8660254037844384,1.7285878629679199,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,12,10,FY15_toward_FY01,0.001,,3.998,0.0034641016151377543,1.0480640096128673,3.1415926535897456,2.093528643976878,1.0480640096128673,1,1,2,2,0.21683138121365536,0;2,2,2,0.21683138121365536,4.6118785685114805,True,3.9979999999999993,0.0034641016151394357,1.9015525397364075e-15,1.8207657603852567e-14,`xtol` termination condition is satisfied.
reference_ray,12,12,FY15_toward_FY01,0.001,,3.998,0.0034641016151377543,1.0480640096128673,3.1415926535897456,2.093528643976878,1.0480640096128673,1,1,2,2,0.21683138121365536,0;1,1,1,nan,nan,False,1.0,0.0,2.998002001333555,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,12,13,FY15_toward_FY01,0.001,,3.998,0.0034641016151377543,1.0480640096128673,3.1415926535897456,2.093528643976878,1.0480640096128673,1,1,2,2,0.21683138121365536,0;1,1,1,nan,nan,False,2.0,0.0,1.9980030030007465,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,12,14,FY15_toward_FY01,0.001,,3.998,0.0034641016151377543,1.0480640096128673,3.1415926535897456,2.093528643976878,1.0480640096128673,1,1,2,2,0.21683138121365536,0;1,1,1,nan,nan,False,3.0,0.0,0.99800601200594,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,13,2,FY15_toward_FY01,0.0001,,3.9998,0.00034641016151377546,1.047284158067103,3.1415926535897456,2.0943084955226423,1.047284158067103,1,1,2,2,0.2165388296053877,1;2,1,1,nan,nan,False,1.5,2.598076211353316,3.6051629866068473,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,13,3,FY15_toward_FY01,0.0001,,3.9998,0.00034641016151377546,1.047284158067103,3.1415926535897456,2.0943084955226423,1.047284158067103,1,1,2,2,0.2165388296053877,0;2,2,2,0.2165388296053877,4.61810937937719,False,3.9999999855939965,-2.495692104712922e-08,0.0004000144111042416,2.0944817096856263,solver converged but complete-triangle residual 2.094e+00 exceeds 1.000e-08
reference_ray,13,4,FY15_toward_FY01,0.0001,,3.9998,0.00034641016151377546,1.047284158067103,3.1415926535897456,2.0943084955226423,1.047284158067103,1,1,2,2,0.2165388296053877,1;2,1,1,nan,nan,False,1.0,1.7320508075688772,3.463755210750321,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
reference_ray,13,5,FY15_toward_FY01,0.0001,,3.9998,0.00034641016151377546,1.047284158067103,3.1415926535897456,2.0943084955226423,1.047284158067103,1,1,2,2,0.2165388296053877,0;2,2,2,0.2165388296053877,4.61810937937719,False,3.9999999926116816,-1.279950268926755e-08,0.0004000073907400123,2.0944817102570177,solver converged but complete-triangle residual 2.094e+00 exceeds 1.000e-08
reference_ray,13,6,FY15_toward_FY01,0.0001,,3.9998,0.00034641016151377546,1.047284158067103,3.1415926535897456,2.0943084955226423,1.047284158067103,1,1,2,2,0.2165388296053877,0;2,2,2,0.2165388296053877,4.61810937937719,True,3.9998,0.0003464101615137167,5.876375774871434e-17,7.37188088351104e-14,`xtol` termination condition is satisfied.
reference_ray,13,7,FY15_toward_FY01,0.0001,,3.9998,0.00034641016151377546,1.047284158067103,3.1415926535897456,2.0943084955226423,1.047284158067103,1,1,2,2,0.2165388296053877,1;2,1,1,nan,nan,False,0.5,0.8660254037844384,3.605273936887459,inf,geometry/solver failure: selected angle Jacobian reached a 0 or pi row
