configuration,full_rows,degenerate_rows,regular_rows,rank_1e-08,rank_1e-09,rank_1e-10,sigma_26,sigma_27,shape_rank_1e-08,shape_rank_1e-09,shape_rank_1e-10,gauge_residual
8-11-13,36,5,31,24,24,24,1.970248388735771e-16,1.0700093260973689e-16,24,24,24,4.2129322812230214e-17
8-11-14,36,4,32,24,24,24,2.2116557232067654e-16,1.6666187782686618e-16,24,24,24,3.583871880472366e-17
8-11-15,36,4,32,24,24,24,1.8188619923755802e-16,1.4197838937147476e-16,24,24,24,3.8951467884369337e-17
8-12-13,36,6,30,24,24,24,1.6399213897381647e-16,6.861369798753425e-17,24,24,24,3.1215838945938636e-17
8-12-14,36,5,31,24,24,24,1.9928263793148211e-16,1.4983276791729774e-16,24,24,24,2.9387617721403106e-17
8-12-15,36,5,31,24,24,24,2.0357501657663427e-16,1.5515173389620233e-16,24,24,24,3.305769173414242e-17
8-13-14,36,4,32,23,23,23,1.3838805900395883e-16,1.0360684615686991e-16,23,23,23,2.8709789054445986e-17
8-13-15,36,4,32,24,24,24,1.4627476803571563e-16,1.173268966749939e-16,24,24,24,3.28130188677977e-17
8-14-15,36,3,33,24,24,24,1.9591280258005136e-16,1.2934471212767177e-16,24,24,24,2.995584546536979e-17
9-10-11,36,2,34,24,24,24,2.288902684903819e-16,1.450364649277118e-16,24,24,24,4.125926392449575e-17
9-10-12,36,2,34,24,24,24,2.140435959101776e-16,1.6184407986997002e-16,24,24,24,2.864610277406207e-17
9-10-13,36,3,33,24,24,24,1.7245196608422664e-16,1.1486175127544482e-16,24,24,24,2.7116884414879776e-17
9-10-14,36,4,32,24,24,24,1.7853459975997943e-16,7.442178562975648e-17,24,24,24,2.870362239077705e-17
9-10-15,36,6,30,24,24,24,1.160160954252764e-16,4.094444177638307e-17,24,24,24,3.1480241098469103e-17
9-11-12,36,3,33,24,24,24,1.6152631476895098e-16,1.0660860119132394e-16,24,24,24,3.682708039823138e-17
9-11-13,36,4,32,24,24,24,1.4915419562443855e-16,1.3054756994269773e-16,24,24,24,4.3063687028606927e-17
9-11-14,36,5,31,24,24,24,1.7115084289655316e-16,1.2280065859813182e-16,24,24,24,3.837962476196021e-17
9-11-15,36,4,32,24,24,24,2.0393365124499059e-16,1.72555686685187e-16,24,24,24,4.1152779640291266e-17
9-12-13,36,4,32,23,23,23,1.2293551242177162e-16,1.0814100280486852e-16,23,23,23,2.9384926060254137e-17
9-12-14,36,5,31,24,24,24,1.7434809619931451e-16,1.5146230448999546e-16,24,24,24,2.903790199759124e-17
9-12-15,36,4,32,24,24,24,2.1784519757718112e-16,1.2442644827100004e-16,24,24,24,3.240909290539586e-17
9-13-14,36,6,30,24,24,24,9.712184498682525e-17,5.5189548667593967e-17,24,24,24,2.546551745648309e-17
9-13-15,36,5,31,24,24,24,1.7587605650773013e-16,9.097676127435345e-17,24,24,24,3.1537678511163125e-17
9-14-15,36,6,30,24,24,24,1.2929490779656156e-16,5.3682603291279014e-17,24,24,24,3.100868893168318e-17
10-11-12,36,3,33,24,24,24,1.720248929811469e-16,1.4129004581733784e-16,24,24,24,3.813624676231551e-17
10-11-13,36,3,33,24,24,24,1.9961920715279537e-16,1.1798746844324723e-16,24,24,24,4.172105007437784e-17
10-11-14,36,3,33,24,24,24,1.2270165988716508e-16,9.720454117075905e-17,24,24,24,4.132525825523371e-17
10-11-15,36,6,30,24,24,24,1.3936902871973199e-16,1.2127348260060285e-16,24,24,24,4.8750963959752983e-17
10-12-13,36,3,33,24,24,24,1.4295584146003278e-16,9.903647366478613e-17,24,24,24,2.8342706562384686e-17
10-12-14,36,3,33,23,23,23,1.450538378536735e-16,1.1187957761868968e-16,23,23,23,2.874514375528176e-17
10-12-15,36,6,30,24,24,24,1.6030662953884552e-16,1.0000624557676703e-16,24,24,24,3.325123383878291e-17
10-13-14,36,3,33,23,23,23,1.0839533047375436e-16,9.207887970108724e-17,23,23,23,2.540391235843761e-17
