configuration,full_rows,degenerate_rows,regular_rows,rank_1e-08,rank_1e-09,rank_1e-10,sigma_26,sigma_27,shape_rank_1e-08,shape_rank_1e-09,shape_rank_1e-10,gauge_residual,perturbation_level,perturbation_seed
2-4-10,36,0,36,24,24,24,2.7269223746556735e-16,1.9808502379557362e-16,24,24,24,4.506017177819843e-17,0.013,20260906
2-4-11,36,0,36,24,24,24,3.4562878189515335e-16,1.4050447229255248e-16,24,24,24,4.299259106590493e-17,0.013,20260906
2-4-12,36,0,36,24,24,24,2.9703647422220488e-16,2.1750902423046827e-16,24,24,24,4.921085467379918e-17,0.013,20260906
2-4-13,36,0,36,24,24,24,1.9395705088785216e-16,1.667173030227079e-16,24,24,24,3.866607571721203e-17,0.013,20260906
2-4-14,36,0,36,24,24,24,3.364248988808714e-16,1.9257583653370608e-16,24,24,24,4.6489140675546964e-17,0.013,20260906
2-4-15,36,0,36,24,24,24,2.814494603005387e-16,1.8037496584388862e-16,24,24,24,4.450689838581959e-17,0.013,20260906
2-5-6,36,0,36,24,24,24,2.3782790564627266e-16,1.3680606722961585e-16,24,24,24,3.879955311481435e-17,0.013,20260906
2-5-7,36,0,36,24,24,24,2.903466871279877e-16,2.321247010154259e-16,24,24,24,4.6608609387458547e-17,0.013,20260906
2-5-8,36,0,36,24,24,24,3.2531724356490906e-16,1.641988762852804e-16,24,24,24,3.7525135979769044e-17,0.013,20260906
2-5-9,36,0,36,24,24,24,2.0628225045772188e-16,1.765595644667843e-16,24,24,24,3.8684813859321635e-17,0.013,20260906
2-5-10,36,0,36,24,24,24,1.9363528925914876e-16,1.836577182082285e-16,24,24,24,4.3218353328251606e-17,0.013,20260906
2-5-11,36,0,36,24,24,24,4.1727169962148956e-16,1.751681446039376e-16,24,24,24,3.546921585279373e-17,0.013,20260906
2-5-12,36,0,36,24,24,24,3.0519788815124515e-16,1.4480403618005194e-16,24,24,24,4.071710659596793e-17,0.013,20260906
2-5-13,36,0,36,24,24,24,2.740798677244114e-16,2.0897517919538419e-16,24,24,24,3.458025445943128e-17,0.013,20260906
2-5-14,36,0,36,24,24,24,2.83650060190609e-16,2.5421176086002303e-16,24,24,24,4.5792108430221677e-17,0.013,20260906
2-5-15,36,0,36,24,24,24,3.931097165236868e-16,3.838859984695335e-16,24,24,24,4.2831403305983105e-17,0.013,20260906
2-6-7,36,0,36,24,24,24,3.651773143221634e-16,2.1561977690201844e-16,24,24,24,4.6007228344068314e-17,0.013,20260906
2-6-8,36,0,36,24,24,24,3.629429478474478e-16,2.1824398808965695e-16,24,24,24,3.6762252088152546e-17,0.013,20260906
2-6-9,36,0,36,24,24,24,2.62601622111611e-16,1.9659800982659333e-16,24,24,24,4.211592189747282e-17,0.013,20260906
2-6-10,36,0,36,24,24,24,2.180224630363172e-16,1.7560407947140362e-16,24,24,24,4.32067751344466e-17,0.013,20260906
2-6-11,36,0,36,24,24,24,4.907807638658008e-16,1.7838673251498552e-16,24,24,24,4.152038455207231e-17,0.013,20260906
2-6-12,36,0,36,24,24,24,3.9228313338334195e-16,2.2711924892492095e-16,24,24,24,4.5218861269978845e-17,0.013,20260906
2-6-13,36,0,36,24,24,24,2.653483497648872e-16,2.1148890485655697e-16,24,24,24,4.1278651797645e-17,0.013,20260906
2-6-14,36,0,36,24,24,24,4.068757220670953e-16,3.310095467956858e-16,24,24,24,4.5643015183489004e-17,0.013,20260906
2-6-15,36,0,36,24,24,24,3.2632370411721536e-16,1.7781804104652458e-16,24,24,24,4.539903092800896e-17,0.013,20260906
2-7-8,36,0,36,24,24,24,2.260253719670611e-16,1.8685826412813846e-16,24,24,24,4.419636870835343e-17,0.013,20260906
2-7-9,36,0,36,24,24,24,3.4358695198453603e-16,3.248553027101695e-16,24,24,24,4.7612165971556946e-17,0.013,20260906
2-7-10,36,0,36,24,24,24,3.452830778374043e-16,2.4346106320730247e-16,24,24,24,4.977591147443258e-17,0.013,20260906
2-7-11,36,0,36,24,24,24,1.887551055698381e-16,1.7268690857171841e-16,24,24,24,5.294535042706056e-17,0.013,20260906
2-7-12,36,0,36,24,24,24,2.797097009054207e-16,2.328491786327314e-16,24,24,24,4.7810672646311274e-17,0.013,20260906
2-7-13,36,0,36,24,24,24,2.6360336805085296e-16,2.1877977784412646e-16,24,24,24,4.639535882599022e-17,0.013,20260906
2-7-14,36,0,36,24,24,24,3.1495488445510427e-16,2.0235635314778614e-16,24,24,24,5.142940401074237e-17,0.013,20260906
2-7-15,36,0,36,24,24,24,3.005487499866192e-16,2.122311538612194e-16,24,24,24,5.081338359150943e-17,0.013,20260906
2-8-9,36,0,36,24,24,24,3.0161299013413844e-16,2.1889462631606552e-16,24,24,24,3.881692783626855e-17,0.013,20260906
2-8-10,36,0,36,24,24,24,3.4825886926977455e-16,2.359912426352525e-16,24,24,24,4.162313636959431e-17,0.013,20260906
2-8-11,36,0,36,24,24,24,3.2263479660428784e-16,2.9792473483143956e-16,24,24,24,4.137552278619582e-17,0.013,20260906
2-8-12,36,0,36,24,24,24,3.3278928239701767e-16,2.1007031623924637e-16,24,24,24,4.435372929798198e-17,0.013,20260906
2-8-13,36,0,36,24,24,24,3.2676832166751853e-16,1.7104107803777135e-16,24,24,24,3.8063124738048414e-17,0.013,20260906
2-8-14,36,0,36,24,24,24,2.9681497347723623e-16,2.571408838787836e-16,24,24,24,4.520807201616722e-17,0.013,20260906
2-8-15,36,0,36,24,24,24,4.4331635051752257e-16,3.172033045153627e-16,24,24,24,4.2057465619399784e-17,0.013,20260906
2-9-10,36,0,36,24,24,24,3.1070322424851346e-16,1.91631488006529e-16,24,24,24,4.634147452236499e-17,0.013,20260906
2-9-11,36,0,36,24,24,24,4.86952105835423e-16,3.213420004234357e-16,24,24,24,4.1108523228695986e-17,0.013,20260906
2-9-12,36,0,36,24,24,24,3.6203988086395616e-16,2.6656922595346596e-16,24,24,24,4.3314126757490754e-17,0.013,20260906
2-9-13,36,0,36,24,24,24,3.941214985831875e-16,2.2626322342696354e-16,24,24,24,3.910958624080047e-17,0.013,20260906
2-9-14,36,0,36,24,24,24,2.6856432964629353e-16,2.2236292848291886e-16,24,24,24,4.858184166263136e-17,0.013,20260906
2-9-15,36,0,36,24,24,24,2.510315784993845e-16,2.2012813677492477e-16,24,24,24,4.3736911727597375e-17,0.013,20260906
2-10-11,36,0,36,24,24,24,3.7196196374402253e-16,2.7961423796835446e-16,24,24,24,4.434984489932795e-17,0.013,20260906
