configuration,full_rows,degenerate_rows,regular_rows,rank_1e-08,rank_1e-09,rank_1e-10,sigma_26,sigma_27,shape_rank_1e-08,shape_rank_1e-09,shape_rank_1e-10,gauge_residual,perturbation_level,perturbation_seed
8-11-12,36,0,36,24,24,24,1.6210146671907353e-16,1.4076899664268478e-16,24,24,24,4.561865868917877e-17,0.013,20260906
8-11-13,36,0,36,24,24,24,2.4025609708535646e-16,1.5983369037264212e-16,24,24,24,3.8493930346614085e-17,0.013,20260906
8-11-14,36,0,36,24,24,24,2.4331257531802413e-16,2.0900036212064163e-16,24,24,24,4.429831452204616e-17,0.013,20260906
8-11-15,36,0,36,24,24,24,2.872005240920387e-16,2.4056651720899855e-16,24,24,24,4.2376495672592724e-17,0.013,20260906
8-12-13,36,0,36,24,24,24,1.777246833852028e-16,1.4185343522730253e-16,24,24,24,4.0537272674970476e-17,0.013,20260906
8-12-14,36,0,36,24,24,24,1.8962850427487034e-16,1.520643033467104e-16,24,24,24,4.887237279775181e-17,0.013,20260906
8-12-15,36,0,36,24,24,24,2.79296654387411e-16,1.8620341180009327e-16,24,24,24,4.8232309754217634e-17,0.013,20260906
8-13-14,36,0,36,24,24,24,2.3293410308688645e-16,1.319283176767447e-16,24,24,24,4.471601168954424e-17,0.013,20260906
8-13-15,36,0,36,24,24,24,1.7211221639112842e-16,1.5460136594318154e-16,24,24,24,4.2336565754318095e-17,0.013,20260906
8-14-15,36,0,36,24,24,24,1.572819744845743e-16,1.4923261920979333e-16,24,24,24,3.855706532808797e-17,0.013,20260906
9-10-11,36,0,36,24,24,24,2.5604469592805596e-16,2.3375071120850416e-16,24,24,24,4.377491049368832e-17,0.013,20260906
9-10-12,36,0,36,24,24,24,1.949263985957021e-16,1.5057393422855244e-16,24,24,24,4.582677067643553e-17,0.013,20260906
9-10-13,36,0,36,24,24,24,1.5671339224110208e-16,1.1550286688101034e-16,24,24,24,4.102037875758353e-17,0.013,20260906
9-10-14,36,0,36,24,24,24,2.2910440346415247e-16,1.1717581388207169e-16,24,24,24,4.69745904547461e-17,0.013,20260906
9-10-15,36,0,36,24,24,24,1.6978048287303406e-16,1.2418120378971385e-16,24,24,24,4.4911227816914515e-17,0.013,20260906
9-11-12,36,0,36,24,24,24,1.954130289164541e-16,1.4812934509141308e-16,24,24,24,3.8442769965526454e-17,0.013,20260906
9-11-13,36,0,36,24,24,24,1.7977718523107856e-16,1.6577262505046607e-16,24,24,24,3.256559481544557e-17,0.013,20260906
9-11-14,36,0,36,24,24,24,2.604955219083386e-16,2.1732133719842235e-16,24,24,24,4.175775981906205e-17,0.013,20260906
9-11-15,36,0,36,24,24,24,2.676918104231717e-16,1.8386294251200906e-16,24,24,24,3.7922031800614194e-17,0.013,20260906
9-12-13,36,0,36,24,24,24,2.0440495000134414e-16,1.5760546973764484e-16,24,24,24,3.5537008036941346e-17,0.013,20260906
9-12-14,36,0,36,24,24,24,1.985395574290699e-16,1.8138595608935162e-16,24,24,24,4.7504773962145305e-17,0.013,20260906
9-12-15,36,0,36,24,24,24,2.0129574711495461e-16,1.715848193992641e-16,24,24,24,4.442817795354431e-17,0.013,20260906
9-13-14,36,0,36,24,24,24,1.6681504192478762e-16,1.3127028928983594e-16,24,24,24,4.3983531545739646e-17,0.013,20260906
9-13-15,36,0,36,24,24,24,2.268174381145056e-16,1.4508756020433564e-16,24,24,24,3.907678237625285e-17,0.013,20260906
9-14-15,36,0,36,24,24,24,1.8440353711712156e-16,1.0970837977538643e-16,24,24,24,3.9599564573954397e-17,0.013,20260906
10-11-12,36,0,36,24,24,24,2.3360704915196773e-16,1.8046081353899739e-16,24,24,24,4.799622340781614e-17,0.013,20260906
10-11-13,36,0,36,24,24,24,2.0939392040914897e-16,1.7988985515806687e-16,24,24,24,4.0210462519765866e-17,0.013,20260906
10-11-14,36,0,36,24,24,24,2.2904735259771677e-16,1.7978546763728676e-16,24,24,24,4.0148915897138007e-17,0.013,20260906
10-11-15,36,0,36,24,24,24,1.833415168193264e-16,1.2353386647350828e-16,24,24,24,4.576443447327409e-17,0.013,20260906
10-12-13,36,0,36,24,24,24,1.8294825924893757e-16,1.7234996170620806e-16,24,24,24,4.193759374629228e-17,0.013,20260906
10-12-14,36,0,36,24,24,24,2.0023688211334463e-16,1.7703338645075018e-16,24,24,24,4.625931914928787e-17,0.013,20260906
10-12-15,36,0,36,24,24,24,2.354927912009826e-16,1.8666640250598932e-16,24,24,24,5.1331904802289976e-17,0.013,20260906
10-13-14,36,0,36,24,24,24,1.3424802180585471e-16,1.1882323416135422e-16,24,24,24,3.984672600873084e-17,0.013,20260906
10-13-15,36,0,36,24,24,24,1.675425770541748e-16,1.2656444774132305e-16,24,24,24,4.151274808617427e-17,0.013,20260906
10-14-15,36,0,36,24,24,24,1.0609879187939468e-16,1.0123975022386332e-16,24,24,24,4.345080423105656e-17,0.013,20260906
11-12-13,36,0,36,24,24,24,1.5383537682410173e-16,1.3202305624175e-16,24,24,24,4.258109251533786e-17,0.013,20260906
11-12-14,36,0,36,24,24,24,1.4566506552222923e-16,1.37094292252985e-16,24,24,24,4.871870567610795e-17,0.013,20260906
11-12-15,36,0,36,24,24,24,1.6428483358281177e-16,1.3877766192365794e-16,24,24,24,5.0644589485263903e-17,0.013,20260906
11-13-14,36,0,36,24,24,24,1.6225757318789575e-16,1.180293541012168e-16,24,24,24,4.2258727054653454e-17,0.013,20260906
11-13-15,36,0,36,24,24,24,2.0718505033806602e-16,1.3229285319853365e-16,24,24,24,4.292548617499545e-17,0.013,20260906
11-14-15,36,0,36,24,24,24,1.7274740085342774e-16,1.5681327063553487e-16,24,24,24,4.121985339394744e-17,0.013,20260906
12-13-14,36,0,36,24,24,24,1.841449664654492e-16,1.226250416914704e-16,24,24,24,5.1734936433247005e-17,0.013,20260906
12-13-15,36,0,36,24,24,24,1.8047634177937699e-16,1.3107651060409352e-16,24,24,24,4.9987890078094294e-17,0.013,20260906
12-14-15,36,0,36,24,24,24,1.9125847287610135e-16,1.5919615743465424e-16,24,24,24,5.0729085872149794e-17,0.013,20260906
13-14-15,36,0,36,24,24,24,1.3192869463147642e-16,1.2001019945323717e-16,24,24,24,4.3645118995707026e-17,0.013,20260906
