slot,epoch,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
22,1,1.6153679956834546,1.123433429206199,1.5276925979426181,0.6750860267194255,0.6120690760732401
23,1,1.6153679956834546,0.9361447889511673,1.112025455109702,0.6750860267194255,0.6757707477716295
24,1,1.6153679956834546,0.9730561861807259,1.112025455109702,0.7934190536428376,0.7080750433173222
25,1,1.758987828496809,1.0642000522468078,1.112025455109702,0.8838235860096414,0.7244452133810668
26,1,1.758987828496809,1.079571997954286,0.8573118493817873,0.8838235860096414,0.7218834858622358
27,1,1.758987828496809,1.1994337766129817,0.8573118493817873,0.921024177304445,0.8784730040038937
28,1,2.153026662780537,1.373278203484279,1.2865381319191442,1.1563720776913935,1.156372077691394
29,2,2.153026662780537,1.544464004478106,1.2438787559182884,1.1563720776913935,1.156372077691394
30,2,2.153026662780537,1.2873342900990286,1.0907304451457946,1.1563720776913935,1.156372077691394
31,2,2.153026662780537,1.0109806224669278,0.7297964962591692,1.1563720776913935,1.156372077691394
32,2,2.153026662780537,0.8690432323629879,0.7297964962591692,1.1563720776913935,1.156372077691394
33,2,2.153026662780537,0.8848310999340907,0.7297964962591692,1.1563720776913935,1.156372077691394
34,2,2.153026662780537,1.065725586848287,0.8490767650801274,1.1563720776913935,1.156372077691394
35,2,2.1977231767581267,1.48582010692295,1.6129868512227716,1.1563720776913935,1.156372077691394
36,2,1.4234434830772307,0.963067669282901,1.210960117704829,0.612576448206229,0.609513684581934
37,2,1.2986784114405792,0.8708936733672651,1.2075424056343707,0.4614685245531844,0.5288608377641424
38,2,1.2986784114405792,0.86028877977758,1.2075424056343707,0.4956143741146325,0.4537991588330428
39,2,1.2610331553345127,0.7971433640070916,1.0292495519721143,0.5652515343005572,0.5652515343005788
40,2,1.3451216610155432,0.6987284669263822,0.7704144800828772,0.7255364515447353,0.7255364515447411
41,2,1.3451216610155432,0.6434410654176261,0.46180411649186226,0.7255364515447353,0.7255364515447411
42,2,0.9191192695448821,0.5541728198067698,0.31728813423004,0.4950307596379921,0.4950307596380128
43,2,0.8865241081160612,0.4803516745795546,0.3126401120338187,0.48214780781263283,0.36979492659587976
44,2,0.8865241081160612,0.46575936256806894,0.358950120774324,0.48214780781263283,0.4190490868183048
45,2,0.8865241081160612,0.4859264354213613,0.38207810772637174,0.48214780781263283,0.4438661664647441
46,2,0.8865241081160612,0.5283090686685853,0.393628666535804,0.48214780781263283,0.4563695133348915
47,2,0.5139157607771535,0.3515560719613766,0.24510798299004932,0.2768117384531392,0.27681173845313367
48,2,0.35631179619764825,0.2740368014871358,0.2157294444277511,0.18694319957859729,0.18694319957860728
49,2,0.3917620662349925,0.23889170912810398,0.2017227262778789,0.21097774582471227,0.21097774582471374
50,2,0.3917620662349925,0.21124776625011848,0.1344240294190655,0.21097774582471227,0.21097774582471374
51,2,0.2800461994369193,0.16795280584986644,0.10329159478281724,0.15076303049691908,0.1507630304969254
52,2,0.2564674747434798,0.15156746904828264,0.10329159478281724,0.1380663027758575,0.13806630277587573
53,2,0.2564674747434798,0.14552298477511952,0.09379373137046798,0.1380663027758575,0.13806630277587573
54,2,0.21439246190352843,0.12455640841429978,0.0867191857481373,0.11540813296382943,0.11540813296385721
55,2,0.21439246190352843,0.11678228640540962,0.08322898513469568,0.11540813296382943,0.11540813296385721
56,2,0.21439246190352843,0.12485421036998726,0.10941658455604397,0.11540813296382943,0.11540813296385721
57,3,0.22588448088394547,0.13065802831528492,0.09955892182786386,0.12161068754157153,0.1216106875415548
58,3,0.16485106011496692,0.1065553385401358,0.09039838085863039,0.08875272904149856,0.08875272904148801
59,3,0.16485106011496692,0.08207598340972397,0.05834164561554189,0.08875272904149856,0.08875272904148801
60,3,0.16485106011496692,0.06870284722455505,0.05628068312070411,0.08875272904149856,0.08875272904148801
61,3,0.16485106011496692,0.06801270215286183,0.05628068312070411,0.08875272904149856,0.08875272904148801
62,3,0.16485106011496692,0.0810518693987797,0.06333621430867709,0.08875272904149856,0.08875272904148801
63,3,0.1680201651062794,0.11348371025191165,0.12271121558008247,0.08875272904149856,0.08875272904148801
64,3,0.10836149964068098,0.07328178452435131,0.09185331717188205,0.0468899526778905,0.04688995267790119
