seed,sigma_theta_deg,eta_c,eta_r,n_bootstrap,n_main,online_status,original_1e-8_stop_applicable,production_acceptance_hits,original_angle_stop_hits,bootstrap_failure_count,receiver_failure_count,failure_count,final_reference_error_norm_d,final_receiver_rms_d,final_receiver_max_d,final_team_rms_d,final_team_max_d,bootstrap_action_displacement_d,main_action_displacement_d,total_action_displacement_d,measurement_slots,transmitter_uses
47,0.05,0.25,0.25,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.0108451247010652,0.008344019224904641,0.01198971792249757,0.007971150530459173,0.01198971792249757,0.08984653903829723,0.5715447697600966,0.6613913087983938,34,86
47,0.05,0.5,0.5,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.003832938854710358,0.0033071147294851137,0.005336119799038859,0.0031191399912120768,0.005336119799038859,0.10853435147272221,0.6905933018081958,0.799127653280918,34,86
47,0.05,0.75,0.75,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.005226083327534168,0.004541553710720515,0.00758273521533611,0.004280346311804236,0.00758273521533611,0.1221771351707944,0.8821076545302416,1.004284789701036,34,86
47,0.05,1.0,1.0,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.006485703535140709,0.005963421889118628,0.010355196962253578,0.00559054653188259,0.010355196962253578,0.13978348328534326,1.1621193013239433,1.3019027846092865,34,86
47,0.05,0.5,0.25,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.003832938854710358,0.00275644965077874,0.004866039924285255,0.0026566595113825084,0.004866039924285255,0.10853435147272221,0.5365575415594223,0.6450918930321444,34,86
71,0.05,0.25,0.25,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.010311883496982545,0.0080087798959938,0.011594258754237441,0.007642083513131023,0.011594258754237441,0.09007181887133853,0.5210097445531562,0.6110815634244947,34,86
71,0.05,0.5,0.5,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.00198946775711858,0.0015688049233749926,0.0025029976174991463,0.0014942505057247897,0.0025029976174991463,0.1043697260865228,0.6789298176691152,0.783299543755638,34,86
71,0.05,0.75,0.75,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.0028698105001978475,0.0021565835216345057,0.0038504453557418818,0.002066333986177318,0.0038504453557418818,0.11642940542599213,0.8687115018525952,0.9851409072785873,34,86
71,0.05,1.0,1.0,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.004105439045352008,0.0030799739484637643,0.005299226897918108,0.002951717059991652,0.005299226897918108,0.13438911684363694,1.1151918999493207,1.2495810167929575,34,86
71,0.05,0.5,0.25,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.00198946775711858,0.0016008023152580613,0.0024064407009967252,0.0015211574230837358,0.0024064407009967252,0.1043697260865228,0.5251987994078894,0.6295685254944122,34,86
101,0.1,0.25,0.25,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.007769662733708993,0.006102600026601517,0.008457799225365183,0.005815315319692236,0.008457799225365183,0.09671721844041763,0.6158035574895507,0.7125207759299683,34,86
101,0.1,0.5,0.5,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.009484435875928902,0.004248989024548139,0.007428597748740837,0.004521072267013463,0.009484435875928902,0.1255834629353737,0.8878776013571742,1.013461064292548,34,86
101,0.1,0.75,0.75,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.013974868590243366,0.005928688703345348,0.010093553992451744,0.006413990692274026,0.013974868590243366,0.1580441420167134,1.2264262982456926,1.384470440262406,34,86
101,0.1,1.0,1.0,8,18,not_evaluated_fixed_budget,False,216,0,0,0,0,0.01604195301240586,0.007520505765462602,0.014321632605032428,0.007899537286333136,0.01604195301240586,0.21389025204160775,1.6725907346355648,1.8864809866771726,34,86
