sigma_theta_deg,sigma_azimuth_deg,receiver_id,selected_indices,selected_pairs,D_selected,D_full,Sigma_theta_selected,Sigma_receiver_measurement,sigma_receiver_x,sigma_receiver_y,g_spectral_norm,selected_rows_are_smooth
0.05,0.035355339059327376,8,0;1,1-2;1-3,"[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0]]","[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[7.615435494667715e-07, -3.8077177473338576e-07], [-3.8077177473338576e-07, 7.615435494667715e-07]]","[[1.9590707810032693e-06, 6.463257387278672e-07], [6.463257387278673e-07, 1.2127581025258333e-06]]",0.0013996680967298173,0.0011012529693607339,0.7000000000000002,True
0.05,0.035355339059327376,9,0;1,1-2;1-3,"[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0]]","[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[7.615435494667715e-07, -3.8077177473338576e-07], [-3.8077177473338576e-07, 7.615435494667715e-07]]","[[1.9590707810032693e-06, -6.463257387278671e-07], [-6.463257387278673e-07, 1.212758102525833e-06]]",0.0013996680967298173,0.0011012529693607337,0.7000000000000002,True
0.05,0.035355339059327376,10,0;2,1-2;2-3,"[[-1.0, 1.0, 0.0], [0.0, -1.0, 1.0]]","[[-1.0, 1.0, 0.0], [NaN, NaN, NaN], [0.0, -1.0, 1.0]]","[[7.615435494667715e-07, -3.8077177473338576e-07], [-3.8077177473338576e-07, 7.615435494667715e-07]]","[[3.157232632164324e-06, -4.0670157028794385e-06], [-4.0670157028794385e-06, 6.330330754942537e-06]]",0.0017768603299540243,0.0025160148558668206,1.0408329997330665,True
0.05,0.035355339059327376,12,0;1,1-2;1-3,"[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0]]","[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0], [NaN, NaN, NaN]]","[[7.615435494667715e-07, -3.8077177473338576e-07], [-3.8077177473338576e-07, 7.615435494667715e-07]]","[[9.0591951405318e-06, 6.595160599263952e-07], [6.595160599263955e-07, 4.28368246575059e-07]]",0.0030098496873651017,0.0006544984694978736,1.0408329997330663,True
0.05,0.035355339059327376,13,0;1,1-2;1-3,"[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0]]","[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0], [NaN, NaN, NaN]]","[[7.615435494667715e-07, -3.8077177473338576e-07], [-3.8077177473338576e-07, 7.615435494667715e-07]]","[[6.85389194520094e-06, 0.0], [1.6822818093820024e-23, 7.615435494667715e-07]]",0.0026179938779914936,0.0008726646259971648,1.0,True
0.05,0.035355339059327376,14,0;1,1-2;1-3,"[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0]]","[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0], [NaN, NaN, NaN]]","[[7.615435494667715e-07, -3.8077177473338576e-07], [-3.8077177473338576e-07, 7.615435494667715e-07]]","[[9.0591951405318e-06, -6.595160599263955e-07], [-6.595160599263953e-07, 4.28368246575059e-07]]",0.0030098496873651017,0.0006544984694978736,1.0408329997330663,True
0.1,0.07071067811865475,2,1;2,1-3;2-3,"[[1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[NaN, NaN, NaN], [1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[3.046174197867086e-06, -1.523087098933543e-06], [-1.523087098933543e-06, 3.046174197867086e-06]]","[[8.059669231856669e-06, 1.3629998571812177e-05], [1.3629998571812177e-05, 2.9890584316570782e-05]]",0.0028389556586633524,0.005467228211495363,1.0408329997330665,True
0.1,0.07071067811865475,3,0;2,1-2;2-3,"[[-1.0, 1.0, 0.0], [0.0, -1.0, 1.0]]","[[-1.0, 1.0, 0.0], [NaN, NaN, NaN], [0.0, -1.0, 1.0]]","[[3.046174197867086e-06, -1.523087098933543e-06], [-1.523087098933543e-06, 3.046174197867086e-06]]","[[8.059669231856669e-06, -1.3629998571812177e-05], [-1.3629998571812177e-05, 2.9890584316570782e-05]]",0.0028389556586633524,0.005467228211495363,1.0408329997330665,True
0.1,0.07071067811865475,4,1;2,1-3;2-3,"[[1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[NaN, NaN, NaN], [1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[3.046174197867086e-06, -1.523087098933543e-06], [-1.523087098933543e-06, 3.046174197867086e-06]]","[[9.13852259360126e-06, 1.0552256958822333e-05], [1.0552256958822331e-05, 2.1323219385069612e-05]]",0.0030229989403903635,0.00461770715670338,1.0000000000000004,True
0.1,0.07071067811865475,5,0;2,1-2;2-3,"[[-1.0, 1.0, 0.0], [0.0, -1.0, 1.0]]","[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[3.046174197867086e-06, -1.523087098933543e-06], [-1.523087098933543e-06, 3.046174197867086e-06]]","[[3.358407053148462e-06, -1.105936373607552e-22], [1.4285791347020244e-22, 9.32890848096795e-06]]",0.001832595714594046,0.0030543261909900766,0.7,True
0.1,0.07071067811865475,6,0;2,1-2;2-3,"[[-1.0, 1.0, 0.0], [0.0, -1.0, 1.0]]","[[-1.0, 1.0, 0.0], [NaN, NaN, NaN], [0.0, -1.0, 1.0]]","[[3.046174197867086e-06, -1.523087098933543e-06], [-1.523087098933543e-06, 3.046174197867086e-06]]","[[9.13852259360126e-06, -1.0552256958822333e-05], [-1.0552256958822331e-05, 2.1323219385069612e-05]]",0.0030229989403903635,0.00461770715670338,1.0000000000000004,True
0.1,0.07071067811865475,7,1;2,1-3;2-3,"[[1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[NaN, NaN, NaN], [1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[3.046174197867086e-06, -1.523087098933543e-06], [-1.523087098933543e-06, 3.046174197867086e-06]]","[[1.2628930528657297e-05, 1.6268062811517754e-05], [1.6268062811517754e-05, 2.532132301977015e-05]]",0.0035537206599080486,0.005032029711733641,1.0408329997330665,True
0.1,0.07071067811865475,8,0;1,1-2;1-3,"[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0]]","[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[3.046174197867086e-06, -1.523087098933543e-06], [-1.523087098933543e-06, 3.046174197867086e-06]]","[[7.836283124013077e-06, 2.585302954911469e-06], [2.5853029549114692e-06, 4.851032410103333e-06]]",0.0027993361934596345,0.0022025059387214677,0.7000000000000002,True
0.1,0.07071067811865475,9,0;1,1-2;1-3,"[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0]]","[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0], [0.0, -1.0, 1.0]]","[[3.046174197867086e-06, -1.523087098933543e-06], [-1.523087098933543e-06, 3.046174197867086e-06]]","[[7.836283124013077e-06, -2.5853029549114684e-06], [-2.5853029549114692e-06, 4.851032410103332e-06]]",0.0027993361934596345,0.0022025059387214673,0.7000000000000002,True
0.1,0.07071067811865475,10,0;2,1-2;2-3,"[[-1.0, 1.0, 0.0], [0.0, -1.0, 1.0]]","[[-1.0, 1.0, 0.0], [NaN, NaN, NaN], [0.0, -1.0, 1.0]]","[[3.046174197867086e-06, -1.523087098933543e-06], [-1.523087098933543e-06, 3.046174197867086e-06]]","[[1.2628930528657297e-05, -1.6268062811517754e-05], [-1.6268062811517754e-05, 2.532132301977015e-05]]",0.0035537206599080486,0.005032029711733641,1.0408329997330665,True
0.1,0.07071067811865475,12,0;1,1-2;1-3,"[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0]]","[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0], [NaN, NaN, NaN]]","[[3.046174197867086e-06, -1.523087098933543e-06], [-1.523087098933543e-06, 3.046174197867086e-06]]","[[3.62367805621272e-05, 2.6380642397055807e-06], [2.638064239705582e-06, 1.713472986300236e-06]]",0.006019699374730203,0.0013089969389957472,1.0408329997330663,True
0.1,0.07071067811865475,13,0;1,1-2;1-3,"[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0]]","[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0], [NaN, NaN, NaN]]","[[3.046174197867086e-06, -1.523087098933543e-06], [-1.523087098933543e-06, 3.046174197867086e-06]]","[[2.741556778080376e-05, 0.0], [6.72912723752801e-23, 3.046174197867086e-06]]",0.005235987755982987,0.0017453292519943296,1.0,True
0.1,0.07071067811865475,14,0;1,1-2;1-3,"[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0]]","[[-1.0, 1.0, 0.0], [1.0, 0.0, -1.0], [NaN, NaN, NaN]]","[[3.046174197867086e-06, -1.523087098933543e-06], [-1.523087098933543e-06, 3.046174197867086e-06]]","[[3.62367805621272e-05, -2.638064239705582e-06], [-2.638064239705581e-06, 1.713472986300236e-06]]",0.006019699374730203,0.0013089969389957472,1.0408329997330663,True
