slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg,max_tangential_error_m
66,0-1-7-8,4,264,264,2.0719542404046017e-07,64.83850462149444,1.5619488872821338e-06,6.843091373103999e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
67,0-1-4-5,4,268,268,3.817150496182958e-07,64.83850500320949,1.5619488872821338e-06,6.481371101823799e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
68,0-1-7-8,4,272,272,1.0917648518052418e-07,64.83850511238597,1.5619488872821338e-06,6.450163518912615e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
69,0-1-4-5,4,276,276,2.0938048387421738e-07,64.83850532176646,1.5619488872821338e-06,6.336093356861818e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
70,0-1-7-8,4,280,280,5.739181713137304e-08,64.83850537915828,1.5619488872821338e-06,6.327302450017101e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
71,0-1-4-5,4,284,284,1.1443162092654941e-07,64.83850549358989,1.5619488872821338e-06,6.292613399767996e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
72,0-1-7-8,4,288,288,3.010478127712479e-08,64.83850552369468,1.5619488872821338e-06,6.290182998224052e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
73,0-1-4-5,4,292,292,6.232772229728878e-08,64.8385055860224,1.5619488872821338e-06,6.279808286180216e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
74,0-1-7-8,4,296,296,1.5760337955675724e-08,64.83850560178274,1.5619488872821338e-06,6.279141905494337e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
75,0-1-4-5,4,300,300,3.384096348108891e-08,64.8385056356237,1.5619488872821338e-06,6.27606911406381e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
76,0-1-7-8,4,304,304,8.235942268287546e-09,64.83850564385965,1.5619488872821338e-06,6.275887281389502e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
77,0-1-4-5,4,308,308,1.8320009741112527e-08,64.83850566217966,1.5619488872821338e-06,6.274983747237383e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
78,0-1-7-8,4,312,312,4.1960045669956844e-09,64.83850566637567,1.5619488872821338e-06,6.274934338302612e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
79,0-1-4-5,4,316,316,9.888089956092366e-09,64.83850567626375,1.5619488872821338e-06,6.274670302175059e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
80,0-1-7-8,4,320,320,2.186148383802516e-09,64.8385056784499,1.5619488872821338e-06,6.274656911880366e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
81,0-1-4-5,4,324,324,5.323430005461089e-09,64.83850568377333,1.5619488872821338e-06,6.274580184196305e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
82,0-1-7-8,4,328,328,1.1371758176858117e-09,64.83850568491052,1.5619488872821338e-06,6.274576564962714e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
83,0-1-4-5,4,332,332,0.0,64.83850568491052,1.5619488872821338e-06,6.274576564962714e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
84,0-1-7-8,4,336,336,0.0,64.83850568491052,1.5619488872821338e-06,6.274576564962714e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
