stage,rho,seed,gain,round,alpha_rad,beta_rad,target_alpha_rad,target_beta_rad,max_angle_error_rad,relay_scalar_count,measurement_slot_count,measurement_tx_count,estimate_x,estimate_y,action_x,action_y,action_applied,event,failure,receiver_id,angle_01_rad,angle_02_rad,angle_12_rad,target_angle_01_rad,target_angle_02_rad,target_angle_12_rad,measurement_slot,estimated_x,estimated_y,estimator_residual_rad,estimator_success,nfev,delta_x,delta_y
main,0.1,11,1.0,2,,,,,2.220446049250313e-16,,,3,,,,,False,stop_angle_threshold,,4,3.141592653589793,1.5707963267948966,1.5707963267948966,3.141592653589793,1.5707963267948966,1.5707963267948968,2,,,,,,0.0,0.0
main,0.1,11,1.0,2,,,,,4.440892098500626e-16,,,3,,,,,False,stop_angle_threshold,,5,2.2845207057396624,2.284520705739662,1.7141438957002622,2.2845207057396624,2.2845207057396624,1.7141438957002622,2,,,,,,0.0,0.0
main,0.1,11,1.0,2,,,,,2.220446049250313e-16,,,3,,,,,False,stop_angle_threshold,,6,1.5707963267948966,3.141592653589793,1.5707963267948966,1.5707963267948966,3.141592653589793,1.5707963267948968,2,,,,,,0.0,0.0
main,0.1,11,1.0,2,,,,,2.220446049250313e-16,,,3,,,,,False,stop_angle_threshold,,7,3.141592653589793,1.289761425292083,1.8518312282977103,3.141592653589793,1.289761425292083,1.8518312282977105,2,,,,,,0.0,0.0
main,0.1,11,1.0,2,,,,,6.88338275267597e-14,,,3,,,,,False,stop_angle_threshold,,8,2.2845207057396486,1.7141438957003308,2.284520705739607,2.2845207057396624,1.714143895700262,2.2845207057396624,2,,,,,,0.0,0.0
main,0.1,11,1.0,2,,,,,0.0,,,3,,,,,False,stop_angle_threshold,,9,1.714143895700262,2.2845207057396624,2.2845207057396624,1.714143895700262,2.2845207057396624,2.2845207057396624,2,,,,,,0.0,0.0
main,0.1,11,1.0,2,,,,,1.687538997430238e-14,,,3,,,,,False,stop_angle_threshold,,10,1.289761425292086,3.14159265358978,1.8518312282976936,1.289761425292083,3.141592653589793,1.8518312282977105,2,,,,,,0.0,0.0
main,0.1,11,1.0,2,,,,,2.220446049250313e-16,,,3,,,,,False,stop_angle_threshold,,12,1.85183122829771,1.289761425292083,3.141592653589793,1.8518312282977103,1.289761425292083,3.141592653589793,2,,,,,,0.0,0.0
main,0.1,11,1.0,2,,,,,2.220446049250313e-16,,,3,,,,,False,stop_angle_threshold,,13,1.5707963267948966,1.5707963267948968,3.141592653589793,1.5707963267948966,1.5707963267948966,3.141592653589793,2,,,,,,0.0,0.0
main,0.1,11,1.0,2,,,,,2.220446049250313e-16,,,3,,,,,False,stop_angle_threshold,,14,1.2897614252920828,1.85183122829771,3.141592653589793,1.289761425292083,1.8518312282977103,3.141592653589793,2,,,,,,0.0,0.0
