slot,epoch,transmitters,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_displacement_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg
28,1,0-1-8-9,4,112,4.3756199611115605,200.99867559703807,2.200193246241738,1.4032816752341837,1.3191159490651359,1.1814760679647764,1.1814760679647804
29,2,0-1-2-3,4,116,3.303785361636076,204.30246095867415,2.200193246241738,1.5777423416474867,1.267432307122803,1.187483796908966,1.1874837969089782
30,2,0-1-2-4,4,120,3.25218890578356,207.5546498644577,2.200193246241738,1.3156399559430907,1.117981537340114,1.1814760679647764,1.1814760679647804
31,2,0-1-2-5,4,124,3.690651176500479,211.24530104095817,2.200193246241738,1.0328638894365723,0.7464263114399614,1.1814760679647764,1.1814760679647804
32,2,0-1-2-6,4,128,3.0838799612656023,214.32918100222378,2.200193246241738,0.887949794735097,0.7464263114399614,1.1814760679647764,1.1814760679647804
33,2,0-1-2-7,4,132,2.777849271101282,217.10703027332505,2.200193246241738,0.9055855612041993,0.7464263114399614,1.1814760679647764,1.1814760679647804
34,2,0-1-2-8,4,136,3.1521596467192117,220.25918992004426,2.200193246241738,1.0894312700767894,0.873158917211228,1.1814760679647764,1.1814760679647804
35,2,0-1-2-9,4,140,4.772028040540864,225.03121796058514,2.2478272609971834,1.5161108167624757,1.6512486605530228,1.1814760679647764,1.1814760679647804
36,2,0-1-3-4,4,144,3.8649122986775817,228.89613025926272,1.4620459027526422,0.9818960062620035,1.242640961963076,0.6308282934661961,0.6055259968145208
37,2,0-1-3-5,4,148,2.260029114478247,231.15615937374096,1.3309642602704854,0.890115327996272,1.2376400783772254,0.4760527892442455,0.5359149455164314
38,2,0-1-3-6,4,152,1.8181450563243302,232.9743044300653,1.3309642602704854,0.8804608114809116,1.2376400783772254,0.5052882823153085,0.4610525116324098
39,2,0-1-3-7,4,156,2.0496262466838333,235.02393067674913,1.2931716281311778,0.8169573047548779,1.0539346448528875,0.5792412359621365,0.5792412359621224
