rho,seed,gain,round,receiver_id,delta_x,delta_y,true_position_after_x,true_position_after_y,action_number
0.01,47,0.5,1,1,-0.0008188386691856397,-0.003760054111245692,2.0008188386691854,3.467861669249001,1
0.01,47,0.5,2,1,-0.0004094193345929309,-0.0018800270556234011,2.0004094193345923,3.465981642193378,2
0.01,47,0.5,3,1,-0.00020470966729591034,-0.0009400135278117006,2.0002047096672966,3.465041628665566,3
0.01,47,0.5,4,1,-0.00010235483364828823,-0.0004700067639060723,2.0001023548336483,3.4645716219016602,4
0.01,47,0.5,5,1,-5.117741682436616e-05,-0.00023500338195336923,2.000051177416824,3.464336618519707,5
0.01,47,0.5,6,1,-2.558870841218308e-05,-0.00011750169097668461,2.0000255887084117,3.46421911682873,6
0.01,47,0.5,7,1,-1.2794354205869496e-05,-5.875084548745413e-05,2.000012794354206,3.4641603659832425,7
0.01,47,0.5,8,1,-6.397177102934748e-06,-2.937542274406013e-05,2.0000063971771027,3.4641309905604984,8
0.01,47,0.5,9,1,-3.1985885515783963e-06,-1.468771137225211e-05,2.0000031985885514,3.464116302849126,9
0.01,47,0.5,10,1,-1.5992942756781758e-06,-7.343855686015033e-06,2.0000015992942757,3.4641089589934397,10
0.01,47,0.5,11,1,-7.996471376170433e-07,-3.6719278426744495e-06,2.000000799647138,3.464105287065597,11
0.01,47,0.5,12,1,-3.9982356891954396e-07,-1.8359639211151801e-06,2.000000399823569,3.4641034511016757,12
0.01,47,0.5,13,1,-1.9991178445977198e-07,-9.179819604465678e-07,2.0000001999117845,3.464102533119715,13
0.01,47,0.5,14,1,-9.99558926739752e-08,-4.589909805563508e-07,2.0000000999558916,3.4641020741287347,14
0.01,47,0.5,15,1,-4.997794555983148e-08,-2.294954901671531e-07,2.0000000499779462,3.4641018446332446,15
0.01,47,0.5,16,1,-2.498897311298265e-08,-1.1474774530562115e-07,2.000000024988973,3.464101729885499,16
0.01,47,0.5,17,1,-1.2494486556491324e-08,-5.737387276383288e-08,2.0000000124944863,3.4641016725116263,17
0.05,11,0.5,1,1,-0.031078233309176362,-0.031440270021657835,2.0310782333091764,3.495541885159413,1
0.05,11,0.5,2,1,-0.015539116654587959,-0.01572013501082936,2.0155391166545886,3.4798217501485835,2
0.05,11,0.5,3,1,-0.0077695583272943125,-0.007860067505414792,2.0077695583272943,3.471961682643169,3
0.05,11,0.5,4,1,-0.0038847791636473783,-0.003930033752707063,2.0038847791636467,3.468031648890462,4
0.05,11,0.5,5,1,-0.001942389581823356,-0.0019650168763540865,2.0019423895818234,3.4660666320141083,5
0.05,11,0.5,6,1,-0.000971194790911678,-0.0009825084381775984,2.0009711947909117,3.465084123575931,6
0.05,11,0.5,7,1,-0.000485597395455839,-0.0004912542190886882,2.000485597395456,3.464592869356842,7
0.05,11,0.5,8,1,-0.00024279869772803053,-0.00024562710954412204,2.000242798697728,3.464347242247298,8
0.05,11,0.5,9,1,-0.00012139934886401527,-0.0001228135547715059,2.0001213993488642,3.4642244286925266,9
0.05,11,0.5,10,1,-6.06996744323407e-05,-6.140677738608602e-05,2.0000606996744317,3.4641630219151405,10
0.05,11,0.5,11,1,-3.034983721561524e-05,-3.070338869259892e-05,2.000030349837216,3.464132318526448,11
0.05,11,0.5,12,1,-1.5174918607696597e-05,-1.5351694346854572e-05,2.000015174918608,3.4641169668321012,12
0.05,11,0.5,13,1,-7.587459304181365e-06,-7.675847173427286e-06,2.0000075874593035,3.464109290984928,13
0.05,11,0.5,14,1,-3.7937296517576158e-06,-3.837923586935688e-06,2.0000037937296518,3.464105453061341,14
0.05,11,0.5,15,1,-1.8968648256567633e-06,-1.91896179280171e-06,2.000001896864826,3.4641035340995483,15
0.05,11,0.5,16,1,-9.484324132724709e-07,-9.594808969559665e-07,2.0000009484324126,3.4641025746186513,16
0.05,11,0.5,17,1,-4.742162063031685e-07,-4.797404482559386e-07,2.0000004742162063,3.464102094878203,17
0.05,11,0.5,18,1,-2.3710810315158426e-07,-2.3987022457205853e-07,2.000000237108103,3.4641018550079785,18
0.05,11,0.5,19,1,-1.1855405124272522e-07,-1.1993511206398466e-07,2.000000118554052,3.4641017350728665,19
0.05,11,0.5,20,1,-5.9277026176474124e-08,-5.996755669812615e-08,2.000000059277026,3.4641016751053098,20
