rho,seed,gain,round,receiver_id,delta_x,delta_y,true_position_after_x,true_position_after_y,action_number
0.01,11,0.5,5,4,-0.00034031180127991334,-0.0002002754347550928,1.0003403189699895,1.7322510871387342,5
0.01,11,0.5,5,5,-0.00038958617341267043,0.00012653195006639972,2.0003896026035934,1.7319242756124784,5
0.01,11,0.5,5,6,-0.0005361835657007319,-7.758096854737495e-05,3.0005362116126797,1.7321283723213297,5
0.01,11,0.5,5,7,-0.0002948871336514447,-0.00019716353461901592,0.5002948931067306,0.8662225735208156,5
0.01,11,0.5,5,8,-0.00015941120727902547,-0.0002291905969172836,1.5001594239151186,0.8662545968261087,5
0.01,11,0.5,5,9,-0.0003629027489335801,-7.086888552432224e-05,2.500362921719379,0.8660962690128119,5
0.01,11,0.5,5,10,-0.00023982879389450318,-0.00014613808819813334,3.500239852153353,0.866171517571749,5
0.01,11,0.5,5,12,-0.00021316494304046696,-6.798419760126974e-05,1.0002131814502273,6.798419909436573e-05,5
0.01,11,0.5,5,13,0.00011081577575033918,1.1066247926121153e-05,1.999889207684882,-1.1066247926199023e-05,5
0.01,11,0.5,5,14,-0.0001301095743611036,0.00012650204317178198,3.0001301400003912,-0.0001265020380401855,5
0.01,11,0.5,6,2,-0.00025019299359629876,-6.14979293798168e-05,1.5002502013613521,2.598137711350974,6
0.01,11,0.5,6,3,-0.00014764235107778134,-3.1339109984651614e-05,2.5001476750620797,2.598107542364474,6
0.01,11,0.5,6,4,-0.00017015590181623796,-0.00010013771711780972,1.0001701630681734,1.7321509494216163,6
0.01,11,0.5,6,5,-0.00019479308845116172,6.32659766158783e-05,2.0001948095151425,1.7319875415890942,6
0.01,11,0.5,6,6,-0.0002680917874513522,-3.879047582300288e-05,3.000268119825228,1.7320895818455067,6
0.01,11,0.5,6,7,-0.00014744356759466282,-9.858176670790586e-05,0.5001474495391359,0.8661239917541077,6
0.01,11,0.5,6,8,-7.970560385517356e-05,-0.00011459529828200532,1.5000797183112633,0.8661400015278267,6
0.01,11,0.5,6,9,-0.0001814513754900826,-3.543444099346482e-05,2.5001814703438887,0.8660608345718184,6
0.01,11,0.5,6,10,-0.00011991439752456756,-7.306903724085823e-05,3.5001199377558283,0.8660984485345082,6
0.01,11,0.5,6,12,-0.00010658247160166834,-3.399209917327453e-05,1.0001065989786255,3.39920999210912e-05,6
0.01,11,0.5,6,13,5.540788814839548e-05,5.533123963119125e-06,1.9999446155730305,-5.5331239630798975e-06,6
0.01,11,0.5,6,14,-6.505478954177413e-05,6.32510203030849e-05,3.0000650852108492,-6.325101773710059e-05,6
0.01,11,0.5,7,2,-0.0001250964992319803,-3.074896473975741e-05,1.50012510486212,2.5981069623862343,7
0.01,11,0.5,7,3,-7.38211782869147e-05,-1.5669553073749398e-05,2.5000738538837926,2.5980918728114,7
0.01,11,0.5,7,4,-8.507795149625963e-05,-5.006885842906428e-05,1.0000850851166772,1.7321008805631872,7
0.01,11,0.5,7,5,-9.739654509655082e-05,3.1632989100027764e-05,2.000097412970046,1.7320191745781943,7
0.01,11,0.5,7,6,-0.00013404589602461492,-1.9395233689656344e-05,3.0001340739292033,1.7320701866118169,7
0.01,11,0.5,7,7,-7.372178418163511e-05,-4.929088304256313e-05,0.5000737277549543,0.8660747008710652,7
0.01,11,0.5,7,8,-3.985280203533392e-05,-5.7297649052823196e-05,1.500039865509228,0.8660827038787738,7
0.01,11,0.5,7,9,-9.072568825696514e-05,-1.7717219612300994e-05,2.5000907446556315,0.8660431173522061,7
0.01,11,0.5,7,10,-5.9957199050275634e-05,-3.653451519319839e-05,3.5000599805567782,0.8660619140193151,7
0.01,11,0.5,7,12,-5.329123584052464e-05,-1.6996049773528704e-05,1.000053307742785,1.6996050147562495e-05,7
0.01,11,0.5,7,13,2.7703944210477616e-05,2.766561981615264e-06,1.999972319517241,-2.7665619814646335e-06,7
0.01,11,0.5,7,14,-3.252739595205334e-05,3.162550950996454e-05,3.0000325578148974,-3.1625508227136045e-05,7
0.01,11,0.5,8,2,-6.254825083618076e-05,-1.5374482396302014e-05,1.500062556611284,2.5980915879038378,8
0.01,11,0.5,8,3,-3.69105905171363e-05,-7.834775578086095e-06,2.500036943293275,2.598084038035822,8
0.01,11,0.5,8,4,-4.2538976042227894e-05,-2.503442915002818e-05,1.000042546140635,1.732075846134037,8
0.01,11,0.5,8,5,-4.869827298370488e-05,1.5816494945641857e-05,2.000048714697062,1.73203499107314,8
0.01,11,0.5,8,6,-6.70229491619434e-05,-9.697614734127669e-06,3.000067050980041,1.7320604889970828,8
0.01,11,0.5,8,7,-3.686089228305267e-05,-2.4645441364989917e-05,0.5000368668626712,0.8660500554297001,8
0.01,11,0.5,8,8,-1.9926401071401756e-05,-2.8648824482446766e-05,1.5000199391081566,0.8660540550542914,8
0.01,11,0.5,8,9,-4.536284438461102e-05,-8.858609363837644e-06,2.5000453818112467,0.8660342587428422,8
0.01,11,0.5,8,10,-2.9978599669799877e-05,-1.8267255883108735e-05,3.5000300019571084,0.866043646763432,8
0.01,11,0.5,8,12,-2.6645617939746735e-05,-8.498024980223802e-06,1.0000266621248453,8.498025167338693e-06,8
0.01,11,0.5,8,13,1.3851972173184457e-05,1.3832809907521327e-06,1.999986171489414,-1.3832809907125008e-06,8
0.01,11,0.5,8,14,-1.626369856677634e-05,1.58127544341902e-05,3.000016294116331,-1.5812753792945845e-05,8
0.01,11,0.5,9,2,-3.1274126028657534e-05,-7.68724121180675e-06,1.5000312824852553,2.598083900662626,9
0.01,11,0.5,9,3,-1.8455295945019046e-05,-3.917387310092835e-06,2.5000184879973304,2.598080120648512,9
0.01,11,0.5,9,4,-2.1269488168051964e-05,-1.2517214542207e-05,1.000021276652467,1.7320633289194949,9
0.01,11,0.5,9,5,-2.434913670978922e-05,7.90824767060716e-06,2.0000243655603525,1.7320428993208106,9
0.01,11,0.5,9,6,-3.351147515573416e-05,-4.848806312018894e-06,3.0000335395048854,1.7320556401907707,9
0.01,11,0.5,9,7,-1.8430446237560627e-05,-1.2322720604140969e-05,0.5000184364164337,0.866037732709096,9
0.01,11,0.5,9,8,-9.96320056279032e-06,-1.4324412219046678e-05,1.5000099759075938,0.8660397306420724,9
0.01,11,0.5,9,9,-2.2681422320314226e-05,-4.429304460706884e-06,2.5000227003889264,0.8660298294383815,9
0.01,11,0.5,9,10,-1.4989299907064435e-05,-9.133627084989548e-06,3.5000150126572014,0.866034513136347,9
0.01,11,0.5,9,12,-1.3322808979809864e-05,-4.249012536849813e-06,1.0000133393158654,4.24901263048888e-06,9
0.01,11,0.5,9,13,6.925986121064653e-06,6.916404953205558e-07,1.999993097475535,-6.91640495391945e-07,9
0.01,11,0.5,9,14,-8.131849578596473e-06,7.906377056794669e-06,3.0000081622667523,-7.906376736151176e-06,9
0.01,11,0.5,10,2,-1.5637063319529076e-05,-3.84362061289778e-06,1.5000156454219358,2.5980800570420133,10
0.01,11,0.5,10,3,-9.227648316123549e-06,-1.958693414794155e-06,2.5000092603490143,2.5980781619550974,10
