rho,seed,gain,round,alpha_rad,beta_rad,target_alpha_rad,target_beta_rad,max_angle_error_rad,relay_scalar_count,measurement_slot_count,measurement_tx_count,estimate_x,estimate_y,action_x,action_y,action_applied,event,failure
0.05,23,0.5,7,1.046946341385415,1.0473603562793374,1.0471975511965976,1.0471975511965976,0.00025120981118265107,2,2,4,2.000956077619566,3.463747825379815,-0.00047803880978292135,0.00017689487896976885,True,observe_and_move,
0.05,23,0.5,8,1.0470719435941054,1.0472789457559026,1.0471975511965976,1.0471975511965976,0.00012560760249225034,2,2,4,2.0004780388097836,3.4639247202587864,-0.00023901940489179374,8.844743948399625e-05,True,observe_and_move,
0.05,23,0.5,9,1.0471347467213523,1.04723824648096,1.0471975511965976,1.0471975511965976,6.280447524531496e-05,2,2,4,2.000239019404892,3.46401316769827,-0.00011950970244600789,4.422371974222017e-05,True,observe_and_move,
0.05,23,0.5,10,1.0471661487905035,1.0472178983399845,1.0471975511965976,1.0471975511965976,3.1402406094116486e-05,2,2,4,2.0001195097024453,3.4640573914180113,-5.975485122267088e-05,2.2111859871554174e-05,True,observe_and_move,
0.05,23,0.5,11,1.0471818499514363,1.047207724643596,1.0471975511965976,1.0471975511965976,1.570124516137028e-05,2,2,4,2.0000597548512227,3.4640795032778833,-2.987742561133544e-05,1.1055929935555042e-05,True,observe_and_move,
0.05,23,0.5,12,1.047189700563489,1.0472026378889236,1.0471975511965976,1.0471975511965976,7.850633108708038e-06,2,2,4,2.000029877425612,3.4640905592078206,-1.4938712805889764e-05,5.527964966889343e-06,True,observe_and_move,
0.05,23,0.5,13,1.0471936258774113,1.0472000945349673,1.0471975511965976,1.0471975511965976,3.925319186359744e-06,2,2,4,2.000014938712806,3.4640960871727864,-7.469356402944882e-06,2.763982483999783e-06,True,observe_and_move,
0.05,23,0.5,14,1.0471955885363464,1.047198822863834,1.0471975511965976,1.0471975511965976,1.9626602512090585e-06,2,2,4,2.0000074693564027,3.4640988511552697,-3.734678201361419e-06,1.3819912423329583e-06,True,observe_and_move,
0.05,23,0.5,15,1.0471965698663075,1.0471981870297289,1.0471975511965976,1.0471975511965976,9.813302901395815e-07,2,2,4,2.000003734678202,3.4641002331465116,-1.867339100902754e-06,6.909956213885238e-07,True,observe_and_move,
0.05,23,0.5,16,1.0471970605314116,1.0471978691130415,1.0471975511965976,1.0471975511965976,4.906651860370204e-07,2,2,4,2.0000018673391007,3.464100924142134,-9.336695503403547e-07,3.454978101391504e-07,True,observe_and_move,
0.05,23,0.5,17,1.0471973058639945,1.047197710154789,1.0471975511965976,1.0471975511965976,2.453326031215397e-07,2,2,4,2.0000009336695492,3.4641012696399427,-4.6683477461506584e-07,1.727489058467313e-07,True,observe_and_move,
0.05,23,0.5,18,1.0471974285302934,1.0471976306756858,1.0471975511965976,1.0471975511965976,1.226663042253051e-07,2,2,4,2.0000004668347753,3.4641014423888485,-2.3341738764059983e-07,8.637445292336565e-08,True,observe_and_move,
0.05,23,0.5,19,1.047197489863445,1.04719759093614,1.0471975511965976,1.0471975511965976,6.133315255674177e-08,2,2,4,2.0000002334173876,3.464101528763303,-1.1670869382029991e-07,4.318722579554901e-08,True,observe_and_move,
0.05,23,0.5,20,1.0471975205300212,1.0471975710663683,1.0471975511965976,1.0471975511965976,3.0666576389393185e-08,2,2,4,2.000000116708694,3.464101571950528,-5.835434691014996e-08,2.159361311981911e-08,True,observe_and_move,
0.05,23,0.5,21,1.0471975358633094,1.047197561131483,1.0471975511965976,1.0471975511965976,1.5333288194696593e-08,2,2,4,2.0000000583543467,3.4641015935441417,-2.9177173344052676e-08,1.079680633786495e-08,True,observe_and_move,
0.05,23,0.5,22,1.0471975435299534,1.0471975561640403,1.0471975511965976,1.0471975511965976,7.666644208370599e-09,2,2,4,2.000000029177174,3.4641016043409483,0.0,0.0,False,stop_angle_threshold,
0.05,47,0.5,1,1.0501072943203873,1.0537308484091548,1.0471975511965976,1.0471975511965976,0.006533297212557132,2,2,4,2.0084144710878,3.5021702610607286,-0.004207235543900012,-0.019034322961487105,True,observe_and_move,
0.05,47,0.5,2,1.0486591552956606,1.0504759367154743,1.0471975511965976,1.0471975511965976,0.003278385518876714,2,2,4,2.0042072355439,3.4831359380992413,-0.002103617771950006,-0.009517161480743441,True,observe_and_move,
0.05,47,0.5,3,1.047930047703179,1.0488396896456937,1.0471975511965976,1.0471975511965976,0.0016421384490961088,2,2,4,2.00210361777195,3.4736187766184976,-0.001051808885975003,-0.00475858074037161,True,observe_and_move,
0.05,47,0.5,4,1.0475642244902086,1.0480193582783748,1.0471975511965976,1.0471975511965976,0.0008218070817771483,2,2,4,2.0010518088859746,3.468860195878125,-0.0005259044429872795,-0.0023792903701853607,True,observe_and_move,
0.05,47,0.5,5,1.0473809942824153,1.0476086393812756,1.0471975511965976,1.0471975511965976,0.0004110881846779435,2,2,4,2.0005259044429873,3.4664809055079404,-0.0002629522214936397,-0.0011896451850930134,True,observe_and_move,
0.05,47,0.5,6,1.0472892993716683,1.0474031414723273,1.0471975511965976,1.0471975511965976,0.00020559027572963906,2,2,4,2.000262952221494,3.465291260322847,-0.00013147611074693089,-0.0005948225925462847,True,observe_and_move,
0.05,47,0.5,7,1.0472434319449773,1.0473003578831162,1.0471975511965976,1.0471975511965976,0.00010280668651851954,2,2,4,2.000131476110747,3.4646964377303013,-6.573805537346544e-05,-0.0002974112962734754,True,observe_and_move,
0.05,47,0.5,8,1.0472204932363491,1.0472489574273711,1.0471975511965976,1.0471975511965976,5.1406230773487493e-05,2,2,4,2.000065738055374,3.4643990264340285,-3.2869027686954766e-05,-0.00014870564813707077,True,observe_and_move,
0.05,47,0.5,9,1.0472090226329078,1.0472232550339067,1.0471975511965976,1.0471975511965976,2.5703837309043465e-05,2,2,4,2.000032869027686,3.4642503207858906,-1.643451384292227e-05,-7.43528240680913e-05,True,observe_and_move,
