rho,seed,gain,round,receiver_id,angle_01_rad,angle_02_rad,angle_12_rad,target_angle_01_rad,target_angle_02_rad,target_angle_12_rad,max_angle_error_rad,measurement_slot,measurement_tx_count,estimated_x,estimated_y,estimator_residual_rad,estimator_success,nfev,delta_x,delta_y,action_applied,event,failure
0.01,47,1.0,2,13,1.570796326794899,1.5707963267948977,3.1415926535897896,1.5707963267948966,1.5707963267948966,3.141592653589793,3.552713678800501e-15,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,47,1.0,2,14,1.289761425292083,1.8518312282977103,3.141592653589793,1.289761425292083,1.8518312282977103,3.141592653589793,0.0,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.05,11,1.0,1,2,3.058304786109016,1.9354484619983077,1.2894320590722632,3.141592653589793,1.85183122829771,1.289761425292083,0.08361723370059759,1,3,1.580443317979742,2.6172133298962836,4.440892098500626e-16,True,5,-0.08044331797974191,-0.019137118542967624,True,observe_and_move,
0.05,11,1.0,1,3,1.7990679842015185,3.080969550423372,1.2819015662218531,1.85183122829771,3.141592653589793,1.289761425292083,0.06062310316642128,1,3,2.547458981458807,2.6077800798438324,0.0,True,5,-0.04745898145880689,-0.00970386849051641,True,observe_and_move,
0.05,11,1.0,1,4,3.10993559702654,1.6030532855771595,1.570196424575887,3.141592653589793,1.5707963267948966,1.5707963267948968,0.03225695878226298,1,3,1.054849187312062,1.7637806908979121,4.440892098500626e-16,True,4,-0.05484918731206201,-0.031729883329034925,True,observe_and_move,
0.05,11,1.0,1,5,2.227861024460167,2.329804560145829,1.72551972257359,2.2845207057396624,2.2845207057396624,1.7141438957002622,0.05665968127949528,1,3,2.0623644682534055,1.7112795356138883,8.881784197001252e-15,True,4,-0.06236446825340547,0.020771271954988846,True,observe_and_move,
0.05,11,1.0,1,6,1.5219537050640617,3.0611175246715145,1.539163819607453,1.5707963267948966,3.141592653589793,1.5707963267948968,0.08047512891827857,1,3,3.0861333428090614,1.7438573053622972,7.549516567451064e-15,True,4,-0.08613334280906138,-0.011806497793420023,True,observe_and_move,
0.05,11,1.0,1,7,3.108630695666761,1.3101382297810138,1.8644163817318118,3.141592653589793,1.289761425292083,1.8518312282977105,0.03296195792303225,1,3,0.5475562536305882,0.8973103847518239,2.220446049250313e-16,True,5,-0.04755625363058824,-0.03128498096738552,True,observe_and_move,
0.05,11,1.0,1,8,2.288009171964584,1.737576971613673,2.2575991636013293,2.2845207057396624,1.714143895700262,2.2845207057396624,0.026921542138333088,1,3,1.5258551469978887,0.9026120623434062,4.440892098500626e-16,True,4,-0.02585514699788871,-0.03658665855896781,True,observe_and_move,
0.05,11,1.0,1,9,1.6884862136533876,2.329836546753716,2.264862546772483,1.714143895700262,2.2845207057396624,2.2845207057396624,0.045315841014053504,1,3,2.5583192580508376,0.8769625820550033,3.552713678800501e-15,True,4,-0.0583192580508376,-0.010937178270564951,True,observe_and_move,
