condition,trial,bearing_std_deg,actuation_relative_std,status,stopped,final_below_1cm,final_below_1mm,joint_success_1cm,joint_success_1mm,first_1cm_slot,first_1cm_tx,sustained_1cm_from_slot,record_stays_1cm_after_first,first_1mm_slot,first_1mm_tx,sustained_1mm_from_slot,record_stays_1mm_after_first,max_position_error_m,rms_position_error_m,measurement_slots,transmitter_uses,movement_m,failed_local_fits,seconds,gain,budget_exhausted,fit_failed,link_bias_std_deg,source_kind,source_dir,summary_path,cache_sha256,tail100_local_decisions,tail100_nominal_selected_matches,tail100_nominal_selected_match_rate,tail100_holding_count,tail100_radial_clip_count,tail100_angular_clip_count
exact,21.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,38.0,152.0,38.0,True,47.0,188.0,47.0,True,2.062443585619998e-06,7.937259978874688e-07,90.0,360.0,88.14332251450864,0.0,2.61834645899944,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_021,appendix1/evaluation_560/exact/trial_021/summary.json,3135f5bd2db30c92041b1a27531c10d7ca45018e219ab87cf9ac311d54428761,,,,,,
exact,22.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,40.0,160.0,40.0,True,49.0,196.0,49.0,True,1.1032575352436608e-06,5.046157812717547e-07,92.0,368.0,70.27001816637232,0.0,2.4396023340013926,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_022,appendix1/evaluation_560/exact/trial_022/summary.json,0497301d4d74e355660e2d0d3db473d55d6b21564ef6777be78605c1b487cffa,,,,,,
exact,23.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,36.0,144.0,36.0,True,45.0,180.0,45.0,True,2.1709815793376975e-06,8.072522925442883e-07,88.0,352.0,65.68358955847728,0.0,2.2823978750020615,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_023,appendix1/evaluation_560/exact/trial_023/summary.json,101a35e348f54b597950c55590c849ae6f79f1c2ac3dd84e77f230cdadfc5654,,,,,,
exact,24.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,41.0,164.0,41.0,True,51.0,204.0,51.0,True,1.4841268470167359e-06,5.93735865732856e-07,94.0,376.0,91.76620324955779,0.0,2.6171976669938886,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_024,appendix1/evaluation_560/exact/trial_024/summary.json,fe2f49a131594b3c9388c0aa4dd1ff06de0ead294c4f18ade6987148ea714031,,,,,,
exact,25.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,36.0,144.0,36.0,True,45.0,180.0,45.0,True,2.0170250140735362e-06,7.762364720037172e-07,88.0,352.0,89.70938285942157,0.0,2.427474957999948,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_025,appendix1/evaluation_560/exact/trial_025/summary.json,650ea14aaf452dff3e5195ab8216cd58a7f7f12c8174d8be6481e80f09592e6e,,,,,,
exact,26.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,40.0,160.0,40.0,True,49.0,196.0,49.0,True,1.5887556933233832e-06,6.29582656281154e-07,92.0,368.0,85.15832014623234,0.0,2.732520875004411,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_026,appendix1/evaluation_560/exact/trial_026/summary.json,7a414a4e666690687627fe976c79a0dd83f236b0c5b5cf071562b8db5eb482ac,,,,,,
exact,27.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,36.0,144.0,36.0,True,45.0,180.0,45.0,True,1.587924898332631e-06,6.258292133944757e-07,88.0,352.0,76.419502297401,0.0,2.6442538330011303,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_027,appendix1/evaluation_560/exact/trial_027/summary.json,168331b12f66bdecdc215fc5aaeca51ba7bdb489cbfb8321e7303a0a7c5889aa,,,,,,
exact,28.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,38.0,152.0,38.0,True,47.0,188.0,47.0,True,1.6811133240627744e-06,6.659749819762321e-07,90.0,360.0,61.95484915607078,0.0,3.695022499996412,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_028,appendix1/evaluation_560/exact/trial_028/summary.json,db86fb390b4a8dab92503fd625ac4921ef30c0f3a5c39dd7df3f2c7fdde21791,,,,,,
exact,29.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,42.0,168.0,42.0,True,51.0,204.0,51.0,True,1.9479974237277164e-06,7.49726572119316e-07,94.0,376.0,90.54020989762459,0.0,4.5291276249990915,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_029,appendix1/evaluation_560/exact/trial_029/summary.json,22ded65a450cb126c22c7c56f9f5ae6fb96a499e50ed718f2182c880cda89fc0,,,,,,
exact,30.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,36.0,144.0,36.0,True,45.0,180.0,45.0,True,1.7061492942175633e-06,6.768255542035607e-07,88.0,352.0,67.23841335824146,0.0,4.376499500001955,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_030,appendix1/evaluation_560/exact/trial_030/summary.json,1a0e4d122f6d60ed992c8bcef6ac2fc4caa604cc7be0ac7babdca97553ee050b,,,,,,
