stage,round,measurement_slot_count,measurement_tx_count,relay_scalar_count,alpha_rad,beta_rad,c_hat_x,c_hat_y,c_hat_error_to_target_d,event,failure,calibration_delta_x,calibration_delta_y,calibration_action_applied,receiver_id,c_hat_x_used,c_hat_y_used,angle_error_to_target_rad,estimated_x,estimated_y,estimated_position_error_d,estimator_success,estimator_residual_rad,selected_indices,delta_x,delta_y,action_applied
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,14,2.121561273053233,3.4171709509267933,0.1376331900451242,3.0473866274938963,-0.10017468954760504,0.11081724094744619,True,0.0,0;1,-0.035539970620422245,0.07513101716070378,True
dynamic_calibration,2,2,4,2,1.0471975511965979,1.0471975511965976,1.9999999999999996,3.464101615137755,6.280369834735101e-16,measure_current_reference,,0.0,0.0,False,,,,,,,,,,,,,
dynamic_main,2,1,3,,,,,,,observe_and_move,,,,,2,1.9999999999999996,3.464101615137755,0.041008992993944116,1.5186642648113429,2.5682024871919826,0.035224908462838704,True,3.597122599785507e-14,1;2,-0.01399819860850715,0.022405293121000036,True
dynamic_main,2,1,3,,,,,,,observe_and_move,,,,,3,1.9999999999999996,3.464101615137755,0.012870031642394641,2.522295791853388,2.562785629268061,0.04174359254167896,True,0.0,0;2,-0.016721843890040944,0.026467936563941197,True
dynamic_main,2,1,3,,,,,,,observe_and_move,,,,,4,1.9999999999999996,3.464101615137755,0.019328458960676365,1.0222648440203812,1.7319577075206272,0.022265038667626174,True,0.0,1;2,-0.016698633015285902,6.982503618752078e-05,True
dynamic_main,2,1,3,,,,,,,observe_and_move,,,,,5,1.9999999999999996,3.464101615137755,0.018604024626597937,2.0208669164282314,1.7269395118094404,0.021483797279885794,True,0.0,0;2,-0.015650187321173514,0.003833471819577605,True
dynamic_main,2,1,3,,,,,,,observe_and_move,,,,,6,1.9999999999999996,3.464101615137755,0.008696315384778108,3.0150796616446587,1.7080170242464419,0.028372855621300454,True,0.0,0;2,-0.011309746233494011,0.0180253374918265,True
dynamic_main,2,1,3,,,,,,,observe_and_move,,,,,7,1.9999999999999996,3.464101615137755,0.0046553656628725015,0.5060344901020335,0.8783612881629741,0.01373277518173737,True,4.440892098500626e-16,1;2,-0.004525867576525122,-0.009251913283901791,True
dynamic_main,2,1,3,,,,,,,observe_and_move,,,,,8,1.9999999999999996,3.464101615137755,0.008948148943786816,1.502422442078449,0.8560710183377273,0.010244901914861607,True,0.0,0;1,-0.001816831558836829,0.007465789085033342,True
dynamic_main,2,1,3,,,,,,,observe_and_move,,,,,9,1.9999999999999996,3.464101615137755,0.01670881284905823,2.5003454080530747,0.8465490802775129,0.019479386131743177,True,4.440892098500626e-16,0;1,-0.0002590560398060271,0.01460724263019414,True
dynamic_main,2,1,3,,,,,,,observe_and_move,,,,,10,1.9999999999999996,3.464101615137755,0.012524853449874973,3.5034885460695073,0.8462910210751966,0.020040354652398135,True,4.440892098500626e-16,0;2,-0.002616409552130494,0.014800787031931328,True
dynamic_main,2,1,3,,,,,,,stop_estimated_position_budget,,,,,12,1.9999999999999996,3.464101615137755,0.003994578732285259,0.9965068542171661,-0.002988952016944835,0.004597379864632544,True,4.440892098500626e-16,0;1,0.0,0.0,False
dynamic_main,2,1,3,,,,,,,observe_and_move,,,,,13,1.9999999999999996,3.464101615137755,0.010138882574839414,1.9893166387264227,-0.010138680136197072,0.01472844333274524,True,0.0,0;1,0.008012520955182956,0.007604010102147804,True
dynamic_main,2,1,3,,,,,,,observe_and_move,,,,,14,1.9999999999999996,3.464101615137755,0.03365335283455417,3.0118466568734785,-0.025043672386898697,0.027704310236861127,True,3.9968028886505635e-15,0;1,-0.008884992655108892,0.018782754290174022,True
dynamic_calibration,3,2,4,2,1.0471975511965979,1.0471975511965976,1.9999999999999996,3.464101615137755,6.280369834735101e-16,measure_current_reference,,0.0,0.0,False,,,,,,,,,,,,,
dynamic_main,3,1,3,,,,,,,stop_estimated_position_budget,,,,,2,1.9999999999999996,3.464101615137755,0.010338263197387398,1.504666066202796,2.5906077803129586,0.008806227115709048,True,0.0,1;2,0.0,0.0,False
dynamic_main,3,1,3,,,,,,,observe_and_move,,,,,3,1.9999999999999996,3.464101615137755,0.003224130384141821,2.5055739479633474,2.589253565832002,0.010435898135420259,True,4.440892098500626e-16,0;2,-0.004180460972510569,0.006616984140985549,True
